['time', 'x', 'y', 'z']
['1731068618.22', '10755.1095617', '10754.7011285', '0.0']
['1731068618.72', '10755.1400184', '10755.1994728', '0.0']
['1731068619.22', '10755.0645705', '10755.2228929', '0.0']
['1731068619.72', '10755.4193525', '10755.3217507', '0.0']
['1731068620.22', '10755.5114985', '10755.0761947', '0.0']
['1731068620.72', '10755.2394059', '10755.8941318', '0.0']
['1731068621.22', '10755.8349137', '10756.0053504', '0.0']
['1731068621.72', '10755.8656171', '10755.6683182', '0.0']
['1731068622.22', '10755.7402548', '10756.0326789', '0.0']
['1731068622.72', '10756.2178503', '10756.4337209', '0.0']
['1731068623.22', '10755.9657725', '10756.1856462', '0.0']
['1731068623.72', '10756.573175', '10756.3680298', '0.0']
['1731068624.22', '10756.7077012', '10756.5293699', '0.0']
['1731068624.72', '10757.1244463', '10756.4237246', '0.0']
['1731068625.23', '10756.7178884', '10756.6993704', '0.0']
['1731068625.72', '10757.3200756', '10757.4187569', '0.0']
['1731068626.22', '10757.0361659', '10756.8690844', '0.0']
['1731068626.72', '10757.1590329', '10757.6815556', '0.0']
['1731068627.23', '10757.2447725', '10757.7589045', '0.0']
['1731068627.73', '10757.3424918', '10757.575119', '0.0']
['1731068628.23', '10757.8281061', '10757.7891168', '0.0']
['1731068628.73', '10757.6179096', '10758.3415315', '0.0']
['1731068629.23', '10757.7775818', '10757.9929247', '0.0']
['1731068629.73', '10758.0102555', '10757.9213748', '0.0']
['1731068630.23', '10758.0597504', '10758.3520634', '0.0']
['1731068630.73', '10758.6391415', '10758.6254666', '0.0']
['1731068631.23', '10758.6611094', '10758.5276827', '0.0']
['1731068631.73', '10758.7327582', '10758.8393674', '0.0']
['1731068632.23', '10759.3654455', '10759.2460597', '0.0']
['1731068632.73', '10758.8171871', '10759.1728627', '0.0']
['1731068633.23', '10759.4381532', '10759.6184882', '0.0']
['1731068633.73', '10759.4349687', '10759.3406222', '0.0']
['1731068634.23', '10759.7577829', '10759.6793729', '0.0']
['1731068634.74', '10759.9807564', '10759.4836014', '0.0']
['1731068635.24', '10760.1705653', '10760.1402161', '0.0']
['1731068635.74', '10760.0870365', '10760.2182374', '0.0']
['1731068636.24', '10760.341226', '10760.5735532', '0.0']
['1731068636.74', '10760.711564', '10760.1904863', '0.0']
['1731068637.24', '10760.2033827', '10760.3220331', '0.0']
['1731068637.74', '10760.4158002', '10760.9136962', '0.0']
['1731068638.24', '10761.0186624', '10761.1544983', '0.0']
['1731068638.74', '10761.1128933', '10760.6374368', '0.0']
['1731068639.24', '10760.7527099', '10761.3199922', '0.0']
['1731068639.74', '10761.1893312', '10760.949193', '0.0']
['1731068640.24', '10761.1043231', '10761.5181788', '0.0']
['1731068640.74', '10761.5925237', '10761.343984', '0.0']
['1731068641.24', '10761.5335592', '10761.893335', '0.0']
['1731068641.74', '10762.0398733', '10761.7105018', '0.0']
['1731068642.24', '10762.1481457', '10762.1996612', '0.0']
['1731068642.74', '10762.1817275', '10762.027064', '0.0']
['1731068643.24', '10762.6030268', '10762.3217813', '0.0']
['1731068643.74', '10762.2756704', '10762.50249', '0.0']
