Time,F4C1Bitrate,F4C1Jitter,F4C1Datagrams,F4C1Delay,F4C1Distance,F4F2Bitrate,F4F2Jitter,F4F2Datagrams,F4F2Delay,F4F2Distance,F4S1Bitrate,F4S1Jitter,F4S1Datagrams,F4S1Delay,F4S1Distance,F4F1Bitrate,F4F1Jitter,F4F1Datagrams,F4F1Delay,F4F1Distance,F2C1Bitrate,F2C1Jitter,F2C1Datagrams,F2C1Delay,F2C1Distance,F2F1Bitrate,F2F1Jitter,F2F1Datagrams,F2F1Delay,F2F1Distance,F2S1Bitrate,F2S1Jitter,F2S1Datagrams,F2S1Delay,F2S1Distance,F2F4Bitrate,F2F4Jitter,F2F4Datagrams,F2F4Delay,F2F4Distance,F1F4Bitrate,F1F4Jitter,F1F4Datagrams,F1F4Delay,F1F4Distance,F1C1Bitrate,F1C1Jitter,F1C1Datagrams,F1C1Delay,F1C1Distance,F1S1Bitrate,F1S1Jitter,F1S1Datagrams,F1S1Delay,F1S1Distance,F1F2Bitrate,F1F2Jitter,F1F2Datagrams,F1F2Delay,F1F2Distance,C1F4Bitrate,C1F4Jitter,C1F4Datagrams,C1F4Delay,C1F4Distance,C1S1Bitrate,C1S1Jitter,C1S1Datagrams,C1S1Delay,C1S1Distance,C1F2Bitrate,C1F2Jitter,C1F2Datagrams,C1F2Delay,C1F2Distance,C1F1Bitrate,C1F1Jitter,C1F1Datagrams,C1F1Delay,C1F1Distance,S1F1Bitrate,S1F1Jitter,S1F1Datagrams,S1F1Delay,S1F1Distance,S1F2Bitrate,S1F2Jitter,S1F2Datagrams,S1F2Delay,S1F2Distance,S1F4Bitrate,S1F4Jitter,S1F4Datagrams,S1F4Delay,S1F4Distance,S1C1Bitrate,S1C1Jitter,S1C1Datagrams,S1C1Delay,S1C1Distance
1731071782.23,0.9945883795649766,-0.7482183948836157,-0.08130555163924134,-0.22930381829072824,-0.9503887159314992,-0.4701064190188034,0.2748029905821008,-0.07921739379455772,-0.25964669700205234,1.046235352216009,0.2216672009158483,1.194244253459348,-0.2097178199314469,-0.0656941852334579,1.0421317239158652,-0.49238097370398193,-0.6878936466318547,-0.09678660952375635,-0.3345120832476215,1.0462342103809599,0.9615405870746049,0.3176294954200472,-0.07518754852562552,-0.11278542097136271,-1.041226665517623,-0.23948048582963297,0.07482164614198775,-0.0431494895617464,-0.0962290795047846,1.046239915237385,0.5911127968024926,-0.3698517585231557,-0.13004916117839413,0.061701287122074434,1.0420825823740543,-0.4558373623490976,0.23407809362338095,-0.0690561847543834,-0.2178151129480416,1.046235352216009,-0.5230590715676572,0.03580571210951575,-0.08585116453692851,-0.07383634356092292,1.0462342103809599,0.9999659666317757,-0.15464218936330268,-0.07874317820644873,1.4653017483579607,-1.0413168898228669,0.7117884961418437,0.08946720056267415,-0.14574457356071366,-0.11774455559999498,1.042560659045115,-0.5523792619826028,-0.10056259921993745,-0.0400233482959809,-0.22005215211076348,1.046239915237385,-0.482115029746528,-0.39454990927815325,-0.10539889631426844,-0.2804461610118427,-0.9503887159314992,0.6428705055521089,-0.09979099216242675,-0.18097790867321242,-0.05289509164010508,-1.032329496551103,-0.15045206639380151,0.43559246241330873,-0.09972105409848263,-0.308798538378148,-1.041226665517623,-0.4501463163628999,-0.1812935869446303,-0.13448561582809335,-0.03883010915090854,-1.0413168898228669,-0.4742677878317513,-0.4555723301088396,-0.16079260305988133,-0.15383988727809422,1.042560659045115,-0.40881180358707603,-0.07590234360647133,-0.1264435866502287,-0.3291741843102112,1.0420825823740543,-0.040919754261378345,1.6248579536975383,-0.2200071895867306,-0.10559676343816948,1.0421317239158652,0.9600569007030418,0.45118362847831156,-0.10618487618330075,-0.42378630091747965,-1.032329496551103
1731071782.73,-0.9559572836102508,-0.44168482792893815,-0.08130555163924134,0.10999172031904358,-0.9504128289192701,-0.4701064190188034,-0.2758504401770737,-0.07921739379455772,-0.1363961286986109,1.0466019104614406,-0.01320559509355501,1.0956956203697967,-0.2097178199314469,-0.028843102062325852,1.0421199517504602,-0.49238097370398193,-0.296154799798554,-0.09678660952375635,-0.12063630670751983,1.0466007616500157,-0.9214443623352827,-0.1665922766177142,-0.07518754852562552,-0.32980062350207995,-1.0415717547216041,-0.5361107402806123,0.025991136270508447,-0.0431494895617464,-0.18693895283179307,1.046606501384806,-0.4549339772403137,-0.3299678437993131,-0.13004916117839413,-0.3891655580198721,1.0395756750112735,-0.4558373623490976,0.4868619625921415,-0.0690561847543834,-0.4124243898403614,1.0466019104614406,-0.5230590715676572,-0.11658123778302693,-0.08585116453692851,-0.21188119720349066,1.0466007616500157,-0.997291633301208,-0.14387000537433,-0.07874317820644873,-0.19904725749624638,-1.041662708522903,-0.555698624888636,0.16239571901851899,-0.14574457356071366,-0.07057627722559098,1.0408045286914254,-0.5523792619826028,0.022901120986250658,-0.0400233482959809,-0.09625537899198466,1.046606501384806,-0.482115029746528,-0.6748771111997521,-0.10539889631426844,-0.092254869924883,-0.9504128289192701,-0.4222467253601425,-0.09979099216242675,-0.18097790867321242,-0.19732828568449876,-1.0427323528616432,-0.37451332194942155,0.713378788411079,-0.09972105409848263,0.38643729664828325,-1.0415717547216041,-0.18210587065310885,-0.2218576496018971,-0.13448561582809335,1.3032925184265065,-1.041662708522903,-0.4742677878317513,-0.5796280714332596,-0.16079260305988133,0.257247786615043,1.0408045286914254,-0.40881180358707603,0.18427051632105532,-0.1264435866502287,0.7276722484115159,1.0395756750112735,-0.040919754261378345,1.7405617015732202,-0.2200071895867306,-0.03192935657763875,1.0421199517504602,-0.9000588213515957,-0.1605627273253531,-0.10618487618330075,-0.13682485276527537,-1.0427323528616432
1731071783.23,0.9945883795649766,-0.3915598421376073,-0.08130555163924134,-0.030729931638926285,-0.950436834728331,-0.4701064190188034,-0.4079177264160629,-0.07921739379455772,-0.2569673368215427,1.0469684735037486,0.2216672009158483,1.5248590225339735,-0.2097178199314469,-0.002520899797231543,1.042478753341644,-0.49238097370398193,-0.4545785981502565,5.209617533313542,-0.18874961133812543,1.0469673177140248,0.9615405870746049,0.8326212128381348,-0.07518754852562552,-0.11571805884339949,-1.0419168434283461,1.5403010408762854,0.10466251328566954,-0.0431494895617464,-0.10114560380435145,1.0469730923367973,0.5911127968024926,0.09280165227341843,-0.13004916117839413,-0.22486662292577295,1.0411467466284574,-0.4558373623490976,0.37655627431486416,-0.0690561847543834,-0.3345806790834334,1.0469684735037486,-0.5230590715676572,-0.19693072045364005,-0.08585116453692851,-0.11038589747850708,1.0469673177140248,-0.9358375533032686,0.5670941378978647,-0.07874317820644873,-0.13637302715027202,-1.0420085269643469,0.9230363496469286,0.7425089340081935,-0.14574457356071366,-0.22298877672288384,1.041910348267526,1.5654901422388978,1.7060391842053069,-0.0400233482959809,1.2989677126439823,1.0469730923367973,1.4837717346024528,-0.23329974888077343,-0.10539889631426844,0.04033444879547497,-0.950436834728331,0.6428705055521089,2.3113455394701776,-0.18097790867321242,-0.24099413504675726,-1.0403556760773396,1.1939154669399505,0.6552374643650337,-0.09972105409848263,0.07851277456045204,-1.0419168434283461,1.4261368036056759,0.12040162906879147,-0.13448561582809335,-0.21269599499616454,-1.0420085269643469,1.5345349014458474,-0.2893376367341167,-0.16079260305988133,-0.1681518285173368,1.041910348267526,1.3238737872461357,-0.22665671104111282,-0.1264435866502287,0.8990527510150391,1.0411467466284574,0.519442976377961,1.8609880514030113,-0.2200071895867306,9.995075302681723e-05,1.042478753341644,0.9891212088601449,0.31001139252361976,-0.10618487618330075,0.01303279238087564,-1.0403556760773396
1731071783.73,-0.9559572836102508,-0.565069408338368,-0.08130555163924134,-0.19959591398849016,-0.9504607333582467,1.4078925534308646,-0.9764785858178121,-0.07921739379455772,-0.2382118155579756,1.0473350413423244,-0.28722385710452925,1.8077889691459121,-0.2097178199314469,0.10803234971616445,1.0430822818434289,-0.49238097370398193,0.3577034224893816,-0.09678660952375635,-0.31498626925351453,1.0473338785723756,-0.9214443623352827,0.7208777269832668,-0.07518754852562552,0.04264438624658334,-1.0422619316378354,-0.5361107402806123,1.0894111290271675,-0.0431494895617464,0.007017930786119436,1.0473396880927544,-0.4549339772403137,0.6644710966484961,-0.13004916117839413,-0.13316489171046186,1.0442082563805997,1.3606789603202112,0.700579233629366,-0.0690561847543834,-0.39296346215112943,1.0473350413423244,1.5402056016320396,-0.47953924570890083,-0.08585116453692851,-0.1441239472485847,1.0473338785723756,0.9692389266328074,0.1631372383113905,-0.07874317820644873,-0.1605949519216631,-1.0423543451471928,-0.555698624888636,1.428699994024551,-0.14574457356071366,-0.09710843381119323,1.0441733039424281,-0.5523792619826028,0.5646296892378933,-0.0400233482959809,-0.2190483944908815,1.0473396880927544,-0.482115029746528,-0.530992352691321,-0.10539889631426844,-0.2680426440992931,-0.9504607333582467,-0.4222467253601425,-0.043645510183918435,-0.18097790867321242,-0.2645065154725888,-1.0320727093627557,-0.37451332194942155,1.4498355596609813,-0.09972105409848263,-0.23181740785619023,-1.0422619316378354,-0.4501463163628999,0.18378297697077062,-0.13448561582809335,-0.06323233874322513,-1.0423543451471928,-0.4742677878317513,0.3830444812442399,-0.16079260305988133,-0.18642239180147618,1.0441733039424281,-0.16128529061090793,0.6049238319048138,-0.1264435866502287,1.952328756599193,1.0442082563805997,-0.5212306662379566,0.4324009602848999,-0.2200071895867306,0.12821718007568902,1.0430822818434289,-0.9291231295086987,0.2917956201423692,-0.10618487618330075,-0.35364016914694085,-1.0320727093627557
1731071784.23,0.9945883795649766,-0.4243338713088622,-0.08130555163924134,-0.1989704844242325,-0.9504845248085952,-0.4701064190188034,-1.2137520153319277,-0.07921739379455772,2.497414928742322,1.0477016139765536,0.2216672009158483,-0.6241369764510893,-0.2097178199314469,-0.049900863874401305,1.0433553011078989,-0.49238097370398193,-0.08300278019808174,-0.09678660952375635,2.1180209721517187,1.0477004442244577,-0.9214443623352827,0.19940812632721588,7.1389565094465715,-0.2535520388291253,-1.0426070193500523,-0.5361107402806123,0.3569534809549789,-0.0431494895617464,-0.20168852573049365,1.0477062886520647,-0.4549339772403137,0.49961758245661314,2.0283981344429933,-0.27453839400073327,1.0454296616828107,-0.4558373623490976,0.5902735453520888,-0.0690561847543834,-0.22170729848588788,1.0477016139765536,-0.5230590715676572,0.32672625281346057,-0.08585116453692851,-0.20344668476097127,1.0477004442244577,0.9999659666317757,-0.3682905051445935,-0.07874317820644873,-0.17391701054592817,-1.0427001630714043,-0.555698624888636,-0.22213646920320798,-0.14574457356071366,-0.061732225030390296,1.0449787974831857,-0.5523792619826028,-0.09804293146062748,-0.0400233482959809,-0.09960123772492463,1.0477062886520647,-0.482115029746528,-0.3647806488970986,-0.10539889631426844,-0.139302692696623,-0.9504845248085952,0.6428705055521089,-0.5676700086499956,-0.18097790867321242,-0.026023799724869033,-1.0314022745418012,-0.37451332194942155,1.1397484980820751,-0.09972105409848263,-0.2005438235816449,-1.0426070193500523,-0.4501463163628999,0.18124772305469145,-0.13448561582809335,-0.17578762273778564,-1.0427001630714043,-0.18729597507781445,-0.34144104809037307,-0.16079260305988133,-0.20499746447368464,1.0449787974831857,-0.40881180358707603,0.2499216118167864,-0.1264435866502287,0.02429810230955559,1.0454296616828107,0.519442976377961,0.16321264890066048,-0.2200071895867306,-0.07677038684057047,1.0433553011078989,0.9600569007030418,-0.1195772394675393,-0.10618487618330075,-0.11769408955512842,-1.0314022745418012
1731071784.73,-0.9559572836102508,-0.7193001338501556,-0.08130555163924134,0.03494017260812632,-0.9505082090789438,-0.4701064190188034,-1.4219258733018598,-0.07921739379455772,-0.19534205266982207,1.0480681914058292,-0.28722385710452925,0.9685360938026332,2.220996528515012,0.38178325327314516,1.0433849406876095,-0.49238097370398193,-0.39408951150687926,-0.09678660952375635,-0.05706388905228786,1.0480670146696556,-0.9214443623352827,0.04069998699711348,-0.07518754852562552,-0.28874369329356586,-1.042952106564983,-0.5361107402806123,-0.104223556720103,-0.0431494895617464,-0.07656298230651715,1.048072894014143,-0.4549339772403137,-1.183483618889545,-0.13004916117839413,-0.4044491798890907,1.0448084145388234,-0.4558373623490976,0.698281198456923,-0.0690561847543834,2.3471351564927336,1.0480681914058292,-0.5230590715676572,-0.3465469985299547,-0.08585116453692851,-0.07102483941341645,1.0480670146696556,-0.9665645933022396,0.1272299583481483,-0.07874317820644873,-0.16665043311451086,-1.043045980736983,0.7117884961418437,-1.422142091067563,-0.14574457356071366,-0.2347808463164848,1.04441387638016,1.5654901422388978,0.06069613737590016,-0.0400233482959809,-0.05275921546376504,1.048072894014143,-0.482115029746528,-0.27051132435709185,-0.10539889631426844,-0.13502561789919207,-0.9505082090789438,-0.4222467253601425,-0.795371130007279,-0.18097790867321242,-0.3081723648348473,-1.0373647836193394,-0.37451332194942155,1.0126989381296068,-0.09972105409848263,-0.29917589706290326,-1.042952106564983,-0.4501463163628999,0.1406836603974249,-0.13448561582809335,-0.21940660813405163,-1.043045980736983,-0.4742677878317513,0.1547819172073071,-0.16079260305988133,-0.15688498115878413,1.04441387638016,-0.40881180358707603,0.5927662216278263,-0.1264435866502287,-0.39701229992410586,1.0448084145388234,-0.040919754261378345,0.6968666697150293,-0.2200071895867306,1.2716634517804484,1.0433849406876095,-0.9000588213515957,1.0781097945996851,-0.10618487618330075,-0.11450562902010399,-1.0373647836193394
1731071785.23,0.9945883795649766,-0.4551800164112196,-0.08130555163924134,-0.1933416183459137,-0.9505317861688749,1.4078925534308646,-1.3077660157054454,-0.07921739379455772,0.12082244863031037,1.0484347736295376,0.2216672009158483,-0.5255883433615375,-0.2097178199314469,5.388266124094079,1.0435569658670556,-2.192406659328153,-0.20398095348483614,5.3807918605018425,-0.1751269504120043,1.0484335899073685,0.9615405870746049,-0.43380496018370285,-0.07518754852562552,-0.35032908860633694,-1.0432971932826078,-0.23948048582963297,0.245728430692165,-0.0431494895617464,-0.12818648745196914,1.0484395041783237,0.5911127968024926,-0.8218694587267051,-0.13004916117839413,-0.3929864634871768,1.0422895902008371,1.3606789603202112,0.7511360074231181,-0.0690561847543834,-0.49416028613513574,1.0484347736295376,1.5402056016320396,-0.05285578600978181,-0.08585116453692851,0.8539600251162125,1.0484335899073685,-0.9665645933022396,-0.4167653330949703,-0.07874317820644873,-0.15151173013239144,-1.0433917981438832,0.7117884961418437,-0.8155094148212177,-0.14574457356071366,-0.18171653314528036,1.04283736603474,-0.24982648995096596,0.0430584630607304,-0.0400233482959809,-0.23042431418287737,1.0484395041783237,1.4837717346024528,-0.4987423206118449,-0.10539889631426844,2.0719449775751535,-0.9505317861688749,0.6428705055521089,-0.33684969384946184,-0.18097790867321242,-0.32832583377127433,-1.0457151025439737,1.1939154669399505,1.1009876153847118,-0.09972105409848263,-0.2630909921307356,-1.0432971932826078,1.4261368036056759,0.171106707390375,-0.13448561582809335,-0.014427879558591884,-1.0433917981438832,1.5345349014458474,-0.11814071370641693,-0.16079260305988133,-0.09902819742567594,1.04283736603474,1.3238737872461357,0.2645107441491711,-0.1264435866502287,-0.33631503858535805,1.0422895902008371,0.519442976377961,0.021534590277376826,-0.2200071895867306,0.03533218881675887,1.0435569658670556,0.9600569007030418,0.3601047665720587,-0.10618487618330075,0.6539133599207985,-1.0457151025439737
1731071785.73,-0.9559572836102508,-0.243112768832512,-0.08130555163924134,-0.15894299231174328,-0.9505552560779598,-0.4701064190188034,-1.343580872990595,-0.07921739379455772,-0.17658653140625483,1.0488013606470705,-0.01320559509355501,-0.3761758996451203,-0.2097178199314469,0.02906574292088163,1.0438278421255003,1.4909823261908777,-0.23854614585248035,-0.09678660952375635,-0.22462261844357775,1.0488001699369822,-0.9214443623352827,0.8666300998374427,-0.07518754852562552,-0.3210027098859698,-1.0436422795029199,1.5403010408762854,0.7286079171990155,-0.0431494895617464,-0.1881680839066848,1.0488061191440268,-0.4549339772403137,-0.6968998592586652,-0.13004916117839413,1.590063474043927,1.0427748793719998,-0.4558373623490976,0.6247440729387381,-0.0690561847543834,-0.2995510092428159,1.0488013606470705,-0.5230590715676572,-0.2412614695132888,-0.08585116453692851,-0.19754252605120767,1.0488001699369822,0.9999659666317757,0.24931471022317153,-0.07874317820644873,-0.21206654206086908,-1.0437376152921019,-0.555698624888636,-1.0674442967595907,-0.14574457356071366,0.011968209929615899,1.043192078723058,-0.5523792619826028,0.433606965753775,-0.0400233482959809,-0.10963881392374455,1.0488061191440268,-0.482115029746528,-0.5061846357071086,-0.10539889631426844,-0.11791731870946845,-0.9505552560779598,-0.4222467253601425,-1.0760985398998206,-0.18097790867321242,-0.1939693741950942,-1.0466195304341706,-0.37451332194942155,1.3916942356149364,-0.09972105409848263,-0.15724193766304367,-1.0436422795029199,-0.4501463163628999,0.25477008662098755,-0.13448561582809335,-0.1971395736310627,-1.0437376152921019,-0.4742677878317513,-0.24467756985732547,-0.16079260305988133,-0.07771254026084659,1.043192078723058,-0.40881180358707603,0.34231944992188945,-0.1264435866502287,-0.2934699129344773,1.0427748793719998,-0.040919754261378345,0.193909561602372,-0.2200071895867306,0.022520465884492715,1.0438278421255003,-0.9000588213515957,-0.25619553232691844,-0.10618487618330075,-0.3281324848667449,-1.0466195304341706
1731071786.23,-0.9559572836102508,-0.4166223350332728,-0.08130555163924134,-0.21241722005577182,-0.9505786188057831,-0.4701064190188034,-1.0995921577355137,-0.07921739379455772,0.10742564772776243,1.049167952457818,0.2216672009158483,0.05616649068323514,-0.2097178199314469,0.07118126654503242,1.044476612462529,-0.49238097370398193,-0.010991962765489643,-0.09678660952375635,-0.16150428948588325,1.0491667547578873,0.9615405870746049,0.20750548037467026,-0.07518754852562552,0.2186026585687865,-1.043987365225899,-0.5361107402806123,0.5875419997925198,-0.0431494895617464,-0.05443862295846627,1.0491727389106362,0.5911127968024926,-0.6596748721830787,-0.13004916117839413,-0.19429937918733586,1.0452948398381898,-0.4558373623490976,0.9809395246674459,-0.0690561847543834,-0.3540416067726654,1.049167952457818,-0.5230590715676572,-0.025149067847501323,-0.08585116453692851,-0.14131244310107824,1.0491667547578873,0.9999659666317757,0.030280302447394394,-0.07874317820644873,-0.12123432416815269,-1.0440834321816184,0.7117884961418437,-1.1271130845870998,-0.14574457356071366,-0.1949826114380815,1.0451710432201595,-0.5523792619826028,0.2874662357137969,-0.0400233482959809,0.21156362443849241,1.0491727389106362,-0.482115029746528,-0.5954924168502728,-0.10539889631426844,-0.27959074605235656,-0.9505786188057831,0.6428705055521089,-0.9856419300455571,-0.18097790867321242,-0.19061046270568974,-1.0389655726432534,-0.15045206639380151,0.9179501137582741,-0.09972105409848263,-0.19573250292402253,-1.043987365225899,-0.4501463163628999,0.32575719627120453,-0.13448561582809335,-0.22611722127193867,-1.0440834321816184,-0.4742677878317513,-0.23475311055137188,-0.16079260305988133,-0.23179429062375578,1.0451710432201595,-0.40881180358707603,0.8310553830567762,-0.1264435866502287,-0.33274461144778467,1.0452948398381898,-0.040919754261378345,0.4961560866653774,-0.2200071895867306,0.1474347644740882,1.044476612462529,0.9600569007030418,-0.40495767344046485,-0.10618487618330075,-0.34088632700684285,-1.0389655726432534
1731071786.73,0.9945883795649766,0.12318520425798322,-0.08130555163924134,0.24133192881314885,-0.9506018743519205,-0.20182085152599916,-0.6496680130908223,-0.07921739379455772,0.4423456702914619,1.0495345490611692,-0.01320559509355501,-0.5287673315257166,-0.2097178199314469,0.4712787409744657,1.0451449022116275,-0.20904335943329344,-0.16365489572258457,-0.09678660952375635,0.13365336391340787,1.0495333443694732,-0.9214443623352827,0.15406294366147227,-0.07518754852562552,-0.2300909358528315,-1.044332450451519,-0.5361107402806123,0.2674308795239336,-0.0431494895617464,-0.029856001460632022,1.0495393634775436,-0.4549339772403137,-0.08002864486323277,-0.13004916117839413,-0.33567288147760727,1.0431323032467554,-0.1963350305392016,1.6060050915720165,-0.0690561847543834,-0.2450604117129663,1.0495345490611692,-0.5230590715676572,0.07182444572048038,-0.08585116453692851,-0.1671782812581378,1.0495333443694732,-0.9665645933022396,-0.3090434932052439,-0.07874317820644873,0.9899464747194114,-1.0444292488124045,-0.555698624888636,-0.5105356103695031,-0.14574457356071366,-0.03225205104638779,1.0443164492747188,1.5654901422388978,0.31518258106620656,-0.0400233482959809,-0.25652201229980914,1.0495393634775436,-0.482115029746528,0.47123941347085513,-0.10539889631426844,-0.139302692696623,-0.9506018743519205,-1.664883494757786,1.0605489687267435,1.7125343850160237,-0.37870950611234183,-1.0409556577500425,-0.37451332194942155,0.5626420223657772,-0.09972105409848263,-0.1981381632528337,-1.044332450451519,-0.4501463163628999,0.637593427948943,-0.13448561582809335,-0.09983568313170012,-1.0444292488124045,-0.4742677878317513,-0.420836722538002,-0.16079260305988133,-0.20377942692140866,1.0443164492747188,-0.40881180358707603,-0.0005251598891504476,-0.1264435866502287,-0.16136410884426133,1.0431323032467554,-0.040919754261378345,0.5197690964359247,-0.2200071895867306,0.10259373421115656,1.0451449022116275,-0.9000588213515957,-0.37004410970973456,-0.10618487618330075,-0.23566712935103462,-1.0409556577500425
