Time,Bitrate,Jitter,Datagrams,Delay,S1_X,S1_Y,S1_Z,C1_X,C1_Y,C1_Z,Distance
1731070802.05,8.31,1.301,0.0,1.39,11408.4554487,11408.2657279,0.0,5787.13,6150.19,0.0,7697.185210226748
1731070802.55,8.32,0.823,0.0,3.23,11408.8424671,11408.9885111,0.0,5787.26,6150.38,0.0,7697.7368691986
1731070803.05,7.67,1.298,0.0,2.13,11408.5651954,11408.6724715,0.0,5787.39,6150.57,0.0,7697.093748823295
1731070803.55,8.32,0.604,0.0,1.71,11408.9873805,11408.9959334,0.0,5787.52,6150.76,0.0,7697.398303409049
1731070804.05,7.69,0.658,0.0,2.92,11409.4362071,11408.9116218,0.0,5787.65,6150.95,0.0,7697.4437688534945
1731070804.55,7.68,0.536,0.0,2.38,11409.5625758,11408.9034569,0.0,5787.78,6151.14,0.0,7697.305755800631
1731070805.05,8.31,0.776,0.0,2.54,11409.4172357,11409.2182192,0.0,5787.91,6151.33,0.0,7697.189885057378
1731070805.55,8.32,1.441,0.0,2.12,11409.8503148,11409.206834,0.0,5788.04,6151.52,0.0,7697.2736770890915
1731070806.05,7.68,0.692,0.0,1.81,11409.4460822,11409.5942188,0.0,5788.17,6151.71,0.0,7697.018335084039
1731070806.55,8.32,0.488,0.0,2.79,11409.811404,11409.8737023,0.0,5788.3,6151.9,0.0,7697.251322347505
1731070807.05,7.68,0.417,0.0,2.87,11409.6749574,11409.775743,0.0,5788.43,6152.09,0.0,7696.860024921877
1731070807.55,8.33,0.595,0.0,1.6,11409.8364717,11410.2611287,0.0,5788.56,6152.28,0.0,7697.0848196608395
1731070808.05,7.68,0.997,0.0,3.1,11410.4140392,11410.3672463,0.0,5788.69,6152.47,0.0,7697.354391319676
1731070808.55,8.32,0.682,0.0,1.69,11410.4139155,11410.3178485,0.0,5788.82,6152.66,0.0,7697.095829121545
1731070809.05,7.68,0.574,0.0,1.76,11410.7088301,11410.7654662,0.0,5788.95,6152.85,0.0,7697.392246307349
1731070809.55,8.32,0.497,0.0,4.12,11410.5285761,11410.5195009,0.0,5789.08,6153.04,0.0,7696.867856220504
1731070810.05,7.68,0.963,0.0,1.77,11410.567808,11410.7904543,0.0,5789.21,6153.23,0.0,7696.856860834934
1731070810.55,8.32,0.729,0.0,1.76,11411.4156126,11411.1675265,0.0,5789.34,6153.42,0.0,7697.508898741756
1731070811.05,7.68,0.81,0.0,2.57,11411.3829088,11410.9641737,0.0,5789.47,6153.61,0.0,7697.12138801597
1731070811.55,8.32,0.804,0.0,1.47,11411.1324545,11411.1919488,0.0,5789.6,6153.8,0.0,7696.869314227952
1731070812.05,7.68,0.639,0.0,7.44,11411.3777263,11411.5552323,0.0,5789.73,6153.99,0.0,7697.071867307964
1731070812.55,8.32,1.107,0.0,1.48,11411.775179,11411.4258678,0.0,5789.86,6154.18,0.0,7697.049070544554
1731070813.05,7.68,0.822,0.0,1.59,11411.8302265,11411.4544869,0.0,5789.99,6154.37,0.0,7696.884099081798
1731070813.55,8.32,1.141,0.0,2.29,11412.3090458,11412.1396396,0.0,5790.12,6154.56,0.0,7697.477075863882
1731070814.05,7.68,0.871,0.0,1.77,11412.083529,11411.7961959,0.0,5790.25,6154.75,0.0,7696.853053918547
1731070814.55,8.32,0.442,0.0,1.55,11412.5399636,11412.5054601,0.0,5790.38,6154.94,0.0,7697.446149440948
1731070815.05,7.68,1.086,0.0,2.18,11412.4707852,11412.7374798,0.0,5790.51,6155.13,0.0,7697.329373359015
1731070815.55,8.29,0.937,0.0,2.09,11412.647477,11412.4391461,0.0,5790.64,6155.32,0.0,7697.0299328854835
1731070816.05,7.71,0.992,0.0,2.14,11412.5330388,11412.6717368,0.0,5790.77,6155.51,0.0,7696.880484410019
1731070816.55,7.68,0.938,0.077,4.68,11412.5671887,11412.6170013,0.0,5790.9,6155.7,0.0,7696.643316346624
1731070817.05,7.69,0.481,0.0,1.73,11413.344824,11413.130832,0.0,5791.03,6155.89,0.0,7697.337536175623
1731070817.55,8.31,0.954,0.0,2.72,11413.5289854,11412.836781,0.0,5791.16,6156.08,0.0,7697.046502560402
1731070818.05,7.68,0.49,0.0,1.97,11413.2720295,11413.5299632,0.0,5791.29,6156.27,0.0,7697.107525602498
1731070818.55,8.32,0.947,0.0,1.55,11413.3425739,11413.1492232,0.0,5791.42,6156.46,0.0,7696.674282846678
1731070819.05,7.68,0.827,0.0,3.25,11413.9288128,11413.5575802,0.0,5791.55,6156.65,0.0,7697.156671225198
1731070819.55,8.32,0.448,0.0,1.54,11413.6742024,11414.0447541,0.0,5791.68,6156.84,0.0,7697.078708078204
1731070820.05,7.68,1.023,0.0,1.66,11414.2447502,11414.2851554,0.0,5791.81,6157.03,0.0,7697.434916206594
1731070820.55,8.32,0.71,0.0,2.77,11413.7005477,11414.252885,0.0,5791.94,6157.22,0.0,7696.790656478038
1731070821.05,7.68,1.106,0.0,2.09,11414.1757211,11414.5653509,0.0,5792.07,6157.41,0.0,7697.1264198220015
1731070821.55,7.68,0.725,0.0,9.76,11414.2760832,11414.4472434,0.0,5792.2,6157.6,0.0,7696.8943364016395
1731070822.05,8.32,0.562,0.0,1.74,11414.5846921,11414.5735056,0.0,5792.33,6157.79,0.0,7696.981268496675
1731070822.55,8.32,1.331,0.0,1.67,11414.7538518,11414.4798697,0.0,5792.46,6157.98,0.0,7696.816162293615
1731070823.05,7.68,0.841,0.0,1.71,11414.8014216,11414.8689106,0.0,5792.59,6158.17,0.0,7696.891886071462
1731070823.55,8.32,1.206,0.0,2.59,11415.1243393,11414.9923409,0.0,5792.72,6158.36,0.0,7696.987340640187
1731070824.05,7.68,0.583,0.0,1.56,11415.4977128,11414.8294149,0.0,5792.85,6158.55,0.0,7696.924099259167
1731070824.55,8.32,0.528,0.0,1.8,11415.3136037,11415.4125216,0.0,5792.98,6158.74,0.0,7696.963112204627
1731070825.05,7.68,0.904,0.0,1.6,11415.3886558,11415.6348775,0.0,5793.11,6158.93,0.0,7696.945072728306
1731070825.55,8.32,0.832,0.0,1.53,11415.2880628,11415.5385708,0.0,5793.24,6159.12,0.0,7696.5810988960775
1731070826.05,7.68,1.323,0.0,3.95,11415.7059935,11415.8831168,0.0,5793.37,6159.31,0.0,7696.896969303285
1731070826.55,8.32,0.687,0.0,1.85,11415.93137,11415.5362427,0.0,5793.5,6159.5,0.0,7696.5999957732
1731070827.05,7.68,0.553,0.0,2.11,11415.8351181,11416.0966658,0.0,5793.63,6159.69,0.0,7696.687691874766
1731070827.55,8.32,0.501,0.0,1.87,11416.1637287,11416.230044,0.0,5793.76,6159.88,0.0,7696.794103622524
1731070828.05,7.68,0.766,0.0,1.91,11416.006375,11416.3547498,0.0,5793.89,6160.07,0.0,7696.5396058893375
1731070828.55,8.32,1.377,0.0,2.22,11416.3146844,11416.3459456,0.0,5794.02,6160.26,0.0,7696.534089170679
