Time,S1F2Bitrate,S1F2Jitter,S1F2Datagrams,S1F2Delay,S1F2Distance,S1F4Bitrate,S1F4Jitter,S1F4Datagrams,S1F4Delay,S1F4Distance,S1C1Bitrate,S1C1Jitter,S1C1Datagrams,S1C1Delay,S1C1Distance,S1F1Bitrate,S1F1Jitter,S1F1Datagrams,S1F1Delay,S1F1Distance
1731068776.81,19.9,0.706,0.0,1.86,4221.362447691103,19.8,0.678,0.0,0.901,4310.999334927277,7.68,0.902,0.0,4.41,7750.467609941045,19.8,0.639,0.0,1.01,3940.474889067736
1731068777.31,19.8,0.864,0.0,1.83,4221.621562693885,19.8,0.847,0.0,1.07,4311.330176214245,8.32,0.749,0.0,2.12,7750.608643460901,19.8,0.68,0.0,1.48,3940.738839626102
1731068777.81,20.5,0.652,0.0,1.96,4222.084763210935,20.5,0.695,0.0,1.41,4312.13385944899,8.32,0.84,0.0,1.61,7751.147169902354,20.5,0.742,0.0,0.867,3941.2811445324014
1731068778.31,19.8,0.73,0.0,2.08,4221.5604539790975,19.8,0.658,0.0,0.935,4312.209505866582,7.68,0.687,0.0,1.76,7750.739489655989,19.9,0.726,0.0,0.876,3940.81796306075
1731068778.81,19.8,0.578,0.0,1.78,4221.624815749271,19.8,0.815,0.0,0.877,4312.076087586821,7.68,1.133,0.0,1.57,7750.493049075315,19.8,0.9,0.0,0.809,3940.813420513113
1731068779.31,19.8,0.637,0.0,1.71,4221.681749533895,19.9,0.841,0.0,0.882,4312.719306845609,8.32,1.035,0.0,2.37,7750.72939445236,19.8,0.947,0.0,0.808,3940.972508723631
1731068779.81,20.5,0.536,0.0,9.22,4221.805847397854,20.5,0.822,0.0,1.02,4312.547185752709,8.32,0.96,0.0,2.27,7750.488370701025,20.5,1.006,0.0,1.07,3941.010672680092
1731068780.31,19.8,0.686,0.0,2.57,4222.175602598965,19.8,0.861,0.0,1.09,4313.332966171542,7.68,0.992,0.0,2.22,7750.969300179949,19.9,0.87,0.0,1.43,3941.4690086374376
1731068780.81,19.9,0.52,0.0,2.26,4221.802139702954,19.8,0.855,0.0,0.954,4313.358433858105,7.69,0.521,0.0,1.9,7750.605042595999,19.8,0.951,0.0,1.88,3941.12409501721
1731068781.31,19.8,0.822,0.0,2.44,4221.865553846499,19.8,0.816,0.0,3.99,4313.622851834482,8.31,0.881,0.0,3.31,7750.607330434344,19.8,0.626,0.0,1.05,3941.2058210077935
1731068781.81,20.5,0.546,0.0,2.02,4222.009081030763,20.5,0.804,0.0,1.04,4313.766158150444,8.32,0.837,0.0,1.71,7750.573536689631,19.8,0.474,0.0,0.858,3941.329673633784
1731068782.31,19.9,0.588,0.0,1.81,4222.499376417072,19.8,0.834,0.0,1.32,4314.2897441931,7.68,0.845,0.0,2.09,7750.9500828386845,20.5,0.321,0.0,1.02,3941.833900692456
1731068782.81,19.8,0.657,0.0,1.78,4222.070093253702,19.9,0.963,0.0,0.835,4314.322796866657,7.68,0.896,0.0,1.68,7750.562852791922,19.8,0.403,0.0,1.42,3941.4428186745176
1731068783.31,19.9,0.696,0.0,1.91,4221.932619111241,19.8,0.619,0.0,1.94,4314.115992885618,8.32,0.715,0.0,2.57,7750.170263591833,19.8,0.361,0.0,0.738,3941.249239410583
1731068783.81,20.5,0.716,0.0,1.35,4222.662558182039,19.8,0.332,0.0,0.71,4315.031511249294,8.32,0.993,0.0,2.54,7750.911280617956,20.5,0.345,0.0,0.714,3942.044617216079
1731068784.31,19.9,0.677,0.0,10.9,4222.1168260347295,20.5,0.454,0.0,1.21,4314.98991506579,7.68,0.904,0.0,4.06,7750.41946450791,19.9,0.375,0.0,0.784,3941.5374147188377
1731068784.81,19.8,0.697,0.0,1.6,4222.652535915822,19.8,0.337,0.0,0.809,4315.56592442543,8.32,1.035,0.0,3.52,7750.851411486023,19.2,0.311,0.032,1.0,3942.092036473368
1731068785.31,19.8,0.737,0.0,1.94,4222.785117302394,19.8,0.397,0.0,1.03,4315.680068551403,7.68,1.059,0.0,3.92,7750.793933106794,19.8,0.404,0.0,1.3,3942.200116168082
1731068785.81,20.5,0.988,0.0,8.03,4222.438764862441,20.5,0.666,0.0,1.46,4315.6327561004255,8.32,0.681,0.0,3.77,7750.397527428432,19.9,0.578,0.0,0.769,3941.862487045145
1731068786.31,19.8,0.91,0.0,1.73,4222.327321932811,19.8,0.487,0.0,0.807,4315.99359979895,7.68,1.142,0.0,10.2,7750.373375900645,20.5,0.514,0.0,1.05,3941.815514122159
1731068786.81,19.8,0.556,0.0,2.0,4222.662299184026,19.8,0.406,0.0,4.91,4316.493620113242,7.69,0.662,0.0,2.14,7750.658067716668,19.8,0.455,0.0,1.5,3942.1815128970734
1731068787.31,19.9,0.227,0.0,2.83,4222.8557041445565,19.8,0.411,0.0,1.12,4316.717377654352,8.32,1.02,0.0,1.72,7750.699448245405,19.8,0.571,0.0,0.719,3942.365706128934
1731068787.81,20.5,0.316,0.0,2.08,4222.4501532528775,19.8,0.414,0.0,1.13,4316.437255958697,8.31,1.246,0.0,1.86,7750.127831494465,19.8,0.646,0.0,4.61,3941.926358577713
1731068788.31,19.9,0.416,0.0,1.84,4222.967671369253,20.5,0.411,0.0,1.76,4317.347729181558,7.69,0.641,0.0,1.66,7750.760223152329,20.5,0.673,0.0,0.817,3942.53866246864
1731068788.81,19.8,0.313,0.0,5.12,4222.406177573944,19.8,0.481,0.0,0.738,4316.900811312602,8.31,1.308,0.0,2.38,7750.006703034329,19.9,0.543,0.0,4.92,3941.929164479781
1731068789.31,19.8,0.292,0.0,1.88,4223.105979905297,19.8,0.635,0.0,0.997,4317.565212346792,7.68,0.886,0.0,1.46,7750.575533983215,19.8,0.634,0.0,1.45,3942.6437470763503
1731068789.81,20.5,0.417,0.0,2.11,4223.243689577628,19.9,0.58,0.0,1.48,4317.9563689407,8.32,1.218,0.0,2.07,7750.694092083059,20.5,0.518,0.0,0.846,3942.816888857992
1731068790.31,19.9,0.367,0.0,1.65,4222.746337418662,19.8,0.606,0.031,0.864,4318.000745349197,7.68,0.701,0.0,1.72,7750.28007725464,19.9,0.55,0.0,0.948,3942.3699703490056
1731068790.81,19.8,0.625,0.0,1.56,4222.865589209148,19.8,0.507,0.0,1.03,4318.416090818962,8.32,0.677,0.0,7.84,7750.404607679218,19.8,0.558,0.0,1.47,3942.532603952896
1731068791.31,19.8,0.389,0.0,2.23,4223.174096545828,19.8,0.638,0.0,1.0,4318.583018144854,7.68,1.264,0.0,1.87,7750.467591867621,19.9,0.669,0.0,0.686,3942.802951553305
1731068791.81,20.5,0.314,0.0,1.75,4223.178553674017,19.9,0.61,0.0,0.897,4318.912169817867,8.33,0.624,0.0,1.89,7750.481133476283,20.5,0.623,0.0,1.02,3942.848350407712
1731068792.31,19.9,0.363,0.0,1.59,4223.239539454122,20.5,0.573,0.0,0.891,4319.228864316403,7.68,1.172,0.0,1.95,7750.514951181341,19.8,0.617,0.0,1.38,3942.93945158126
1731068792.81,19.8,0.52,0.0,2.32,4223.334477914353,19.8,0.614,0.0,1.09,4319.657556206522,8.32,0.641,0.0,2.21,7750.635758440835,19.8,0.675,0.0,0.872,3943.0841844517977
1731068793.31,19.9,0.765,0.0,1.78,4222.914717524077,19.8,0.617,0.0,1.24,4319.277404325955,7.68,0.621,0.0,2.39,7749.994434480657,19.8,0.65,0.0,0.795,3942.610712967959
1731068793.81,20.5,0.495,0.0,8.66,4223.383217907558,20.5,0.633,0.0,0.755,4319.941738851288,7.68,0.621,0.0,1.71,7750.448363895982,19.8,0.688,0.031,2.41,3943.1271266406006
1731068794.31,19.8,1.193,0.0,2.4,4223.480815404922,19.9,0.72,0.0,1.04,4320.267916359567,8.32,0.686,0.0,1.8,7750.506305111852,19.8,0.648,0.0,6.61,3943.2516741329614
1731068794.81,19.9,0.601,0.0,1.73,4223.288598021339,19.8,0.78,0.0,1.3,4320.421356713515,8.32,1.567,0.0,1.75,7750.312112027382,19.9,0.515,0.0,3.16,3943.09007825284
1731068795.31,19.8,0.554,0.0,1.67,4223.602655770791,19.8,1.05,0.0,0.838,4320.486096183806,7.68,1.152,0.0,6.88,7750.313904143279,19.8,0.612,0.0,1.58,3943.342769680361
1731068795.81,20.5,0.62,0.0,1.84,4223.317899121867,20.5,0.75,0.0,0.742,4320.551773685676,8.31,0.86,0.0,2.78,7750.018786560457,19.8,0.591,0.0,0.831,3943.082654018617
1731068796.31,19.8,0.593,0.0,2.11,4223.753594148304,19.9,0.622,0.0,1.0,4321.24680635962,7.68,0.634,0.0,1.59,7750.475645394912,20.5,0.572,0.0,1.15,3943.577699036955
1731068796.81,19.8,0.73,0.0,1.96,4223.323679050092,19.8,0.493,0.0,1.41,4321.376242514739,7.68,0.723,0.077,2.5,7750.14831048911,19.8,0.531,0.0,1.32,3943.2072087945394
1731068797.31,19.9,0.707,0.0,2.07,4223.957226123685,19.8,0.485,0.0,1.12,4321.856303833661,7.68,1.177,0.0,4.16,7750.5688890027395,19.8,0.535,0.0,0.793,3943.824631940136
1731068797.81,19.8,0.696,0.031,1.68,4223.840451443049,20.5,0.505,0.0,0.882,4322.13349267513,7.68,0.941,0.0,1.66,7750.489644404534,19.9,0.779,0.0,0.796,3943.754796661528
1731068798.31,19.8,0.656,0.0,12.6,4224.04741769896,19.2,0.618,0.032,1.01,4322.386779959281,8.33,1.122,0.0,1.72,7750.556296241516,20.5,0.663,0.0,0.898,3943.957062125278
1731068798.81,19.9,1.028,0.0,3.93,4223.573169844136,19.8,0.627,0.0,3.41,4322.485046638292,7.68,1.041,0.0,1.46,7750.187397690157,19.9,0.674,0.0,1.0,3943.541766939844
1731068799.31,19.8,0.781,0.0,2.22,4223.453881619371,19.8,0.67,0.0,1.12,4322.223680181815,8.32,1.007,0.0,1.83,7749.76973840798,19.8,0.645,0.0,1.31,3943.351698484637
1731068799.81,20.5,0.61,0.0,1.82,4223.702724122173,20.5,0.627,0.0,1.35,4322.449302908706,8.32,1.077,0.0,6.18,7749.839887111336,20.5,0.699,0.0,0.839,3943.5837709469215
1731068800.31,19.8,0.459,0.0,1.55,4223.901553570124,19.8,0.652,0.0,0.876,4323.123569778841,7.68,0.878,0.0,2.09,7750.166049258338,19.8,0.688,0.0,1.0,3943.871367201338
1731068800.81,19.8,0.673,0.0,2.42,4223.730026885354,19.8,0.705,0.0,0.966,4323.3887792953055,8.33,0.841,0.0,1.7,7750.052072868582,19.9,0.688,0.0,3.13,3943.7520064453806
1731068801.31,19.8,0.665,0.0,1.37,4224.041567890787,19.2,0.783,0.032,1.02,4323.7979770929,7.68,0.538,0.0,1.58,7750.268307581808,19.8,0.797,0.0,1.99,3944.0780416128728
