Time,S1F1Bitrate,S1F1Jitter,S1F1Datagrams,S1F1Delay,S1F1Distance,S1F2Bitrate,S1F2Jitter,S1F2Datagrams,S1F2Delay,S1F2Distance,S1F4Bitrate,S1F4Jitter,S1F4Datagrams,S1F4Delay,S1F4Distance,S1C1Bitrate,S1C1Jitter,S1C1Datagrams,S1C1Delay,S1C1Distance
1731067774.96,-0.4742677878317513,-0.14295186197130097,-0.16079260305988133,-0.18124573220430337,-1.7246447067127824,-0.40881180358707603,0.514957515855108,-0.1264435866502287,-0.21492051590786235,-1.7296261675279418,-0.040919754261378345,0.7015892716691388,-0.2200071895867306,-0.31186550264765556,-1.7260912709660543,0.9600569007030418,0.17946502379132398,-0.10618487618330075,-0.11769408955512842,1.780905556979003
1731067775.46,-0.4742677878317513,-0.24467756985732547,-0.16079260305988133,-0.22326802775782403,-1.7246256905220614,-0.40881180358707603,0.5927662216278263,-0.1264435866502287,0.6348411428346076,-1.7293524049624331,-0.040919754261378345,0.019173289300322093,-0.2200071895867306,0.5926421363703392,-1.7261144532168957,-0.9000588213515957,-0.31236083050244107,-0.10618487618330075,-0.18784022132566727,1.7758064279479409
1731067775.96,1.5345349014458474,-0.13798963231832415,-0.16079260305988133,-0.22113646204134116,-1.7242444975734252,1.3238737872461357,0.5076629496889159,-0.1264435866502287,-0.1863570988072751,-1.7293280522959713,0.039132064401382796,-0.644352285252057,-0.2200071895867306,0.3812487079879468,-1.7254514582719078,0.9891212088601449,-0.2516415892316058,-0.10618487618330075,-0.36639401128703875,1.7788746025981976
1731067776.46,-0.4742677878317513,-0.23723422537786026,-0.16079260305988133,0.835815623946125,-1.7220945138004258,-0.40881180358707603,0.9088640888294945,-0.1264435866502287,-0.21492051590786235,-1.7264399895756566,0.519442976377961,-0.6986622077243158,-0.2200071895867306,0.6182655822348717,-1.724851659309684,-0.9291231295086987,-0.08618165676857992,-0.10618487618330075,-0.15595561597542235,1.7861633642646602
1731067776.96,-0.4742677878317513,-0.20001750298053422,-0.16079260305988133,0.13848912526813667,-1.721871724274904,-0.40881180358707603,0.5879031775170314,-0.1264435866502287,-0.2898994857969039,-1.7264332448855808,-0.040919754261378345,-0.5073968285828826,-0.2200071895867306,0.602250928569539,-1.724382826125817,0.9600569007030418,-0.40951161653577745,-0.10618487618330075,-0.3281324848667449,1.786766077442965
1731067777.46,-0.4742677878317513,-0.49775128215914227,-0.16079260305988133,0.0014599006370909534,-1.7235122384375448,-0.40881180358707603,1.0182825813223795,-0.1264435866502287,-0.22206137018300917,-1.7283600648550064,-0.040919754261378345,-0.6632426930684947,-0.2200071895867306,-0.03513228731070531,-1.7247533496057308,-0.9000588213515957,-0.5066624025691137,-0.10618487618330075,-0.3855247744971857,1.7734597543103174
1731067777.96,-0.4742677878317513,-0.49775128215914227,-0.16079260305988133,0.02582065168261015,-1.723466770463526,1.3238737872461357,1.2371195663081491,-0.1264435866502287,-0.3934418727865325,-1.7288366824309571,0.519442976377961,-0.08944655564419557,-0.2200071895867306,0.16024648740635444,-1.7241140506881656,0.9600569007030418,-0.5810434731258869,-0.10618487618330075,-0.022040273504393727,1.7753532597275046
1731067778.46,1.5345349014458474,-0.15039520645076618,-0.16079260305988133,0.2633379743764228,-1.7224080389986665,-0.16128529061090793,2.401818630843526,-0.1264435866502287,-0.4648504155380006,-1.7270139372381392,0.039132064401382796,0.5410208052294173,-0.2200071895867306,-0.24332278496003126,-1.7240618912952113,-0.9000588213515957,-0.4368352751076532,-0.10618487618330075,-0.4556709062677245,1.773911158489435
1731067778.96,-0.18729597507781445,-0.22234753641892985,-0.16079260305988133,-0.1447046056360245,-1.7211093404714874,-0.40881180358707603,0.5781770892954416,-0.1264435866502287,-0.3613080285483719,-1.7253676876354032,-0.040919754261378345,-0.2972410416250117,-0.2200071895867306,0.6246714437010048,-1.72354580757776,0.9600569007030418,-0.40951161653577745,-0.10618487618330075,-0.3217555637966959,1.777976628816563
1731067779.46,-0.4742677878317513,0.028245061056398565,-0.16079260305988133,-0.1477496995167144,-1.7216113682863636,-0.40881180358707603,-0.3214860712016133,-0.1264435866502287,-0.2970403400720506,-1.7266061756195499,-0.040919754261378345,-0.2665441289233002,-0.2200071895867306,-0.2112934776293658,-1.7229911602564292,-0.87099451319449,-0.26833938058108553,-0.10618487618330075,-0.108128707950055,1.7774747163260292
