Time,Bitrate,Jitter,Datagrams,Delay,S1_X,S1_Y,S1_Z,F4_X,F4_Y,F4_Z,Distance
1731067774.96,19.8,1.041,0.0,0.826,10501.920259,10502.1632764,0.0,9000.8,6999.2,0.0,3811.051527831559
1731067775.46,19.8,0.752,0.0,3.65,10502.1398272,10501.99371,0.0,9000.9,6999.1,0.0,3811.034683957764
1731067775.96,19.9,0.471,0.0,2.99,10502.1669896,10502.4490125,0.0,9001.0,6999.0,0.0,3811.5164060845846
1731067776.46,20.5,0.448,0.0,3.73,10502.6725386,10502.6493589,0.0,9001.1,6998.9,0.0,3811.9522109635386
1731067776.96,19.8,0.529,0.0,3.68,10502.7398369,10502.9339806,0.0,9001.2,6998.8,0.0,3812.2928580833454
1731067777.46,19.8,0.463,0.0,1.69,10502.6794741,10502.6098043,0.0,9001.3,6998.7,0.0,3812.023641311588
1731067777.96,20.5,0.706,0.0,2.3,10502.6306541,10503.078904,0.0,9001.4,6998.6,0.0,3812.4881462623002
1731067778.46,19.9,0.973,0.0,1.04,10503.0847094,10502.8684453,0.0,9001.5,6998.5,0.0,3812.52604449048
1731067778.96,19.8,0.618,0.0,3.75,10503.4074191,10503.0809681,0.0,9001.6,6998.4,0.0,3812.9010231352913
1731067779.46,19.8,0.631,0.0,1.14,10503.2538065,10503.5280563,0.0,9001.7,6998.3,0.0,3813.3040215130122
1731067779.96,19.8,0.491,0.0,0.742,10503.3067588,10503.5377052,0.0,9001.8,6998.2,0.0,3813.3862870444805
1731067780.46,20.5,0.634,0.0,1.31,10503.6764449,10503.5353683,0.0,9001.9,6998.1,0.0,3813.582254493147
1731067780.96,19.8,0.652,0.0,1.08,10503.8680309,10503.575509,0.0,9002.0,6998.0,0.0,3813.7471378606174
1731067781.46,19.8,0.514,0.0,0.849,10503.796207,10503.7407883,0.0,9002.1,6997.9,0.0,3813.923325268371
1731067781.96,20.5,0.62,0.0,0.929,10503.923406,10504.4649956,0.0,9002.2,6997.8,0.0,3814.691675547918
1731067782.46,19.8,0.814,0.0,1.24,10504.3666848,10504.2726138,0.0,9002.3,6997.7,0.0,3814.7419075788375
1731067782.96,19.8,0.615,0.0,0.861,10504.7978879,10504.7261374,0.0,9002.4,6997.6,0.0,3815.3811286948294
1731067783.46,19.8,0.559,0.0,0.818,10504.6043888,10504.4620021,0.0,9002.5,6997.5,0.0,3815.114687532402
1731067783.96,20.5,0.667,0.0,1.02,10504.4248278,10505.1051819,0.0,9002.6,6997.4,0.0,3815.687809101344
1731067784.46,19.8,0.672,0.0,1.07,10504.8010082,10504.8929897,0.0,9002.7,6997.3,0.0,3815.693386558731
1731067784.96,19.8,0.677,0.0,7.75,10504.7277657,10505.1552979,0.0,9002.8,6997.2,0.0,3815.9582525815554
1731067785.46,19.8,0.795,0.0,1.01,10505.5287234,10505.3681112,0.0,9002.9,6997.1,0.0,3816.5217437412202
1731067785.96,20.5,0.818,0.0,0.836,10505.7258898,10505.2287927,0.0,9003.0,6997.0,0.0,3816.523858408919
1731067786.46,19.8,0.701,0.0,1.29,10505.5438566,10505.7315201,0.0,9003.1,6996.9,0.0,3816.966882052078
1731067786.96,19.8,0.702,0.0,0.893,10505.3979868,10505.8195576,0.0,9003.2,6996.8,0.0,3817.0429716162835
1731067787.46,19.7,0.799,0.0,0.8,10505.7276564,10506.0601136,0.0,9003.3,6996.7,0.0,3817.4464331071117
1731067787.96,20.6,0.833,0.0,1.47,10506.2634805,10505.8074761,0.0,9003.4,6996.6,0.0,3817.477668741064
1731067788.46,19.9,0.697,0.0,0.721,10506.3855173,10505.784333,0.0,9003.5,6996.5,0.0,3817.5569947217996
1731067788.96,19.8,0.5,0.0,1.01,10505.9262077,10506.5338965,0.0,9003.6,6996.4,0.0,3818.117861682708
1731067789.46,19.8,0.605,0.0,0.988,10506.7069288,10506.1381946,0.0,9003.7,6996.3,0.0,3818.113929716319
1731067789.96,20.5,0.556,0.0,0.802,10506.4333984,10506.7057277,0.0,9003.8,6996.2,0.0,3818.580573223727
1731067790.46,19.9,0.571,0.0,1.25,10506.5181889,10506.7693449,0.0,9003.9,6996.1,0.0,3818.7250059193457
1731067790.96,19.8,0.657,0.0,0.994,10507.0304232,10507.1018485,0.0,9004.0,6996.0,0.0,3819.2848340500727
1731067791.46,19.8,0.928,0.0,2.3,10506.8001238,10507.217906,0.0,9004.1,6995.9,0.0,3819.3534922895997
1731067791.96,20.5,0.68,0.0,0.755,10507.3586114,10507.5162631,0.0,9004.2,6995.8,0.0,3819.900119577344
1731067792.46,19.8,0.792,0.0,1.46,10507.5080899,10507.4085113,0.0,9004.3,6995.7,0.0,3819.9124636407146
1731067792.96,19.8,0.741,0.0,1.05,10507.4875433,10507.7517505,0.0,9004.4,6995.6,0.0,3820.272514018318
1731067793.46,19.8,0.814,0.0,1.13,10507.2853246,10507.3878698,0.0,9004.5,6995.5,0.0,3819.911012298783
1731067793.96,20.5,0.79,0.0,1.08,10508.0465724,10508.0606757,0.0,9004.6,6995.4,0.0,3820.881654627698
1731067794.46,19.9,0.902,0.0,0.87,10507.6614195,10508.2584629,0.0,9004.7,6995.3,0.0,3820.9645628513986
1731067794.96,19.9,0.985,0.0,1.41,10508.234066,10507.8312184,0.0,9004.8,6995.2,0.0,3820.8496525364058
1731067795.46,19.8,1.132,0.0,1.0,10508.1500378,10508.3559306,0.0,9004.9,6995.1,0.0,3821.3515815797136
1731067795.96,20.5,0.975,0.0,1.06,10508.3630402,10508.6705349,0.0,9005.0,6995.0,0.0,3821.7772120394247
1731067796.46,19.8,1.203,0.0,0.857,10508.2328056,10508.531394,0.0,9005.1,6994.9,0.0,3821.650664853253
1731067796.96,19.8,1.0,0.0,0.954,10508.8815121,10508.9362592,0.0,9005.2,6994.8,0.0,3822.3306683299274
1731067797.46,19.9,0.477,0.0,1.05,10508.907503,10508.5846257,0.0,9005.3,6994.7,0.0,3822.0702094295343
1731067797.96,20.5,0.511,0.0,0.805,10509.2134156,10508.8441038,0.0,9005.4,6994.6,0.0,3822.4817082664504
1731067798.46,19.8,0.448,0.0,1.81,10509.1928954,10508.8678521,0.0,9005.5,6994.5,0.0,3822.5480668724626
1731067798.96,19.8,0.63,0.0,0.816,10509.4289919,10509.3359954,0.0,9005.6,6994.4,0.0,3823.123943666693
1731067799.46,19.9,0.509,0.0,1.38,10509.5655882,10509.4502863,0.0,9005.7,6994.3,0.0,3823.335355765578
1731067799.96,20.5,0.506,0.0,0.785,10509.6322728,10509.4427755,0.0,9005.8,6994.2,0.0,3823.407286102248
1731067800.46,19.8,0.547,0.0,1.32,10509.6932888,10509.9758617,0.0,9005.9,6994.1,0.0,3823.9740232282747
1731067800.96,19.9,0.605,0.0,0.947,10509.8322886,10509.842407,0.0,9006.0,6994.0,0.0,3823.9586011220713
1731067801.46,19.8,0.438,0.0,1.57,10509.7508484,10510.2623037,0.0,9006.1,6993.9,0.0,3824.365270835987
1731067801.96,20.5,0.513,0.0,4.92,10510.0391887,10510.3136356,0.0,9006.2,6993.8,0.0,3824.5784676001354
1731067802.46,19.9,0.555,0.0,0.846,10510.5998235,10510.319651,0.0,9006.3,6993.7,0.0,3824.857086059752
1731067802.96,19.8,0.495,0.0,5.87,10510.316353,10510.6303687,0.0,9006.4,6993.6,0.0,3825.0839221092756
1731067803.46,19.9,0.521,0.0,0.747,10510.4617009,10510.8620096,0.0,9006.5,6993.5,0.0,3825.4066848312173
1731067803.96,20.5,0.674,0.0,4.62,10511.0556804,10510.5677617,0.0,9006.6,6993.4,0.0,3825.422324166264
1731067804.46,19.9,0.649,0.0,0.813,10511.2122205,10510.794163,0.0,9006.7,6993.3,0.0,3825.744660634438
1731067804.96,19.8,0.587,0.0,1.38,10510.7160931,10511.1361251,0.0,9006.8,6993.2,0.0,3825.9166477288513
1731067805.46,19.8,0.621,0.0,0.899,10511.3117408,10511.1700657,0.0,9006.9,6993.1,0.0,3826.234659953737
1731067805.96,19.8,0.807,0.0,1.07,10511.179197,10511.3728208,0.0,9007.0,6993.0,0.0,3826.421613313372
1731067806.46,20.5,0.837,0.0,1.18,10511.6138714,10511.3872343,0.0,9007.1,6992.9,0.0,3826.6583865256493
1731067806.96,19.8,0.844,0.0,1.05,10511.3188302,10511.935519,0.0,9007.2,6992.8,0.0,3827.0991960556257
1731067807.46,19.8,0.733,0.0,0.882,10511.5153288,10511.7985449,0.0,9007.3,6992.7,0.0,3827.1031243114153
1731067807.96,20.5,0.728,0.0,1.23,10511.8925289,10512.0602484,0.0,9007.4,6992.6,0.0,3827.5446711415007
1731067808.46,19.8,0.747,0.0,0.899,10511.7507466,10511.8369811,0.0,9007.5,6992.5,0.0,3827.3362924081703
1731067808.96,19.8,0.839,0.0,1.29,10512.1854306,10512.6114134,0.0,9007.6,6992.4,0.0,3828.2718964312626
1731067809.46,19.9,0.724,0.0,1.05,10512.4663963,10512.2943152,0.0,9007.7,6992.3,0.0,3828.1433994136123
1731067809.96,19.8,0.641,0.0,0.881,10512.4392313,10512.6313136,0.0,9007.8,6992.2,0.0,3828.495246195623
1731067810.46,20.5,0.629,0.0,1.83,10513.0722149,10513.0729015,0.0,9007.9,6992.1,0.0,3829.202732894185
1731067810.96,19.8,0.627,0.0,1.21,10512.615506,10513.0096392,0.0,9008.0,6992.0,0.0,3829.017720021017
1731067811.46,19.9,0.644,0.0,1.08,10513.0694349,10512.6950986,0.0,9008.1,6991.9,0.0,3828.9595357367
1731067811.96,20.5,0.658,0.0,0.961,10513.2547348,10513.3938606,0.0,9008.2,6991.8,0.0,3829.7275456303028
1731067812.46,19.9,0.714,0.0,0.818,10513.4539658,10513.0832956,0.0,9008.3,6991.7,0.0,3829.572923355055
1731067812.96,19.8,0.695,0.0,1.22,10513.3321822,10513.7256075,0.0,9008.4,6991.6,0.0,3830.1683602719736
1731067813.46,19.8,0.807,0.0,0.925,10513.7679971,10513.4872978,0.0,9008.5,6991.5,0.0,3830.1731382481903
1731067813.96,20.5,0.763,0.0,1.02,10513.6842657,10514.1132912,0.0,9008.6,6991.4,0.0,3830.768536319421
1731067814.46,19.8,0.807,0.0,1.06,10513.8967908,10513.9273118,0.0,9008.7,6991.3,0.0,3830.7336838879714
1731067814.96,19.8,0.812,0.0,0.859,10513.8344347,10514.015397,0.0,9008.8,6991.2,0.0,3830.8428538603634
