Time,Bitrate,Jitter,Datagrams,Delay,S1_X,S1_Y,S1_Z,F2_X,F2_Y,F2_Z,Distance
1731071803.73,19.8,0.816,0.0,1.94,11708.1993847,11708.5113723,0.0,7305.1,10707.65,0.0,4515.41888179909
1731071804.23,19.8,0.739,0.0,2.04,11708.9492058,11708.5923383,0.0,7305.2,10707.8,0.0,4516.037242094458
1731071804.73,19.8,0.871,0.0,1.82,11708.8778573,11708.6046573,0.0,7305.3,10707.95,0.0,4515.83964379594
1731071805.23,20.5,0.89,0.0,2.1,11708.6747563,11708.6912264,0.0,7305.4,10708.1,0.0,4515.530022247387
1731071805.73,19.8,0.804,0.0,1.61,11709.0152797,11709.3150709,0.0,7305.5,10708.25,0.0,4515.869583449835
1731071806.23,19.8,1.064,0.0,1.65,11709.0763419,11709.1823675,0.0,7305.6,10708.4,0.0,4515.768953431066
1731071806.73,19.8,1.024,0.0,2.09,11709.5356392,11709.440544,0.0,7305.7,10708.55,0.0,4516.143290259587
1731071807.23,20.5,0.999,0.0,2.02,11709.4797169,11709.6563075,0.0,7305.8,10708.7,0.0,4516.0058213603415
1731071807.73,19.9,1.211,0.0,2.17,11709.6213673,11709.4001427,0.0,7305.9,10708.85,0.0,4515.956429027142
1731071808.23,19.8,0.77,0.0,1.45,11710.1013195,11710.1886291,0.0,7306.0,10709.0,0.0,4516.468432687288
1731071808.73,19.8,0.496,0.0,3.09,11710.1646616,11709.7358028,0.0,7306.1,10709.15,0.0,4516.299092433853
1731071809.23,20.5,0.478,0.0,2.66,11710.0359413,11710.3901387,0.0,7306.2,10709.3,0.0,4516.187824226097
1731071809.73,19.2,0.426,0.032,1.51,11709.9624878,11710.0814112,0.0,7306.3,10709.45,0.0,4515.917019558373
1731071810.23,19.8,0.59,0.0,2.01,11710.5577206,11710.7177001,0.0,7306.4,10709.6,0.0,4516.507708105246
1731071810.73,19.8,0.657,0.0,2.59,11710.442262,11710.4652816,0.0,7306.5,10709.75,0.0,4516.208423208283
1731071811.23,20.5,0.712,0.0,1.79,11710.8813004,11710.8298047,0.0,7306.6,10709.9,0.0,4516.586570297296
1731071811.73,19.8,0.772,0.0,11.3,11710.5837891,11711.1536455,0.0,7306.7,10710.05,0.0,4516.237475701556
1731071812.23,19.8,0.646,0.0,1.99,11711.295372,11711.1374455,0.0,7306.8,10710.2,0.0,4516.797012460654
1731071812.73,19.8,0.617,0.0,1.61,11711.1824864,11711.1431725,0.0,7306.9,10710.35,0.0,4516.5574494444745
1731071813.23,20.5,0.581,0.0,2.27,11711.2524916,11711.5840636,0.0,7307.0,10710.5,0.0,4516.592666176428
1731071813.73,19.8,0.532,0.0,1.52,11711.1825165,11711.3141873,0.0,7307.1,10710.65,0.0,4516.333870285249
1731071814.23,19.8,0.737,0.0,1.73,11711.429222,11711.7420689,0.0,7307.2,10710.8,0.0,4516.538504785777
1731071814.73,19.8,0.871,0.0,1.9,11711.8954705,11711.8499423,0.0,7307.3,10710.95,0.0,4516.886311746761
1731071815.23,20.5,0.703,0.0,1.94,11711.6152172,11712.1312804,0.0,7307.4,10711.1,0.0,4516.544619922991
1731071815.73,19.8,0.751,0.0,2.86,11712.090156,11712.2503873,0.0,7307.5,10711.25,0.0,4516.903388130729
1731071816.23,19.8,0.863,0.0,6.45,11712.5191118,11712.0318811,0.0,7307.6,10711.4,0.0,4517.142519666014
1731071816.73,19.8,0.672,0.0,1.8,11712.7046034,11712.5343527,0.0,7307.7,10711.55,0.0,4517.303978074248
1731071817.23,20.5,0.659,0.0,2.16,11712.946312,11712.4867708,0.0,7307.8,10711.7,0.0,4517.398387427823
1731071817.73,19.8,0.774,0.0,1.71,11712.7812565,11712.9721789,0.0,7307.9,10711.85,0.0,4517.21424120558
1731071818.23,19.9,0.79,0.0,1.67,11713.1548729,11712.7353409,0.0,7308.0,10712.0,0.0,4517.395342092705
1731071818.73,19.8,0.858,0.0,1.84,11712.8669815,11713.0925866,0.0,7308.1,10712.15,0.0,4517.0630085246885
1731071819.23,20.5,0.787,0.0,1.9,11713.3478378,11713.4541794,0.0,7308.2,10712.3,0.0,4517.4812853850435
1731071819.73,19.8,1.166,0.0,2.32,11713.5154037,11713.1567924,0.0,7308.3,10712.45,0.0,4517.448044787149
1731071820.23,19.8,1.512,0.0,1.76,11713.1850991,11713.5886132,0.0,7308.4,10712.6,0.0,4517.090875000131
1731071820.73,19.8,0.971,0.0,4.94,11713.661784,11713.97179,0.0,7308.5,10712.75,0.0,4517.509868941613
1731071821.23,19.8,0.645,0.0,1.72,11713.9892534,11713.7223503,0.0,7308.6,10712.9,0.0,4517.643174358973
1731071821.73,20.5,0.641,0.0,1.69,11713.7005407,11713.6734557,0.0,7308.7,10713.05,0.0,4517.220059247092
1731071822.23,19.8,1.104,0.0,1.67,11713.7684427,11714.3915068,0.0,7308.8,10713.2,0.0,4517.31462425093
1731071822.73,19.9,0.943,0.0,1.57,11714.0137414,11714.3123253,0.0,7308.9,10713.35,0.0,4517.405522126732
