Time,S1F1Bitrate,S1F1Jitter,S1F1Datagrams,S1F1Delay,S1F1Distance,S1F2Bitrate,S1F2Jitter,S1F2Datagrams,S1F2Delay,S1F2Distance,S1F4Bitrate,S1F4Jitter,S1F4Datagrams,S1F4Delay,S1F4Distance,S1C1Bitrate,S1C1Jitter,S1C1Datagrams,S1C1Delay,S1C1Distance
1731071782.23,19.8,0.409,0.0,1.04,4339.616996581341,19.8,0.844,0.0,1.78,4513.72733943014,19.8,1.432,0.0,1.47,5822.400601742025,8.32,1.272,0.0,1.41,7673.221219102477
1731071782.73,19.8,0.359,0.0,2.39,4339.280251254649,19.8,0.951,0.0,4.74,4513.375230971087,19.8,1.481,0.0,1.7,5822.392048264206,7.68,0.869,0.0,2.31,7672.831750765736
1731071783.23,20.5,0.476,0.0,0.993,4339.492296774865,20.5,0.782,0.0,5.22,4513.595896327295,20.5,1.532,0.0,1.8,5822.652748088418,8.33,1.179,0.0,2.78,7672.920730208162
1731071783.73,19.8,0.747,0.0,0.933,4339.926227972759,19.9,1.124,0.0,8.17,4514.025901638703,19.2,0.927,0.0,2.2,5823.091262794563,7.67,1.167,0.0,1.63,7673.230832854331
1731071784.23,19.9,0.455,0.0,0.872,4340.080684721918,19.8,0.978,0.0,2.77,4514.197454503091,20.5,0.813,0.0,1.56,5823.289634474072,8.32,0.896,0.0,2.37,7673.255932992872
1731071784.73,19.8,0.655,0.0,1.03,4339.972358742019,19.8,1.119,0.0,1.59,4514.110197040845,19.8,1.039,0.0,5.77,5823.311170145625,7.68,1.685,0.0,2.38,7673.032705023176
1731071785.23,20.5,0.545,0.0,1.22,4339.6700563017785,20.5,0.984,0.0,1.76,4513.756414779306,20.5,0.753,0.0,1.91,5823.436161046288,8.32,1.212,0.0,4.79,7672.720080804812
1731071785.73,19.8,0.494,0.0,1.29,4339.7380739405935,19.8,1.016,0.0,1.88,4513.824576221883,19.8,0.826,0.0,1.87,5823.632975649944,7.68,0.806,0.0,1.71,7672.686220294238
1731071786.23,19.8,0.498,0.0,0.784,4340.117548644557,19.8,1.217,0.0,1.77,4514.178518058665,19.8,0.954,0.0,2.26,5824.104362391176,8.32,0.708,0.0,1.67,7672.972773729308
1731071786.73,19.8,0.423,0.0,0.876,4339.953676687819,19.8,0.875,0.0,2.25,4513.874778304193,19.8,0.964,0.0,2.12,5824.5899316428,7.68,0.731,0.0,2.0,7672.89826773659
1731071787.23,20.5,0.587,0.0,5.21,4339.839177563227,19.9,0.506,0.0,2.34,4513.844427577621,20.5,1.124,0.0,2.06,5824.412145570027,7.68,1.393,0.0,2.15,7672.590893491461
1731071787.73,19.8,0.479,0.0,1.31,4340.513488458563,20.5,0.461,0.0,1.82,4514.516119905023,19.8,1.029,0.0,2.9,5824.997093045275,8.32,1.303,0.0,1.74,7673.122031815642
1731071788.23,19.9,0.58,0.0,0.77,4340.483397405678,19.8,0.878,0.0,3.22,4514.431490489731,19.8,0.784,0.0,1.57,5825.301956129085,8.32,1.526,0.0,1.54,7673.065309621959
1731071788.73,19.8,0.538,0.0,5.15,4339.878659384232,19.8,0.616,0.0,6.95,4513.869258150219,19.8,0.684,0.0,2.15,5824.946339648286,7.68,1.185,0.0,1.97,7672.355664710682
1731071789.23,20.5,0.61,0.0,1.29,4340.373192506969,20.5,0.569,0.0,3.48,4514.354944319478,19.8,0.757,0.0,5.44,5825.438026866375,8.32,1.024,0.0,2.12,7672.728040224
1731071789.73,19.8,0.585,0.0,1.44,4340.298007115328,19.8,0.935,0.0,6.31,4514.193844735393,20.5,0.868,0.0,1.76,5825.81188010622,7.68,0.976,0.0,3.75,7672.6685501732
1731071790.23,19.8,0.578,0.0,0.836,4340.663659060974,19.8,0.745,0.0,4.69,4514.639502096836,19.2,0.9,0.032,1.99,5825.947563444453,8.33,0.884,0.0,1.72,7672.811092464556
1731071790.73,19.9,0.663,0.0,1.21,4340.4885521571,19.8,0.574,0.0,5.09,4514.335537870588,19.2,1.082,0.032,1.68,5826.391918870016,7.68,1.526,0.0,3.15,7672.712428369555
1731071791.23,20.5,0.616,0.0,1.25,4340.555378198808,19.8,0.529,0.0,1.7,4514.340625050789,20.5,0.835,0.0,1.91,5826.779732390975,8.31,1.019,0.0,3.08,7672.754391227781
1731071791.73,19.8,0.546,0.0,0.835,4341.021816358436,20.5,0.709,0.0,1.83,4514.80876795295,19.8,0.859,0.0,2.07,5827.221156155362,7.68,1.041,0.0,1.67,7673.087644758698
