Time,S1_X,S1_Y,S1_Z
1731068772.6,10800.6080331,10800.693858,0.0
1731068773.1,10800.7068482,10801.3985804,0.0
1731068773.6,10801.1139828,10801.0198933,0.0
1731068774.1,10801.1213001,10801.1740801,0.0
1731068774.6,10801.4474275,10801.4816201,0.0
1731068775.1,10801.2825139,10801.980379,0.0
1731068775.6,10802.021206,10801.5816542,0.0
1731068776.1,10801.7040577,10801.7320362,0.0
1731068776.6,10801.8435966,10801.8709417,0.0
1731068777.1,10802.210411,10802.0205408,0.0
1731068777.6,10802.672305,10802.6413737,0.0
1731068778.1,10802.2197951,10802.8438338,0.0
1731068778.6,10802.4996914,10802.528198,0.0
1731068779.1,10802.5448904,10803.1428602,0.0
1731068779.6,10802.9041885,10802.7537887,0.0
1731068780.1,10803.2647086,10803.3958907,0.0
1731068780.6,10802.9989021,10803.4696043,0.0
1731068781.1,10803.1618325,10803.6292133,0.0
1731068781.6,10803.4514196,10803.6077442,0.0
1731068782.11,10804.0257957,10803.8819376,0.0
1731068782.6,10803.6941096,10803.9901616,0.0
1731068783.11,10803.7651122,10803.6790339,0.0
1731068783.61,10804.4987106,10804.3116729,0.0
1731068784.11,10804.0559439,10804.3838986,0.0
1731068784.61,10804.6668467,10804.6999738,0.0
1731068785.11,10804.9524312,10804.6486945,0.0
1731068785.61,10804.7387421,10804.6231703,0.0
1731068786.11,10804.6741592,10804.9775752,0.0
1731068786.61,10805.0782283,10805.2945163,0.0
1731068787.11,10805.4012681,10805.3463253,0.0
1731068787.61,10805.1878401,10805.0699482,0.0
1731068788.11,10805.6806177,10805.7934606,0.0
1731068788.61,10805.3378977,10805.3891248,0.0
1731068789.11,10806.1102227,10805.7358882,0.0
1731068789.61,10806.3209971,10806.0128599,0.0
1731068790.11,10805.9084038,10806.1655402,0.0
1731068790.61,10806.0910786,10806.4797843,0.0
1731068791.11,10806.5619329,10806.4113337,0.0
1731068791.61,10806.6387771,10806.6750573,0.0
1731068792.11,10806.7837198,10806.8981454,0.0
1731068792.62,10806.9347766,10807.2393976,0.0
1731068793.12,10806.7342796,10806.8500946,0.0
1731068793.61,10807.2428075,10807.3022603,0.0
1731068794.12,10807.4267475,10807.5199736,0.0
1731068794.62,10807.3304349,10807.6636486,0.0
