Time,Bitrate,Jitter,Datagrams,Delay,S1_X,S1_Y,S1_Z,F2_X,F2_Y,F2_Z,Distance
1731068776.81,19.9,0.706,0.0,1.86,10801.8435966,10801.8709417,0.0,6700.8,9801.2,0.0,4221.362447691103
1731068777.31,19.8,0.864,0.0,1.83,10802.210411,10802.0205408,0.0,6700.9,9801.35,0.0,4221.621562693885
1731068777.81,20.5,0.652,0.0,1.96,10802.672305,10802.6413737,0.0,6701.0,9801.5,0.0,4222.084763210935
1731068778.31,19.8,0.73,0.0,2.08,10802.2197951,10802.8438338,0.0,6701.1,9801.65,0.0,4221.5604539790975
1731068778.81,19.8,0.578,0.0,1.78,10802.4996914,10802.528198,0.0,6701.2,9801.8,0.0,4221.624815749271
1731068779.31,19.8,0.637,0.0,1.71,10802.5448904,10803.1428602,0.0,6701.3,9801.95,0.0,4221.681749533895
1731068779.81,20.5,0.536,0.0,9.22,10802.9041885,10802.7537887,0.0,6701.4,9802.1,0.0,4221.805847397854
1731068780.31,19.8,0.686,0.0,2.57,10803.2647086,10803.3958907,0.0,6701.5,9802.25,0.0,4222.175602598965
1731068780.81,19.9,0.52,0.0,2.26,10802.9989021,10803.4696043,0.0,6701.6,9802.4,0.0,4221.802139702954
1731068781.31,19.8,0.822,0.0,2.44,10803.1618325,10803.6292133,0.0,6701.7,9802.55,0.0,4221.865553846499
1731068781.81,20.5,0.546,0.0,2.02,10803.4514196,10803.6077442,0.0,6701.8,9802.7,0.0,4222.009081030763
1731068782.31,19.9,0.588,0.0,1.81,10804.0257957,10803.8819376,0.0,6701.9,9802.85,0.0,4222.499376417072
1731068782.81,19.8,0.657,0.0,1.78,10803.6941096,10803.9901616,0.0,6702.0,9803.0,0.0,4222.070093253702
1731068783.31,19.9,0.696,0.0,1.91,10803.7651122,10803.6790339,0.0,6702.1,9803.15,0.0,4221.932619111241
1731068783.81,20.5,0.716,0.0,1.35,10804.4987106,10804.3116729,0.0,6702.2,9803.3,0.0,4222.662558182039
1731068784.31,19.9,0.677,0.0,10.9,10804.0559439,10804.3838986,0.0,6702.3,9803.45,0.0,4222.1168260347295
1731068784.81,19.8,0.697,0.0,1.6,10804.6668467,10804.6999738,0.0,6702.4,9803.6,0.0,4222.652535915822
1731068785.31,19.8,0.737,0.0,1.94,10804.9524312,10804.6486945,0.0,6702.5,9803.75,0.0,4222.785117302394
1731068785.81,20.5,0.988,0.0,8.03,10804.7387421,10804.6231703,0.0,6702.6,9803.9,0.0,4222.438764862441
1731068786.31,19.8,0.91,0.0,1.73,10804.6741592,10804.9775752,0.0,6702.7,9804.05,0.0,4222.327321932811
1731068786.81,19.8,0.556,0.0,2.0,10805.0782283,10805.2945163,0.0,6702.8,9804.2,0.0,4222.662299184026
1731068787.31,19.9,0.227,0.0,2.83,10805.4012681,10805.3463253,0.0,6702.9,9804.35,0.0,4222.8557041445565
1731068787.81,20.5,0.316,0.0,2.08,10805.1878401,10805.0699482,0.0,6703.0,9804.5,0.0,4222.4501532528775
1731068788.31,19.9,0.416,0.0,1.84,10805.6806177,10805.7934606,0.0,6703.1,9804.65,0.0,4222.967671369253
1731068788.81,19.8,0.313,0.0,5.12,10805.3378977,10805.3891248,0.0,6703.2,9804.8,0.0,4222.406177573944
1731068789.31,19.8,0.292,0.0,1.88,10806.1102227,10805.7358882,0.0,6703.3,9804.95,0.0,4223.105979905297
1731068789.81,20.5,0.417,0.0,2.11,10806.3209971,10806.0128599,0.0,6703.4,9805.1,0.0,4223.243689577628
1731068790.31,19.9,0.367,0.0,1.65,10805.9084038,10806.1655402,0.0,6703.5,9805.25,0.0,4222.746337418662
1731068790.81,19.8,0.625,0.0,1.56,10806.0910786,10806.4797843,0.0,6703.6,9805.4,0.0,4222.865589209148
1731068791.31,19.8,0.389,0.0,2.23,10806.5619329,10806.4113337,0.0,6703.7,9805.55,0.0,4223.174096545828
1731068791.81,20.5,0.314,0.0,1.75,10806.6387771,10806.6750573,0.0,6703.8,9805.7,0.0,4223.178553674017
1731068792.31,19.9,0.363,0.0,1.59,10806.7837198,10806.8981454,0.0,6703.9,9805.85,0.0,4223.239539454122
1731068792.81,19.8,0.52,0.0,2.32,10806.9347766,10807.2393976,0.0,6704.0,9806.0,0.0,4223.334477914353
