Time,Bitrate,Jitter,Datagrams,Delay,S1_X,S1_Y,S1_Z,F4_X,F4_Y,F4_Z,Distance
1731068776.81,19.8,0.678,0.0,0.901,10801.8435966,10801.8709417,0.0,9200.8,6799.2,0.0,4310.999334927277
1731068777.31,19.8,0.847,0.0,1.07,10802.210411,10802.0205408,0.0,9200.9,6799.1,0.0,4311.330176214245
1731068777.81,20.5,0.695,0.0,1.41,10802.672305,10802.6413737,0.0,9201.0,6799.0,0.0,4312.13385944899
1731068778.31,19.8,0.658,0.0,0.935,10802.2197951,10802.8438338,0.0,9201.1,6798.9,0.0,4312.209505866582
1731068778.81,19.8,0.815,0.0,0.877,10802.4996914,10802.528198,0.0,9201.2,6798.8,0.0,4312.076087586821
1731068779.31,19.9,0.841,0.0,0.882,10802.5448904,10803.1428602,0.0,9201.3,6798.7,0.0,4312.719306845609
1731068779.81,20.5,0.822,0.0,1.02,10802.9041885,10802.7537887,0.0,9201.4,6798.6,0.0,4312.547185752709
1731068780.31,19.8,0.861,0.0,1.09,10803.2647086,10803.3958907,0.0,9201.5,6798.5,0.0,4313.332966171542
1731068780.81,19.8,0.855,0.0,0.954,10802.9989021,10803.4696043,0.0,9201.6,6798.4,0.0,4313.358433858105
1731068781.31,19.8,0.816,0.0,3.99,10803.1618325,10803.6292133,0.0,9201.7,6798.3,0.0,4313.622851834482
1731068781.81,20.5,0.804,0.0,1.04,10803.4514196,10803.6077442,0.0,9201.8,6798.2,0.0,4313.7661581504435
1731068782.31,19.8,0.834,0.0,1.32,10804.0257957,10803.8819376,0.0,9201.9,6798.1,0.0,4314.2897441931
1731068782.81,19.9,0.963,0.0,0.835,10803.6941096,10803.9901616,0.0,9202.0,6798.0,0.0,4314.322796866657
1731068783.31,19.8,0.619,0.0,1.94,10803.7651122,10803.6790339,0.0,9202.1,6797.9,0.0,4314.115992885618
1731068783.81,19.8,0.332,0.0,0.71,10804.4987106,10804.3116729,0.0,9202.2,6797.8,0.0,4315.031511249294
1731068784.31,20.5,0.454,0.0,1.21,10804.0559439,10804.3838986,0.0,9202.3,6797.7,0.0,4314.98991506579
1731068784.81,19.8,0.337,0.0,0.809,10804.6668467,10804.6999738,0.0,9202.4,6797.6,0.0,4315.56592442543
1731068785.31,19.8,0.397,0.0,1.03,10804.9524312,10804.6486945,0.0,9202.5,6797.5,0.0,4315.680068551403
1731068785.81,20.5,0.666,0.0,1.46,10804.7387421,10804.6231703,0.0,9202.6,6797.4,0.0,4315.6327561004255
1731068786.31,19.8,0.487,0.0,0.807,10804.6741592,10804.9775752,0.0,9202.7,6797.3,0.0,4315.99359979895
1731068786.81,19.8,0.406,0.0,4.91,10805.0782283,10805.2945163,0.0,9202.8,6797.2,0.0,4316.493620113242
1731068787.31,19.8,0.411,0.0,1.12,10805.4012681,10805.3463253,0.0,9202.9,6797.1,0.0,4316.717377654352
1731068787.81,19.8,0.414,0.0,1.13,10805.1878401,10805.0699482,0.0,9203.0,6797.0,0.0,4316.437255958697
1731068788.31,20.5,0.411,0.0,1.76,10805.6806177,10805.7934606,0.0,9203.1,6796.9,0.0,4317.347729181558
1731068788.81,19.8,0.481,0.0,0.738,10805.3378977,10805.3891248,0.0,9203.2,6796.8,0.0,4316.900811312602
1731068789.31,19.8,0.635,0.0,0.997,10806.1102227,10805.7358882,0.0,9203.3,6796.7,0.0,4317.565212346792
1731068789.81,19.9,0.58,0.0,1.48,10806.3209971,10806.0128599,0.0,9203.4,6796.6,0.0,4317.9563689407
1731068790.31,19.8,0.606,0.031,0.864,10805.9084038,10806.1655402,0.0,9203.5,6796.5,0.0,4318.000745349197
1731068790.81,19.8,0.507,0.0,1.03,10806.0910786,10806.4797843,0.0,9203.6,6796.4,0.0,4318.416090818962
1731068791.31,19.8,0.638,0.0,1.0,10806.5619329,10806.4113337,0.0,9203.7,6796.3,0.0,4318.583018144854
1731068791.81,19.9,0.61,0.0,0.897,10806.6387771,10806.6750573,0.0,9203.8,6796.2,0.0,4318.912169817867
1731068792.31,20.5,0.573,0.0,0.891,10806.7837198,10806.8981454,0.0,9203.9,6796.1,0.0,4319.228864316403
1731068792.81,19.8,0.614,0.0,1.09,10806.9347766,10807.2393976,0.0,9204.0,6796.0,0.0,4319.657556206522
1731068793.31,19.8,0.617,0.0,1.24,10806.7342796,10806.8500946,0.0,9204.1,6795.9,0.0,4319.277404325955
1731068793.81,20.5,0.633,0.0,0.755,10807.2428075,10807.3022603,0.0,9204.2,6795.8,0.0,4319.941738851288
1731068794.31,19.9,0.72,0.0,1.04,10807.4267475,10807.5199736,0.0,9204.3,6795.7,0.0,4320.267916359567
1731068794.81,19.8,0.78,0.0,1.3,10807.3304349,10807.6636486,0.0,9204.4,6795.6,0.0,4320.421356713515
1731068795.31,19.8,1.05,0.0,0.838,10807.8373404,10807.4707726,0.0,9204.5,6795.5,0.0,4320.486096183806
