Time,S1_X,S1_Y,S1_Z
1731071778.02,11701.1475057,11701.1970452,0.0
1731071778.51,11700.6999777,11700.7335521,0.0
1731071779.01,11701.340989,11701.196468,0.0
1731071779.51,11701.5665441,11701.5237422,0.0
1731071780.01,11701.3114554,11701.2904639,0.0
1731071780.51,11701.555759,11701.7562792,0.0
1731071781.01,11701.9829502,11701.858934,0.0
1731071781.52,11701.9241697,11702.1093328,0.0
1731071782.02,11702.0821908,11702.4240367,0.0
1731071782.52,11701.8542441,11702.4282771,0.0
1731071783.02,11702.19347,11702.5214558,0.0
1731071783.52,11702.7192531,11702.7383035,0.0
1731071784.02,11703.0200921,11702.7787885,0.0
1731071784.52,11703.0790463,11702.7157561,0.0
1731071785.02,11702.8143631,11702.8739886,0.0
1731071785.52,11703.0005296,11702.9524497,0.0
1731071786.02,11703.4330742,11703.2362902,0.0
1731071786.52,11703.1299314,11703.7892687,0.0
1731071787.02,11703.3042789,11703.4754989,0.0
1731071787.52,11704.0608123,11703.7675688,0.0
1731071788.02,11704.0487222,11704.0288356,0.0
1731071788.52,11703.6775166,11703.7153627,0.0
1731071789.02,11704.2513804,11703.9718781,0.0
1731071789.52,11704.1361856,11704.3417339,0.0
1731071790.02,11704.7584228,11704.2048926,0.0
1731071790.52,11704.465833,11704.7106154,0.0
1731071791.02,11704.531937,11705.0326091,0.0
1731071791.52,11705.0993969,11705.2381748,0.0
1731071792.02,11704.8604234,11704.7329108,0.0
1731071792.52,11705.5993954,11704.9700218,0.0
1731071793.02,11705.3122389,11705.0158487,0.0
1731071793.52,11705.2701062,11705.8159917,0.0
1731071794.02,11705.36774,11705.7825369,0.0
1731071794.53,11705.8416583,11705.8387105,0.0
1731071795.03,11705.9563957,11706.1720933,0.0
1731071795.53,11706.4885862,11706.1331143,0.0
1731071796.03,11706.6217345,11706.0966202,0.0
1731071796.53,11706.4603274,11706.4305213,0.0
1731071797.03,11706.7987698,11706.5061365,0.0
1731071797.53,11707.0995039,11706.9644558,0.0
1731071798.03,11706.6987437,11707.1844391,0.0
1731071798.53,11706.7219807,11707.299369,0.0
1731071799.03,11707.4421906,11707.0231094,0.0
1731071799.53,11707.2398745,11706.955867,0.0
1731071800.03,11707.5805643,11707.2051506,0.0
1731071800.53,11707.6218739,11707.749906,0.0
1731071801.03,11707.7929222,11707.6588628,0.0
1731071801.53,11708.2441089,11707.6381382,0.0
1731071802.03,11707.7578251,11707.7766954,0.0
1731071802.53,11708.2996702,11708.542481,0.0
1731071803.03,11708.1880314,11708.0650592,0.0
1731071803.53,11708.1993847,11708.5113723,0.0
1731071804.03,11708.9492058,11708.5923383,0.0
1731071804.53,11708.8778573,11708.6046573,0.0
1731071805.03,11708.6747563,11708.6912264,0.0
1731071805.54,11709.0152797,11709.3150709,0.0
1731071806.03,11709.0763419,11709.1823675,0.0
1731071806.54,11709.5356392,11709.440544,0.0
1731071807.04,11709.4797169,11709.6563075,0.0
1731071807.54,11709.6213673,11709.4001427,0.0
1731071808.04,11710.1013195,11710.1886291,0.0
1731071808.54,11710.1646616,11709.7358028,0.0
1731071809.04,11710.0359413,11710.3901387,0.0
1731071809.54,11709.9624878,11710.0814112,0.0
1731071810.04,11710.5577206,11710.7177001,0.0
1731071810.54,11710.442262,11710.4652816,0.0
1731071811.04,11710.8813004,11710.8298047,0.0
1731071811.54,11710.5837891,11711.1536455,0.0
1731071812.04,11711.295372,11711.1374455,0.0
1731071812.54,11711.1824864,11711.1431725,0.0
1731071813.04,11711.2524916,11711.5840636,0.0
1731071813.54,11711.1825165,11711.3141873,0.0
1731071814.04,11711.429222,11711.7420689,0.0
