Time,S1_X,S1_Y,S1_Z
1731070776.37,11400.5101851,11400.5152929,0.0
1731070776.87,11401.3410102,11400.8805856,0.0
1731070777.37,11401.15369,11401.3275942,0.0
1731070777.87,11401.2445363,11401.034592,0.0
1731070778.37,11401.1709243,11401.6552878,0.0
1731070778.87,11401.8027029,11401.4717843,0.0
1731070779.37,11401.4546852,11401.5078082,0.0
1731070779.87,11401.7539993,11401.8859623,0.0
1731070780.37,11401.8530526,11401.8198388,0.0
1731070780.87,11401.9252292,11402.2000414,0.0
1731070781.37,11402.3043001,11402.1437381,0.0
1731070781.87,11402.8231108,11402.5268193,0.0
1731070782.37,11402.7787073,11402.9216412,0.0
1731070782.87,11402.7411682,11402.8484797,0.0
1731070783.37,11402.7634723,11402.8575364,0.0
1731070783.87,11402.7861227,11403.4886717,0.0
1731070784.38,11403.1116736,11402.9996391,0.0
1731070784.87,11403.1788616,11403.4987781,0.0
1731070785.38,11403.5846404,11403.3403918,0.0
1731070785.88,11403.8295361,11403.7698811,0.0
1731070786.38,11403.7456703,11404.2325105,0.0
1731070786.88,11404.3584182,11404.2004504,0.0
1731070787.38,11403.8711317,11403.9881187,0.0
1731070787.88,11404.5259566,11404.3656097,0.0
1731070788.38,11404.2236878,11404.6832678,0.0
1731070788.88,11404.3948832,11404.6607296,0.0
1731070789.38,11405.0419393,11404.4526517,0.0
1731070789.88,11404.5508045,11405.0913044,0.0
1731070790.38,11405.2069206,11404.9727263,0.0
1731070790.88,11405.4503856,11404.956636,0.0
1731070791.38,11405.6874507,11405.1291661,0.0
1731070791.88,11405.897708,11405.7391907,0.0
1731070792.38,11405.8748865,11405.7389691,0.0
1731070792.88,11406.0217418,11405.8544688,0.0
1731070793.38,11405.6661803,11406.1169735,0.0
1731070793.88,11405.905418,11405.8341106,0.0
1731070794.39,11406.2721658,11406.3350431,0.0
1731070794.89,11406.3872517,11406.7176948,0.0
1731070795.39,11406.3378105,11406.5596299,0.0
1731070795.89,11406.6476804,11406.9392416,0.0
1731070796.39,11406.78701,11406.604656,0.0
1731070796.89,11407.3701049,11406.9171679,0.0
1731070797.39,11407.4977006,11406.9261928,0.0
1731070797.89,11407.1116404,11407.3112563,0.0
1731070798.39,11407.3058971,11407.4860815,0.0
1731070798.89,11407.7218,11407.3886792,0.0
1731070799.39,11407.791767,11407.7489909,0.0
1731070799.89,11408.1737336,11407.6583953,0.0
1731070800.39,11408.0961528,11408.1736214,0.0
1731070800.89,11408.1903622,11407.863037,0.0
1731070801.39,11408.395761,11408.7319045,0.0
1731070801.89,11408.4554487,11408.2657279,0.0
1731070802.4,11408.8424671,11408.9885111,0.0
1731070802.89,11408.5651954,11408.6724715,0.0
1731070803.39,11408.9873805,11408.9959334,0.0
1731070803.89,11409.4362071,11408.9116218,0.0
1731070804.39,11409.5625758,11408.9034569,0.0
1731070804.89,11409.4172357,11409.2182192,0.0
1731070805.4,11409.8503148,11409.206834,0.0
1731070805.9,11409.4460822,11409.5942188,0.0
1731070806.4,11409.811404,11409.8737023,0.0
1731070806.9,11409.6749574,11409.775743,0.0
1731070807.4,11409.8364717,11410.2611287,0.0
1731070807.9,11410.4140392,11410.3672463,0.0
1731070808.4,11410.4139155,11410.3178485,0.0
1731070808.9,11410.7088301,11410.7654662,0.0
1731070809.4,11410.5285761,11410.5195009,0.0
1731070809.9,11410.567808,11410.7904543,0.0
1731070810.4,11411.4156126,11411.1675265,0.0
1731070810.9,11411.3829088,11410.9641737,0.0
1731070811.4,11411.1324545,11411.1919488,0.0
1731070811.9,11411.3777263,11411.5552323,0.0
1731070812.4,11411.775179,11411.4258678,0.0
1731070812.9,11411.8302265,11411.4544869,0.0
1731070813.41,11412.3090458,11412.1396396,0.0
1731070813.91,11412.083529,11411.7961959,0.0
1731070814.41,11412.5399636,11412.5054601,0.0
1731070814.91,11412.4707852,11412.7374798,0.0
1731070815.41,11412.647477,11412.4391461,0.0
1731070815.91,11412.5330388,11412.6717368,0.0
1731070816.41,11412.5671887,11412.6170013,0.0
1731070816.91,11413.344824,11413.130832,0.0
1731070817.41,11413.5289854,11412.836781,0.0
1731070817.91,11413.2720295,11413.5299632,0.0
1731070818.41,11413.3425739,11413.1492232,0.0
1731070818.91,11413.9288128,11413.5575802,0.0
1731070819.41,11413.6742024,11414.0447541,0.0
1731070819.91,11414.2447502,11414.2851554,0.0
1731070820.41,11413.7005477,11414.252885,0.0
1731070820.91,11414.1757211,11414.5653509,0.0
1731070821.41,11414.2760832,11414.4472434,0.0
1731070821.91,11414.5846921,11414.5735056,0.0
1731070822.42,11414.7538518,11414.4798697,0.0
1731070822.92,11414.8014216,11414.8689106,0.0
1731070823.42,11415.1243393,11414.9923409,0.0
1731070823.92,11415.4977128,11414.8294149,0.0
1731070824.42,11415.3136037,11415.4125216,0.0
1731070824.92,11415.3886558,11415.6348775,0.0
1731070825.42,11415.2880628,11415.5385708,0.0
1731070825.92,11415.7059935,11415.8831168,0.0
1731070826.42,11415.93137,11415.5362427,0.0
1731070826.92,11415.8351181,11416.0966658,0.0
1731070827.42,11416.1637287,11416.230044,0.0
1731070827.92,11416.006375,11416.3547498,0.0
1731070828.42,11416.3146844,11416.3459456,0.0
1731070828.92,11416.6740728,11416.3556205,0.0
1731070829.42,11417.0108303,11417.0033689,0.0
1731070829.92,11416.6414073,11417.1584736,0.0
1731070830.42,11417.2264571,11417.1895493,0.0
1731070830.93,11416.9942703,11417.1303645,0.0
1731070831.43,11417.4565627,11417.1419495,0.0
1731070831.93,11417.5017666,11417.397817,0.0
1731070832.43,11417.3628241,11417.6983214,0.0
1731070832.93,11418.0477717,11417.8088253,0.0
1731070833.43,11417.6339129,11418.3196862,0.0
1731070833.93,11417.9645863,11417.7564623,0.0
1731070834.43,11418.3434906,11418.6074401,0.0
1731070834.93,11418.6429941,11418.763029,0.0
1731070835.43,11418.8622825,11418.8391814,0.0
1731070835.93,11418.4619942,11418.9107305,0.0
1731070836.43,11418.7826261,11418.9157271,0.0
1731070836.93,11419.1315735,11418.9660943,0.0
1731070837.44,11419.2816011,11419.2185179,0.0
1731070837.93,11419.2531131,11419.1662055,0.0
1731070838.43,11419.2149139,11419.4964266,0.0
1731070838.93,11419.5819414,11419.5484978,0.0
1731070839.43,11420.0003124,11419.8488306,0.0
1731070839.93,11419.9907469,11420.1186124,0.0
1731070840.43,11419.8785065,11420.4359503,0.0
1731070840.94,11420.0399484,11420.0090035,0.0
1731070841.44,11420.2596189,11420.2538903,0.0
1731070841.94,11420.5399754,11420.427913,0.0
1731070842.44,11420.5412511,11420.7348646,0.0
1731070842.94,11420.8420412,11420.8776443,0.0
1731070843.44,11420.7320946,11420.6796465,0.0
1731070843.94,11420.8201454,11421.1680624,0.0
1731070844.44,11421.5618609,11421.1894465,0.0
1731070844.94,11421.0913234,11421.6218592,0.0
1731070845.44,11421.7185871,11421.6452669,0.0
1731070845.94,11421.8392482,11421.5495947,0.0
1731070846.44,11422.074083,11421.500633,0.0
1731070846.94,11422.2847477,11421.8638566,0.0
1731070847.44,11422.5328968,11421.9616642,0.0
1731070847.94,11422.0931089,11421.9704722,0.0
1731070848.44,11422.2247633,11422.1406824,0.0
1731070848.94,11422.5548513,11422.3532713,0.0
1731070849.44,11423.1492099,11422.6835283,0.0
1731070849.94,11422.7363167,11422.6791547,0.0
1731070850.44,11422.7708557,11423.2201505,0.0
1731070850.95,11423.1299793,11423.23921,0.0
1731070851.44,11423.5744846,11423.0335105,0.0
1731070851.95,11423.5451587,11423.325789,0.0
1731070852.45,11423.7311182,11423.8232794,0.0
1731070852.95,11423.7696316,11424.1526386,0.0
1731070853.45,11424.3075811,11424.1650155,0.0
1731070853.95,11424.3262208,11424.0434832,0.0
1731070854.45,11424.4745401,11423.9464289,0.0
1731070854.95,11424.6671603,11424.050153,0.0
1731070855.45,11424.8274423,11424.310015,0.0
1731070855.95,11424.5211912,11424.8547705,0.0
1731070856.45,11425.187582,11425.153799,0.0
1731070856.95,11424.9571896,11424.8775979,0.0
1731070857.45,11425.0808934,11425.2666813,0.0
1731070857.95,11425.3372628,11424.9769353,0.0
1731070858.45,11425.1607374,11425.7004162,0.0
1731070858.95,11425.9470439,11425.4386399,0.0
1731070859.45,11425.5826496,11425.6104002,0.0
1731070859.95,11425.780393,11425.6358705,0.0
1731070860.45,11425.7195756,11425.8490935,0.0
1731070860.95,11426.4628762,11426.2384159,0.0
1731070861.45,11426.5971545,11426.0724327,0.0
1731070861.96,11426.2394277,11426.4039625,0.0
1731070862.46,11426.6197705,11426.5648837,0.0
1731070862.96,11426.5234007,11426.8683017,0.0
1731070863.46,11427.0057875,11426.6695485,0.0
1731070863.96,11427.239907,11427.2796304,0.0
1731070864.46,11427.2774273,11427.6095946,0.0
1731070864.96,11427.5560294,11427.2188177,0.0
1731070865.46,11427.7749517,11427.8083378,0.0
1731070865.96,11427.920881,11428.0954269,0.0
1731070866.46,11428.1292558,11427.8761328,0.0
1731070866.96,11428.0656368,11428.0245762,0.0
1731070867.46,11427.9689485,11428.020165,0.0
1731070867.96,11428.4740306,11428.2439986,0.0
1731070868.46,11428.508353,11428.3386088,0.0
1731070868.96,11428.9417725,11428.5905131,0.0
1731070869.46,11428.9162404,11428.6794466,0.0
1731070869.97,11428.799085,11429.2467436,0.0
1731070870.47,11428.8712713,11428.8949142,0.0
1731070870.97,11428.9901744,11428.8557021,0.0
1731070871.47,11429.2657405,11429.0698603,0.0
1731070871.97,11429.8441044,11429.7632096,0.0
1731070872.47,11429.489353,11429.9629629,0.0
1731070872.97,11430.1569444,11429.8588917,0.0
1731070873.47,11430.1410858,11430.1652516,0.0
1731070873.97,11430.2281124,11430.4123741,0.0
1731070874.47,11430.0297571,11430.3302792,0.0
1731070874.97,11430.249398,11430.0650197,0.0
1731070875.47,11430.9208244,11430.7967061,0.0
1731070875.97,11430.6088989,11430.6464319,0.0
1731070876.47,11431.2011731,11430.9554336,0.0
1731070876.97,11431.0460803,11430.9909508,0.0
1731070877.47,11431.2584836,11431.0361974,0.0
1731070877.97,11431.013134,11431.2029722,0.0
1731070878.47,11431.7639786,11431.5760681,0.0
1731070878.97,11431.581791,11431.9495922,0.0
1731070879.47,11431.9833331,11431.5222759,0.0
1731070879.97,11431.8474981,11431.7332982,0.0
1731070880.47,11432.2950133,11432.1111533,0.0
1731070880.98,11432.2672923,11431.8927836,0.0
1731070881.48,11432.3385178,11432.7156128,0.0
1731070881.98,11432.3634301,11432.2823997,0.0
1731070882.48,11432.8181763,11432.590268,0.0
1731070882.98,11433.1916876,11432.7354623,0.0
1731070883.48,11433.306493,11432.9120784,0.0
1731070883.98,11433.2396129,11433.3679463,0.0
1731070884.48,11433.1561034,11433.5912979,0.0
1731070884.98,11433.0609778,11433.3541801,0.0
1731070885.48,11433.6334168,11433.4072427,0.0
1731070885.98,11433.9728358,11433.8269141,0.0
1731070886.48,11433.5858625,11433.8942246,0.0
1731070886.98,11434.086388,11433.8155249,0.0
1731070887.48,11434.5164491,11434.5070662,0.0
1731070887.98,11434.268977,11434.0999882,0.0
1731070888.48,11434.256254,11434.8043556,0.0
