Time,S1F2Bitrate,S1F2Jitter,S1F2Datagrams,S1F2Delay,S1F2Distance,S1F4Bitrate,S1F4Jitter,S1F4Datagrams,S1F4Delay,S1F4Distance,S1C1Bitrate,S1C1Jitter,S1C1Datagrams,S1C1Delay,S1C1Distance,S1F1Bitrate,S1F1Jitter,S1F1Datagrams,S1F1Delay,S1F1Distance
1731070780.55,19.8,1.211,0.0,2.21,4415.914109567792,19.9,0.97,0.0,3.0,5316.953766005035,8.33,0.523,0.0,1.89,7697.623864119786,19.8,0.305,0.0,0.874,4205.695657721604
1731070781.05,19.8,1.06,0.0,2.0,4415.939178429125,19.8,1.0,0.0,4.965,5317.396157939672,7.67,0.527,0.0,1.54,7697.71161300403,19.8,0.264,0.0,3.54,4205.7905151033565
1731070781.55,19.8,0.682,0.0,2.05,4416.164237509458,20.5,1.025,0.0,6.93,5317.531800153902,8.33,1.174,0.0,2.34,7697.725169030443,20.5,0.31,0.0,1.53,4205.975759910593
1731070782.05,20.5,0.737,0.0,2.13,4416.62497042741,19.2,0.394,0.0,0.847,5318.128196537675,7.68,0.694,0.0,1.99,7698.140990269449,19.8,0.259,0.0,1.39,4206.475451416939
1731070782.55,19.8,0.827,0.0,1.41,4416.539812520174,20.5,0.432,0.0,3.22,5318.544842202886,8.32,1.211,0.0,2.58,7698.153601486425,19.8,0.304,0.0,2.04,4206.471230313819
1731070783.05,19.8,0.848,0.0,2.99,4416.355272184469,19.2,0.502,0.032,0.735,5318.523506516598,7.68,0.724,0.0,1.59,7697.851457099284,19.8,0.318,0.0,4.54,4206.272778699327
1731070783.55,20.5,0.834,0.0,1.66,4416.247656947933,19.8,0.542,0.031,4.92,5318.599801635099,8.32,0.795,0.0,2.13,7697.649186584948,20.5,0.368,0.0,0.949,4206.163619085303
1731070784.05,19.8,0.823,0.0,1.85,4416.281375437844,19.8,0.701,0.0,1.03,5319.261537062916,7.68,0.781,0.0,7.86,7697.872237030198,19.8,0.329,0.0,2.94,4206.321233981545
1731070784.55,19.8,0.819,0.0,2.45,4416.356226108139,19.8,0.529,0.0,2.13,5318.971879771215,8.32,0.812,0.0,1.61,7697.551038431816,19.8,0.408,0.0,2.57,4206.272744674682
1731070785.05,19.8,0.882,0.0,1.71,4416.403384335665,19.8,0.542,0.0,1.12,5319.52449915266,7.67,1.4,0.0,1.75,7697.716403147804,19.9,0.341,0.0,2.37,4206.414047985847
1731070785.55,19.9,1.072,0.0,1.78,4416.631327842863,20.5,0.767,0.0,0.861,5319.573124979976,8.33,0.936,0.0,3.54,7697.679726402431,20.5,0.375,0.0,1.33,4206.579691462871
1731070786.05,20.5,1.324,0.0,2.39,4416.835783901276,19.8,0.578,0.0,0.744,5320.120394466768,7.68,0.687,0.0,1.6,7697.9272528011825,19.8,0.368,0.0,0.865,4206.851742853412
1731070786.55,19.8,1.044,0.0,1.59,4416.727561444891,19.8,0.482,0.0,0.813,5320.587506059075,8.32,0.562,0.0,1.68,7697.95737621851,19.8,0.479,0.0,1.05,4206.840936840568
1731070787.05,19.8,1.171,0.0,6.28,4417.185699200205,19.2,0.618,0.032,0.812,5320.825086924772,7.68,0.8,0.0,2.46,7698.158137888739,19.2,0.647,0.032,1.04,4207.247687465814
1731070787.55,20.5,1.177,0.0,2.59,4416.531584423291,20.5,0.861,0.0,1.33,5320.520495836304,7.68,0.727,0.0,1.53,7697.432511492863,20.5,0.436,0.0,0.877,4206.583221232873
1731070788.05,19.8,1.383,0.0,1.55,4417.123525483967,19.2,0.619,0.032,0.782,5321.157667838406,8.32,0.741,0.0,2.0,7697.943835456561,19.8,0.442,0.0,7.23,4207.203431110697
1731070788.55,19.8,1.167,0.0,2.01,4416.769718922,19.8,0.522,0.0,0.79,5321.414422181372,8.31,0.781,0.0,2.22,7697.715423065087,19.9,0.414,0.0,1.21,4206.933177128113
1731070789.05,19.8,1.363,0.0,1.72,4416.799958650013,19.8,0.669,0.0,0.857,5321.511415204402,7.68,0.612,0.0,1.59,7697.600283573703,19.9,0.313,0.0,1.05,4206.945014298564
1731070789.55,20.5,1.241,0.0,1.65,4417.251662501407,20.5,0.57,0.0,0.845,5321.594986603504,8.32,0.859,0.0,2.33,7697.705867242239,20.5,0.284,0.0,0.884,4207.30739169918
1731070790.05,19.8,0.905,0.0,2.34,4416.786618945063,19.9,0.648,0.0,0.833,5322.089821686736,7.68,0.719,0.0,2.02,7697.558843395123,19.2,0.391,0.032,0.901,4207.00396399261
1731070790.55,19.8,0.581,0.0,1.85,4417.267408719185,19.2,0.687,0.032,0.759,5322.260646163519,8.32,0.89,0.0,2.2,7697.732180610878,19.8,0.457,0.0,0.8,4207.412835499477
1731070791.05,19.8,0.628,0.0,1.98,4417.369518235252,19.8,0.63,0.0,0.805,5322.388183828379,7.68,1.25,0.0,1.78,7697.674236270971,19.9,0.381,0.0,0.78,4207.492751508046
1731070791.55,20.5,0.663,0.0,5.6,4417.508124096801,20.5,0.685,0.0,0.79,5322.691028911291,7.68,0.84,0.0,1.66,7697.740485197883,19.8,0.405,0.0,0.78,4207.647673174269
