Time,Bitrate,Jitter,Datagrams,Delay,S1_X,S1_Y,S1_Z,C1_X,C1_Y,C1_Z,Distance
1731068776.81,7.68,0.902,0.0,4.41,10801.8435966,10801.8709417,0.0,5261.54,5382.02,0.0,7750.467609941045
1731068777.31,8.32,0.749,0.0,2.12,10802.210411,10802.0205408,0.0,5261.67,5382.21,0.0,7750.6086434609015
1731068777.81,8.32,0.84,0.0,1.61,10802.672305,10802.6413737,0.0,5261.8,5382.4,0.0,7751.147169902354
1731068778.31,7.68,0.687,0.0,1.76,10802.2197951,10802.8438338,0.0,5261.93,5382.59,0.0,7750.739489655989
1731068778.81,7.68,1.133,0.0,1.57,10802.4996914,10802.528198,0.0,5262.06,5382.78,0.0,7750.493049075315
1731068779.31,8.32,1.035,0.0,2.37,10802.5448904,10803.1428602,0.0,5262.19,5382.97,0.0,7750.72939445236
1731068779.81,8.32,0.96,0.0,2.27,10802.9041885,10802.7537887,0.0,5262.32,5383.16,0.0,7750.488370701025
1731068780.31,7.68,0.992,0.0,2.22,10803.2647086,10803.3958907,0.0,5262.45,5383.35,0.0,7750.969300179949
1731068780.81,7.69,0.521,0.0,1.9,10802.9989021,10803.4696043,0.0,5262.58,5383.54,0.0,7750.605042595999
1731068781.31,8.31,0.881,0.0,3.31,10803.1618325,10803.6292133,0.0,5262.71,5383.73,0.0,7750.607330434344
1731068781.81,8.32,0.837,0.0,1.71,10803.4514196,10803.6077442,0.0,5262.84,5383.92,0.0,7750.573536689631
1731068782.31,7.68,0.845,0.0,2.09,10804.0257957,10803.8819376,0.0,5262.97,5384.11,0.0,7750.9500828386845
1731068782.81,7.68,0.896,0.0,1.68,10803.6941096,10803.9901616,0.0,5263.1,5384.3,0.0,7750.562852791922
1731068783.31,8.32,0.715,0.0,2.57,10803.7651122,10803.6790339,0.0,5263.23,5384.49,0.0,7750.170263591833
1731068783.81,8.32,0.993,0.0,2.54,10804.4987106,10804.3116729,0.0,5263.36,5384.68,0.0,7750.911280617956
1731068784.31,7.68,0.904,0.0,4.06,10804.0559439,10804.3838986,0.0,5263.49,5384.87,0.0,7750.41946450791
1731068784.81,8.32,1.035,0.0,3.52,10804.6668467,10804.6999738,0.0,5263.62,5385.06,0.0,7750.851411486023
1731068785.31,7.68,1.059,0.0,3.92,10804.9524312,10804.6486945,0.0,5263.75,5385.25,0.0,7750.793933106794
1731068785.81,8.32,0.681,0.0,3.77,10804.7387421,10804.6231703,0.0,5263.88,5385.44,0.0,7750.397527428432
1731068786.31,7.68,1.142,0.0,10.2,10804.6741592,10804.9775752,0.0,5264.01,5385.63,0.0,7750.373375900645
1731068786.81,7.69,0.662,0.0,2.14,10805.0782283,10805.2945163,0.0,5264.14,5385.82,0.0,7750.658067716668
1731068787.31,8.32,1.02,0.0,1.72,10805.4012681,10805.3463253,0.0,5264.27,5386.01,0.0,7750.699448245405
1731068787.81,8.31,1.246,0.0,1.86,10805.1878401,10805.0699482,0.0,5264.4,5386.2,0.0,7750.127831494465
1731068788.31,7.69,0.641,0.0,1.66,10805.6806177,10805.7934606,0.0,5264.53,5386.39,0.0,7750.760223152329
1731068788.81,8.31,1.308,0.0,2.38,10805.3378977,10805.3891248,0.0,5264.66,5386.58,0.0,7750.006703034329
1731068789.31,7.68,0.886,0.0,1.46,10806.1102227,10805.7358882,0.0,5264.79,5386.77,0.0,7750.575533983215
1731068789.81,8.32,1.218,0.0,2.07,10806.3209971,10806.0128599,0.0,5264.92,5386.96,0.0,7750.694092083059
1731068790.31,7.68,0.701,0.0,1.72,10805.9084038,10806.1655402,0.0,5265.05,5387.15,0.0,7750.28007725464
1731068790.81,8.32,0.677,0.0,7.84,10806.0910786,10806.4797843,0.0,5265.18,5387.34,0.0,7750.404607679218
1731068791.31,7.68,1.264,0.0,1.87,10806.5619329,10806.4113337,0.0,5265.31,5387.53,0.0,7750.467591867621
1731068791.81,8.33,0.624,0.0,1.89,10806.6387771,10806.6750573,0.0,5265.44,5387.72,0.0,7750.481133476283
1731068792.31,7.68,1.172,0.0,1.95,10806.7837198,10806.8981454,0.0,5265.57,5387.91,0.0,7750.514951181341
1731068792.81,8.32,0.641,0.0,2.21,10806.9347766,10807.2393976,0.0,5265.7,5388.1,0.0,7750.635758440835
1731068793.31,7.68,0.621,0.0,2.39,10806.7342796,10806.8500946,0.0,5265.83,5388.29,0.0,7749.994434480657
1731068793.81,7.68,0.621,0.0,1.71,10807.2428075,10807.3022603,0.0,5265.96,5388.48,0.0,7750.448363895982
1731068794.31,8.32,0.686,0.0,1.8,10807.4267475,10807.5199736,0.0,5266.09,5388.67,0.0,7750.506305111852
1731068794.81,8.32,1.567,0.0,1.75,10807.3304349,10807.6636486,0.0,5266.22,5388.86,0.0,7750.312112027382
1731068795.31,7.68,1.152,0.0,6.88,10807.8373404,10807.4707726,0.0,5266.35,5389.05,0.0,7750.313904143279
1731068795.81,8.31,0.86,0.0,2.78,10807.6610317,10807.5519111,0.0,5266.48,5389.24,0.0,7750.018786560457
1731068796.31,7.68,0.634,0.0,1.59,10808.1232176,10808.055655,0.0,5266.61,5389.43,0.0,7750.475645394912
1731068796.81,7.68,0.723,0.077,2.5,10807.7628051,10808.2789769,0.0,5266.74,5389.62,0.0,7750.14831048911
1731068797.31,7.68,1.177,0.0,4.16,10808.5131976,10808.4360965,0.0,5266.87,5389.81,0.0,7750.5688890027395
1731068797.81,7.68,0.941,0.0,1.66,10808.4669073,10808.6930383,0.0,5267.0,5390.0,0.0,7750.489644404534
1731068798.31,8.33,1.122,0.0,1.72,10808.7968009,10808.773945,0.0,5267.13,5390.19,0.0,7750.556296241516
1731068798.81,7.68,1.041,0.0,1.46,10808.3949051,10808.9802494,0.0,5267.26,5390.38,0.0,7750.187397690157
