Time,Bitrate,Jitter,Datagrams,Delay,S1_X,S1_Y,S1_Z,C1_X,C1_Y,C1_Z,Distance
1731067774.96,8.32,1.093,0.0,2.37,10501.920259,10502.1632764,0.0,5001.54,5002.02,0.0,7778.5447902885435
1731067775.46,7.68,0.769,0.0,2.15,10502.1398272,10501.99371,0.0,5001.67,5002.21,0.0,7778.353886055775
1731067775.96,8.33,0.809,0.0,1.59,10502.1669896,10502.4490125,0.0,5001.8,5002.4,0.0,7778.468754207578
1731067776.46,7.67,0.918,0.0,2.25,10502.6725386,10502.6493589,0.0,5001.93,5002.59,0.0,7778.74163521241
1731067776.96,8.32,0.705,0.0,1.71,10502.7398369,10502.9339806,0.0,5002.06,5002.78,0.0,7778.764199947717
1731067777.46,7.68,0.641,0.0,1.53,10502.6794741,10502.6098043,0.0,5002.19,5002.97,0.0,7778.266029889041
1731067777.96,8.32,0.592,0.0,2.67,10502.6306541,10503.078904,0.0,5002.32,5003.16,0.0,7778.336920073759
1731067778.46,7.68,0.687,0.0,1.31,10503.0847094,10502.8684453,0.0,5002.45,5003.35,0.0,7778.282929827827
1731067778.96,8.32,0.705,0.0,1.73,10503.4074191,10503.0809681,0.0,5002.58,5003.54,0.0,7778.435135329769
1731067779.46,7.69,0.798,0.0,2.4,10503.2538065,10503.5280563,0.0,5002.71,5003.73,0.0,7778.416344430708
1731067779.96,8.31,1.255,0.0,1.91,10503.3067588,10503.5377052,0.0,5002.84,5003.92,0.0,7778.234341289358
1731067780.46,7.68,0.725,0.0,1.99,10503.6764449,10503.5353683,0.0,5002.97,5004.11,0.0,7778.267851807752
1731067780.96,8.32,0.865,0.0,1.67,10503.8680309,10503.575509,0.0,5003.1,5004.3,0.0,7778.205452008751
1731067781.46,7.68,0.561,0.0,2.32,10503.796207,10503.7407883,0.0,5003.23,5004.49,0.0,7778.045244803384
1731067781.96,8.31,0.663,0.0,2.41,10503.923406,10504.4649956,0.0,5003.36,5004.68,0.0,7778.420969660437
1731067782.46,7.68,0.632,0.0,1.56,10504.3666848,10504.2726138,0.0,5003.49,5004.87,0.0,7778.372156823464
1731067782.96,8.32,0.369,0.0,10.6,10504.7978879,10504.7261374,0.0,5003.62,5005.06,0.0,7778.771482514713
1731067783.46,7.68,0.703,0.0,2.17,10504.6043888,10504.4620021,0.0,5003.75,5005.25,0.0,7778.2216252059125
1731067783.96,8.32,0.586,0.0,1.42,10504.4248278,10505.1051819,0.0,5003.88,5005.44,0.0,7778.323117204665
1731067784.46,7.68,0.921,0.0,2.17,10504.8010082,10504.8929897,0.0,5004.01,5005.63,0.0,7778.21285037753
1731067784.96,8.33,0.744,0.0,1.57,10504.7277657,10505.1552979,0.0,5004.14,5005.82,0.0,7778.120241221358
1731067785.46,7.68,0.628,0.0,1.44,10505.5287234,10505.3681112,0.0,5004.27,5006.01,0.0,7778.61087707862
1731067785.96,8.31,0.944,0.0,2.08,10505.7258898,10505.2287927,0.0,5004.4,5006.2,0.0,7778.425561045589
