['time', 'x', 'y', 'z']
['1731067831.94', '5016.36', '5023.68', '0.0']
['1731067832.44', '5016.49', '5023.87', '0.0']
['1731067832.94', '5016.62', '5024.06', '0.0']
['1731067833.44', '5016.75', '5024.25', '0.0']
['1731067833.94', '5016.88', '5024.44', '0.0']
['1731067834.44', '5017.01', '5024.63', '0.0']
['1731067834.94', '5017.14', '5024.82', '0.0']
['1731067835.44', '5017.27', '5025.01', '0.0']
['1731067835.94', '5017.4', '5025.2', '0.0']
['1731067836.44', '5017.53', '5025.39', '0.0']
['1731067836.94', '5017.66', '5025.58', '0.0']
['1731067837.44', '5017.79', '5025.77', '0.0']
['1731067837.94', '5017.92', '5025.96', '0.0']
['1731067838.44', '5018.05', '5026.15', '0.0']
['1731067838.94', '5018.18', '5026.34', '0.0']
['1731067839.45', '5018.31', '5026.53', '0.0']
['1731067839.95', '5018.44', '5026.72', '0.0']
['1731067840.44', '5018.57', '5026.91', '0.0']
['1731067840.95', '5018.7', '5027.1', '0.0']
['1731067841.45', '5018.83', '5027.29', '0.0']
['1731067841.95', '5018.96', '5027.48', '0.0']
['1731067842.45', '5019.09', '5027.67', '0.0']
['1731067842.95', '5019.22', '5027.86', '0.0']
['1731067843.45', '5019.35', '5028.05', '0.0']
['1731067843.95', '5019.48', '5028.24', '0.0']
['1731067844.45', '5019.61', '5028.43', '0.0']
['1731067844.95', '5019.74', '5028.62', '0.0']
['1731067845.45', '5019.87', '5028.81', '0.0']
['1731067845.95', '5020.0', '5029.0', '0.0']
['1731067846.45', '5020.13', '5029.19', '0.0']
['1731067846.95', '5020.26', '5029.38', '0.0']
['1731067847.45', '5020.39', '5029.57', '0.0']
['1731067847.95', '5020.52', '5029.76', '0.0']
['1731067848.45', '5020.65', '5029.95', '0.0']
['1731067848.95', '5020.78', '5030.14', '0.0']
['1731067849.45', '5020.91', '5030.33', '0.0']
['1731067849.95', '5021.04', '5030.52', '0.0']
['1731067850.46', '5021.17', '5030.71', '0.0']
['1731067850.96', '5021.3', '5030.9', '0.0']
['1731067851.46', '5021.43', '5031.09', '0.0']
['1731067851.96', '5021.56', '5031.28', '0.0']
['1731067852.46', '5021.69', '5031.47', '0.0']
['1731067852.96', '5021.82', '5031.66', '0.0']
['1731067853.46', '5021.95', '5031.85', '0.0']
['1731067853.96', '5022.08', '5032.04', '0.0']
['1731067854.46', '5022.21', '5032.23', '0.0']
['1731067854.96', '5022.34', '5032.42', '0.0']
['1731067855.46', '5022.47', '5032.61', '0.0']
['1731067855.96', '5022.6', '5032.8', '0.0']
['1731067856.46', '5022.73', '5032.99', '0.0']
['1731067856.96', '5022.86', '5033.18', '0.0']
['1731067857.46', '5022.99', '5033.37', '0.0']
['1731067857.96', '5023.12', '5033.56', '0.0']
['1731067858.46', '5023.25', '5033.75', '0.0']
['1731067858.96', '5023.38', '5033.94', '0.0']
['1731067859.46', '5023.51', '5034.13', '0.0']
['1731067859.97', '5023.64', '5034.32', '0.0']
['1731067860.47', '5023.77', '5034.51', '0.0']
['1731067860.97', '5023.9', '5034.7', '0.0']
['1731067861.47', '5024.03', '5034.89', '0.0']
['1731067861.97', '5024.16', '5035.08', '0.0']
['1731067862.47', '5024.29', '5035.27', '0.0']
['1731067862.97', '5024.42', '5035.46', '0.0']
['1731067863.47', '5024.55', '5035.65', '0.0']
['1731067863.97', '5024.68', '5035.84', '0.0']
['1731067864.47', '5024.81', '5036.03', '0.0']
