1731067770.700665532: PING 192.168.6.12 (192.168.6.12) 56(84) bytes of data.
1731067802.764483160: 64 bytes from 192.168.6.12: icmp_seq=65 ttl=63 time=2.59 ms
1731067803.264335413: 64 bytes from 192.168.6.12: icmp_seq=66 ttl=63 time=1.64 ms
1731067803.766438612: 64 bytes from 192.168.6.12: icmp_seq=67 ttl=63 time=2.17 ms
1731067804.273894161: 64 bytes from 192.168.6.12: icmp_seq=68 ttl=63 time=9.40 ms
1731067804.767648449: 64 bytes from 192.168.6.12: icmp_seq=69 ttl=63 time=1.74 ms
1731067805.269080642: 64 bytes from 192.168.6.12: icmp_seq=70 ttl=63 time=2.14 ms
1731067805.769500600: 64 bytes from 192.168.6.12: icmp_seq=71 ttl=63 time=1.96 ms
1731067806.269982921: 64 bytes from 192.168.6.12: icmp_seq=72 ttl=63 time=1.55 ms
1731067806.772078021: 64 bytes from 192.168.6.12: icmp_seq=73 ttl=63 time=2.89 ms
1731067807.273148048: 64 bytes from 192.168.6.12: icmp_seq=74 ttl=63 time=1.78 ms
1731067807.774082575: 64 bytes from 192.168.6.12: icmp_seq=75 ttl=63 time=1.54 ms
1731067808.276179536: 64 bytes from 192.168.6.12: icmp_seq=76 ttl=63 time=2.49 ms
1731067808.781226185: 64 bytes from 192.168.6.12: icmp_seq=77 ttl=63 time=6.21 ms
1731067809.277123602: 64 bytes from 192.168.6.12: icmp_seq=78 ttl=63 time=1.62 ms
1731067809.779205776: 64 bytes from 192.168.6.12: icmp_seq=79 ttl=63 time=2.19 ms
1731067810.279723314: 64 bytes from 192.168.6.12: icmp_seq=80 ttl=63 time=1.84 ms
1731067810.780504971: 64 bytes from 192.168.6.12: icmp_seq=81 ttl=63 time=1.38 ms
1731067811.282607867: 64 bytes from 192.168.6.12: icmp_seq=82 ttl=63 time=1.93 ms
1731067811.782729855: 64 bytes from 192.168.6.12: icmp_seq=83 ttl=63 time=1.83 ms
1731067812.284250161: 64 bytes from 192.168.6.12: icmp_seq=84 ttl=63 time=1.55 ms
1731067812.786488861: 64 bytes from 192.168.6.12: icmp_seq=85 ttl=63 time=2.46 ms
1731067813.287726941: 64 bytes from 192.168.6.12: icmp_seq=86 ttl=63 time=2.49 ms
1731067813.793650986: 64 bytes from 192.168.6.12: icmp_seq=87 ttl=63 time=8.21 ms
