Time,Bitrate,Jitter,Datagrams,Delay,C1_X,C1_Y,C1_Z,F2_X,F2_Y,F2_Z,Distance
1731067774.96,19.8,0.585,0.0,1.54,5001.54,5002.02,0.0,6500.8,9501.2,0.0,4742.404582065938
1731067775.46,19.8,0.52,0.0,1.51,5001.67,5002.21,0.0,6500.9,9501.35,0.0,4742.35714940366
1731067775.96,20.5,0.535,0.0,10.3,5001.8,5002.4,0.0,6501.0,9501.5,0.0,4742.309716794128
1731067776.46,19.8,0.513,0.0,1.66,5001.93,5002.59,0.0,6501.1,9501.65,0.0,4742.262284237345
1731067776.96,19.8,0.662,0.0,1.59,5002.06,5002.78,0.0,6501.2,9501.8,0.0,4742.214851733312
1731067777.46,19.8,0.644,0.0,2.03,5002.19,5002.97,0.0,6501.3,9501.95,0.0,4742.167419282032
1731067777.96,20.5,0.719,0.0,1.88,5002.32,5003.16,0.0,6501.4,9502.1,0.0,4742.119986883504
1731067778.46,19.8,0.868,0.0,1.5,5002.45,5003.35,0.0,6501.5,9502.25,0.0,4742.072554537731
1731067778.96,19.8,0.589,0.0,2.27,5002.58,5003.54,0.0,6501.6,9502.4,0.0,4742.025122244714
1731067779.46,19.2,0.365,0.032,1.96,5002.71,5003.73,0.0,6501.7,9502.55,0.0,4741.977690004455
1731067779.96,20.5,0.537,0.0,2.06,5002.84,5003.92,0.0,6501.8,9502.7,0.0,4741.930257816958
1731067780.46,19.8,0.454,0.0,4.8,5002.97,5004.11,0.0,6501.9,9502.85,0.0,4741.882825682221
1731067780.96,19.8,0.556,0.0,2.26,5003.1,5004.3,0.0,6502.0,9503.0,0.0,4741.835393600246
1731067781.46,19.8,0.483,0.0,2.09,5003.23,5004.49,0.0,6502.1,9503.15,0.0,4741.787961571035
1731067781.96,20.5,0.457,0.0,1.52,5003.36,5004.68,0.0,6502.2,9503.3,0.0,4741.740529594591
1731067782.46,19.8,0.537,0.0,2.38,5003.49,5004.87,0.0,6502.3,9503.45,0.0,4741.693097670916
1731067782.96,19.8,0.688,0.0,1.61,5003.62,5005.06,0.0,6502.4,9503.6,0.0,4741.645665800008
1731067783.46,19.8,0.615,0.0,1.58,5003.75,5005.25,0.0,6502.5,9503.75,0.0,4741.598233981871
1731067783.96,20.5,0.687,0.0,2.67,5003.88,5005.44,0.0,6502.6,9503.9,0.0,4741.550802216507
1731067784.46,19.9,0.597,0.0,1.58,5004.01,5005.63,0.0,6502.7,9504.05,0.0,4741.503370503916
1731067784.96,19.8,0.693,0.0,3.34,5004.14,5005.82,0.0,6502.8,9504.2,0.0,4741.455938844102
1731067785.46,19.8,0.709,0.0,1.67,5004.27,5006.01,0.0,6502.9,9504.35,0.0,4741.4085072370635
1731067785.96,20.5,0.657,0.0,1.85,5004.4,5006.2,0.0,6503.0,9504.5,0.0,4741.361075682805
1731067786.46,19.8,0.776,0.0,1.91,5004.53,5006.39,0.0,6503.1,9504.65,0.0,4741.313644181325
1731067786.96,19.2,0.888,0.032,2.03,5004.66,5006.58,0.0,6503.2,9504.8,0.0,4741.2662127326275
1731067787.46,19.8,0.613,0.0,2.23,5004.79,5006.77,0.0,6503.3,9504.95,0.0,4741.2187813367145
1731067787.96,19.8,0.247,0.0,2.01,5004.92,5006.96,0.0,6503.4,9505.1,0.0,4741.171349993586
1731067788.46,20.5,0.372,0.0,1.46,5005.05,5007.15,0.0,6503.5,9505.25,0.0,4741.123918703244
1731067788.96,19.8,0.358,0.0,2.71,5005.18,5007.34,0.0,6503.6,9505.4,0.0,4741.076487465689
1731067789.46,19.8,0.294,0.0,1.9,5005.31,5007.53,0.0,6503.7,9505.55,0.0,4741.029056280925
1731067789.96,20.5,0.317,0.0,8.79,5005.44,5007.72,0.0,6503.8,9505.7,0.0,4740.981625148953
1731067790.46,19.8,0.435,0.0,2.31,5005.57,5007.91,0.0,6503.9,9505.85,0.0,4740.934194069772
1731067790.96,19.8,0.376,0.0,1.66,5005.7,5008.1,0.0,6504.0,9506.0,0.0,4740.886763043386
1731067791.46,19.8,0.385,0.0,1.6,5005.83,5008.29,0.0,6504.1,9506.15,0.0,4740.839332069797
1731067791.96,20.5,0.44,0.0,1.96,5005.96,5008.48,0.0,6504.2,9506.3,0.0,4740.791901149005
1731067792.46,19.2,0.401,0.032,1.62,5006.09,5008.67,0.0,6504.3,9506.45,0.0,4740.7444702810135
1731067792.96,19.9,0.405,0.0,2.0,5006.22,5008.86,0.0,6504.4,9506.6,0.0,4740.697039465822
1731067793.46,19.8,0.384,0.0,1.67,5006.35,5009.05,0.0,6504.5,9506.75,0.0,4740.649608703431
1731067793.96,20.5,0.337,0.0,2.08,5006.48,5009.24,0.0,6504.6,9506.9,0.0,4740.602177993846
1731067794.46,19.8,0.406,0.0,5.61,5006.61,5009.43,0.0,6504.7,9507.05,0.0,4740.554747337066
1731067794.96,19.9,0.523,0.0,1.59,5006.74,5009.62,0.0,6504.8,9507.2,0.0,4740.507316733096
1731067795.46,19.8,0.46,0.0,2.53,5006.87,5009.81,0.0,6504.9,9507.35,0.0,4740.45988618193
1731067795.96,20.5,0.5,0.0,2.49,5007.0,5010.0,0.0,6505.0,9507.5,0.0,4740.412455683577
1731067796.46,18.6,0.563,0.065,1.68,5007.13,5010.19,0.0,6505.1,9507.65,0.0,4740.365025238036
1731067796.96,19.2,0.536,0.032,2.22,5007.26,5010.38,0.0,6505.2,9507.8,0.0,4740.317594845306
1731067797.46,19.8,0.752,0.0,2.16,5007.39,5010.57,0.0,6505.3,9507.95,0.0,4740.270164505396
1731067797.96,20.5,0.603,0.0,1.87,5007.52,5010.76,0.0,6505.4,9508.1,0.0,4740.222734218299
1731067798.46,19.8,0.608,0.0,3.35,5007.65,5010.95,0.0,6505.5,9508.25,0.0,4740.1753039840205
1731067798.96,19.8,0.696,0.0,5.83,5007.78,5011.14,0.0,6505.6,9508.4,0.0,4740.127873802562
1731067799.46,19.9,0.731,0.0,1.65,5007.91,5011.33,0.0,6505.7,9508.55,0.0,4740.080443673925
1731067799.96,20.5,0.695,0.0,2.94,5008.04,5011.52,0.0,6505.8,9508.7,0.0,4740.033013598112
1731067800.46,19.8,0.505,0.0,2.07,5008.17,5011.71,0.0,6505.9,9508.85,0.0,4739.985583575123
1731067800.96,19.8,0.406,0.0,1.75,5008.3,5011.9,0.0,6506.0,9509.0,0.0,4739.9381536049605
1731067801.46,19.9,0.627,0.0,1.63,5008.43,5012.09,0.0,6506.1,9509.15,0.0,4739.890723687625
1731067801.96,20.5,0.541,0.0,1.6,5008.56,5012.28,0.0,6506.2,9509.3,0.0,4739.843293823119
1731067802.46,19.8,0.613,0.0,2.59,5008.69,5012.47,0.0,6506.3,9509.45,0.0,4739.795864011446
1731067802.96,19.8,0.606,0.0,1.64,5008.82,5012.66,0.0,6506.4,9509.6,0.0,4739.748434252603
1731067803.46,19.8,0.597,0.0,2.17,5008.95,5012.85,0.0,6506.5,9509.75,0.0,4739.701004546594
1731067803.96,20.5,0.47,0.0,9.4,5009.08,5013.04,0.0,6506.6,9509.9,0.0,4739.653574893422
1731067804.46,19.8,0.617,0.0,1.74,5009.21,5013.23,0.0,6506.7,9510.05,0.0,4739.606145293087
1731067804.96,19.9,0.614,0.0,2.14,5009.34,5013.42,0.0,6506.8,9510.2,0.0,4739.558715745592
1731067805.46,19.8,0.576,0.0,1.96,5009.47,5013.61,0.0,6506.9,9510.35,0.0,4739.511286250937
1731067805.96,20.5,0.706,0.0,1.55,5009.6,5013.8,0.0,6507.0,9510.5,0.0,4739.463856809121
1731067806.46,19.8,0.62,0.0,2.89,5009.73,5013.99,0.0,6507.1,9510.65,0.0,4739.416427420152
1731067806.96,19.8,0.742,0.0,1.78,5009.86,5014.18,0.0,6507.2,9510.8,0.0,4739.368998084027
1731067807.46,19.8,0.761,0.0,1.54,5009.99,5014.37,0.0,6507.3,9510.95,0.0,4739.321568800751
1731067807.96,20.5,0.706,0.0,2.49,5010.12,5014.56,0.0,6507.4,9511.1,0.0,4739.27413957032
1731067808.46,19.8,1.007,0.0,6.21,5010.25,5014.75,0.0,6507.5,9511.25,0.0,4739.226710392741
1731067808.96,19.8,0.495,0.0,1.62,5010.38,5014.94,0.0,6507.6,9511.4,0.0,4739.179281268012
1731067809.46,19.8,0.287,0.0,2.19,5010.51,5015.13,0.0,6507.7,9511.55,0.0,4739.1318521961375
1731067809.96,20.5,0.288,0.0,1.84,5010.64,5015.32,0.0,6507.8,9511.7,0.0,4739.084423177119
1731067810.46,19.9,0.348,0.0,1.38,5010.77,5015.51,0.0,6507.9,9511.85,0.0,4739.036994210955
1731067810.96,19.2,0.425,0.032,1.93,5010.9,5015.7,0.0,6508.0,9512.0,0.0,4738.989565297649
1731067811.46,19.8,0.39,0.0,1.83,5011.03,5015.89,0.0,6508.1,9512.15,0.0,4738.942136437203
1731067811.96,20.5,0.47,0.0,1.55,5011.16,5016.08,0.0,6508.2,9512.3,0.0,4738.894707629617
1731067812.46,19.8,0.487,0.0,2.46,5011.29,5016.27,0.0,6508.3,9512.45,0.0,4738.847278874896
1731067812.96,19.8,0.376,0.0,2.49,5011.42,5016.46,0.0,6508.4,9512.6,0.0,4738.799850173037
1731067813.46,19.8,0.337,0.0,8.21,5011.55,5016.65,0.0,6508.5,9512.75,0.0,4738.7524215240455
1731067813.96,20.5,0.398,0.0,1.81,5011.68,5016.84,0.0,6508.6,9512.9,0.0,4738.70499292792
1731067814.46,19.2,0.503,0.032,2.83,5011.81,5017.03,0.0,6508.7,9513.05,0.0,4738.657564384664
1731067814.96,19.8,0.441,0.0,2.71,5011.94,5017.22,0.0,6508.8,9513.2,0.0,4738.61013589428
1731067815.46,19.8,0.504,0.0,1.7,5012.07,5017.41,0.0,6508.9,9513.35,0.0,4738.562707456767
1731067815.96,20.5,1.103,0.0,2.34,5012.2,5017.6,0.0,6509.0,9513.5,0.0,4738.515279072127
1731067816.46,19.8,0.507,0.0,2.16,5012.33,5017.79,0.0,6509.1,9513.65,0.0,4738.467850740363
1731067816.96,19.9,0.435,0.0,1.59,5012.46,5017.98,0.0,6509.2,9513.8,0.0,4738.420422461477
1731067817.46,19.8,0.606,0.0,2.24,5012.59,5018.17,0.0,6509.3,9513.95,0.0,4738.372994235469
1731067817.96,20.5,0.467,0.0,7.31,5012.72,5018.36,0.0,6509.4,9514.1,0.0,4738.325566062341
1731067818.46,19.8,0.458,0.0,1.4,5012.85,5018.55,0.0,6509.5,9514.25,0.0,4738.278137942094
1731067818.96,19.8,0.663,0.0,2.33,5012.98,5018.74,0.0,6509.6,9514.4,0.0,4738.2307098747315
1731067819.46,19.8,0.596,0.0,1.79,5013.11,5018.93,0.0,6509.7,9514.55,0.0,4738.1832818602525
1731067819.96,20.5,0.656,0.0,1.53,5013.24,5019.12,0.0,6509.8,9514.7,0.0,4738.135853898663
1731067820.46,19.8,0.566,0.0,1.71,5013.37,5019.31,0.0,6509.9,9514.85,0.0,4738.088425989958
1731067820.96,19.9,0.669,0.0,1.41,5013.5,5019.5,0.0,6510.0,9515.0,0.0,4738.0409981341445
1731067821.46,19.8,0.501,0.0,1.61,5013.63,5019.69,0.0,6510.1,9515.15,0.0,4737.993570331222
