Time,C1_X,C1_Y,C1_Z
1731070776.37,5780.5,6140.5,0.0
1731070776.87,5780.63,6140.69,0.0
1731070777.37,5780.76,6140.88,0.0
1731070777.87,5780.89,6141.07,0.0
1731070778.37,5781.02,6141.26,0.0
1731070778.87,5781.15,6141.45,0.0
1731070779.37,5781.28,6141.64,0.0
1731070779.87,5781.41,6141.83,0.0
1731070780.37,5781.54,6142.02,0.0
1731070780.87,5781.67,6142.21,0.0
1731070781.37,5781.8,6142.4,0.0
1731070781.87,5781.93,6142.59,0.0
1731070782.37,5782.06,6142.78,0.0
1731070782.88,5782.19,6142.97,0.0
1731070783.37,5782.32,6143.16,0.0
1731070783.87,5782.45,6143.35,0.0
1731070784.38,5782.58,6143.54,0.0
1731070784.88,5782.71,6143.73,0.0
1731070785.38,5782.84,6143.92,0.0
1731070785.88,5782.97,6144.11,0.0
1731070786.38,5783.1,6144.3,0.0
1731070786.88,5783.23,6144.49,0.0
1731070787.38,5783.36,6144.68,0.0
1731070787.88,5783.49,6144.87,0.0
1731070788.38,5783.62,6145.06,0.0
1731070788.88,5783.75,6145.25,0.0
1731070789.38,5783.88,6145.44,0.0
1731070789.88,5784.01,6145.63,0.0
1731070790.38,5784.14,6145.82,0.0
1731070790.88,5784.27,6146.01,0.0
1731070791.38,5784.4,6146.2,0.0
1731070791.88,5784.53,6146.39,0.0
1731070792.38,5784.66,6146.58,0.0
1731070792.88,5784.79,6146.77,0.0
1731070793.38,5784.92,6146.96,0.0
1731070793.89,5785.05,6147.15,0.0
1731070794.39,5785.18,6147.34,0.0
1731070794.89,5785.31,6147.53,0.0
1731070795.39,5785.44,6147.72,0.0
1731070795.89,5785.57,6147.91,0.0
1731070796.39,5785.7,6148.1,0.0
1731070796.89,5785.83,6148.29,0.0
1731070797.39,5785.96,6148.48,0.0
1731070797.89,5786.09,6148.67,0.0
1731070798.39,5786.22,6148.86,0.0
1731070798.89,5786.35,6149.05,0.0
1731070799.39,5786.48,6149.24,0.0
1731070799.89,5786.61,6149.43,0.0
1731070800.39,5786.74,6149.62,0.0
1731070800.89,5786.87,6149.81,0.0
1731070801.39,5787.0,6150.0,0.0
1731070801.89,5787.13,6150.19,0.0
1731070802.4,5787.26,6150.38,0.0
1731070802.89,5787.39,6150.57,0.0
1731070803.4,5787.52,6150.76,0.0
1731070803.9,5787.65,6150.95,0.0
1731070804.4,5787.78,6151.14,0.0
1731070804.9,5787.91,6151.33,0.0
1731070805.4,5788.04,6151.52,0.0
1731070805.9,5788.17,6151.71,0.0
1731070806.4,5788.3,6151.9,0.0
1731070806.9,5788.43,6152.09,0.0
1731070807.4,5788.56,6152.28,0.0
1731070807.9,5788.69,6152.47,0.0
1731070808.4,5788.82,6152.66,0.0
1731070808.9,5788.95,6152.85,0.0
1731070809.4,5789.08,6153.04,0.0
1731070809.9,5789.21,6153.23,0.0
1731070810.4,5789.34,6153.42,0.0
1731070810.9,5789.47,6153.61,0.0
1731070811.4,5789.6,6153.8,0.0
1731070811.9,5789.73,6153.99,0.0
1731070812.4,5789.86,6154.18,0.0
1731070812.9,5789.99,6154.37,0.0
1731070813.41,5790.12,6154.56,0.0
1731070813.91,5790.25,6154.75,0.0
1731070814.41,5790.38,6154.94,0.0
1731070814.91,5790.51,6155.13,0.0
1731070815.41,5790.64,6155.32,0.0
1731070815.91,5790.77,6155.51,0.0
1731070816.41,5790.9,6155.7,0.0
1731070816.91,5791.03,6155.89,0.0
1731070817.41,5791.16,6156.08,0.0
1731070817.91,5791.29,6156.27,0.0
1731070818.41,5791.42,6156.46,0.0
1731070818.91,5791.55,6156.65,0.0
1731070819.41,5791.68,6156.84,0.0
1731070819.91,5791.81,6157.03,0.0
1731070820.41,5791.94,6157.22,0.0
1731070820.91,5792.07,6157.41,0.0
