Time,C1_X,C1_Y,C1_Z
1731071778.02,6040.5,6520.5,0.0
1731071778.51,6040.63,6520.69,0.0
1731071779.01,6040.76,6520.88,0.0
1731071779.51,6040.89,6521.07,0.0
1731071780.01,6041.02,6521.26,0.0
1731071780.51,6041.15,6521.45,0.0
1731071781.01,6041.28,6521.64,0.0
1731071781.52,6041.41,6521.83,0.0
1731071782.02,6041.54,6522.02,0.0
1731071782.52,6041.67,6522.21,0.0
1731071783.02,6041.8,6522.4,0.0
1731071783.52,6041.93,6522.59,0.0
1731071784.02,6042.06,6522.78,0.0
1731071784.52,6042.19,6522.97,0.0
1731071785.02,6042.32,6523.16,0.0
1731071785.52,6042.45,6523.35,0.0
1731071786.02,6042.58,6523.54,0.0
1731071786.52,6042.71,6523.73,0.0
1731071787.02,6042.84,6523.92,0.0
1731071787.52,6042.97,6524.11,0.0
1731071788.02,6043.1,6524.3,0.0
1731071788.52,6043.23,6524.49,0.0
1731071789.02,6043.36,6524.68,0.0
1731071789.52,6043.49,6524.87,0.0
1731071790.02,6043.62,6525.06,0.0
1731071790.52,6043.75,6525.25,0.0
1731071791.02,6043.88,6525.44,0.0
1731071791.52,6044.01,6525.63,0.0
1731071792.02,6044.14,6525.82,0.0
1731071792.52,6044.27,6526.01,0.0
1731071793.03,6044.4,6526.2,0.0
1731071793.53,6044.53,6526.39,0.0
1731071794.03,6044.66,6526.58,0.0
1731071794.53,6044.79,6526.77,0.0
1731071795.03,6044.92,6526.96,0.0
1731071795.53,6045.05,6527.15,0.0
1731071796.03,6045.18,6527.34,0.0
1731071796.53,6045.31,6527.53,0.0
1731071797.03,6045.44,6527.72,0.0
1731071797.53,6045.57,6527.91,0.0
1731071798.03,6045.7,6528.1,0.0
1731071798.53,6045.83,6528.29,0.0
1731071799.03,6045.96,6528.48,0.0
1731071799.53,6046.09,6528.67,0.0
1731071800.03,6046.22,6528.86,0.0
1731071800.53,6046.35,6529.05,0.0
