Time,C1S1Bitrate,C1S1Jitter,C1S1Datagrams,C1S1Delay,C1S1Distance,C1F1Bitrate,C1F1Jitter,C1F1Datagrams,C1F1Delay,C1F1Distance,C1F2Bitrate,C1F2Jitter,C1F2Datagrams,C1F2Delay,C1F2Distance,C1F4Bitrate,C1F4Jitter,C1F4Datagrams,C1F4Delay,C1F4Distance
1731070780.55,40.3,1.161,0.0,3.83,7697.623864119786,19.8,0.462,0.0,2.21,3908.284220217357,19.8,0.903,0.0,4.48,4458.818365890228,19.8,0.619,0.0,0.777,3827.909155139395
1731070781.05,39.7,1.347,0.0,1.64,7697.71161300403,19.8,0.478,0.0,3.69,3908.190602951703,19.8,1.157,0.0,2.18,4458.771280577195,19.9,0.73,0.0,0.877,3827.8597499124753
1731070781.55,40.4,1.087,0.0,1.98,7697.725169030443,19.9,0.625,0.0,7.55,3908.096985746388,20.5,1.147,0.0,11.9,4458.724195327628,20.5,0.661,0.0,0.975,3827.810366253793
1731070782.05,39.7,1.112,0.0,4.27,7698.140990269449,20.5,0.524,0.0,1.29,3908.0033686014144,19.8,1.196,0.0,1.75,4458.677110141527,19.8,0.793,0.0,2.75,3827.761004164184
1731070782.55,40.3,1.264,0.0,3.86,7698.153601486425,19.9,0.684,0.0,1.89,3907.909751516788,19.8,1.704,0.0,1.45,4458.630025018895,19.8,1.015,0.0,0.795,3827.711663644481
1731070783.05,39.7,0.953,0.0,4.79,7697.851457099284,19.2,0.739,0.032,0.709,3907.816134492512,19.8,1.412,0.0,2.82,4458.582939959736,19.8,0.997,0.0,0.756,3827.662344695519
1731070783.55,40.3,1.284,0.0,11.6,7697.649186584948,19.8,0.815,0.0,1.33,3907.722517528592,20.5,1.523,0.0,1.92,4458.535854964049,19.8,1.024,0.0,0.795,3827.613047318133
1731070784.05,39.7,1.157,0.0,1.66,7697.872237030198,20.5,0.45,0.0,1.06,3907.628900625032,19.9,1.72,0.0,2.01,4458.488770031837,20.5,1.07,0.0,0.793,3827.563771513154
1731070784.55,40.3,1.076,0.0,2.44,7697.551038431816,19.9,0.65,0.0,0.823,3907.535283781837,19.8,1.009,0.0,1.64,4458.441685163101,19.8,0.855,0.0,0.985,3827.5145172814177
1731070785.05,39.7,1.343,0.0,1.59,7697.716403147804,19.8,0.683,0.0,0.909,3907.4416669990105,19.8,0.656,0.0,1.4,4458.394600357846,19.8,0.697,0.0,1.01,3827.465284623756
