Time,Bitrate,Jitter,Datagrams,Delay,C1_X,C1_Y,C1_Z,S1_X,S1_Y,S1_Z,Distance
1731071782.23,40.3,0.899,0.0,2.58,6041.54,6522.02,0.0,11702.0821908,11702.4240367,0.0,7673.221219102477
1731071782.73,39.7,0.899,0.0,2.15,6041.67,6522.21,0.0,11701.8542441,11702.4282771,0.0,7672.831750765736
1731071783.23,40.3,1.672,0.0,2.02,6041.8,6522.4,0.0,11702.19347,11702.5214558,0.0,7672.920730208162
1731071783.73,39.7,0.917,0.0,1.95,6041.93,6522.59,0.0,11702.7192531,11702.7383035,0.0,7673.230832854331
1731071784.23,40.3,0.749,0.0,2.66,6042.06,6522.78,0.0,11703.0200921,11702.7787885,0.0,7673.255932992872
1731071784.73,39.7,0.676,0.0,1.82,6042.19,6522.97,0.0,11703.0790463,11702.7157561,0.0,7673.032705023176
1731071785.23,40.3,0.823,0.0,1.76,6042.32,6523.16,0.0,11702.8143631,11702.8739886,0.0,7672.720080804812
1731071785.73,39.7,0.586,0.0,2.16,6042.45,6523.35,0.0,11703.0005296,11702.9524497,0.0,7672.686220294238
1731071786.23,40.3,0.615,0.0,2.17,6042.58,6523.54,0.0,11703.4330742,11703.2362902,0.0,7672.972773729308
1731071786.73,39.0,1.271,0.016,1.61,6042.71,6523.73,0.0,11703.1299314,11703.7892687,0.0,7672.89826773659
1731071787.23,40.3,0.902,0.0,2.29,6042.84,6523.92,0.0,11703.3042789,11703.4754989,0.0,7672.590893491461
1731071787.73,39.0,0.44,0.0,2.74,6042.97,6524.11,0.0,11704.0608123,11703.7675688,0.0,7673.122031815642
1731071788.23,40.3,0.673,0.0,1.49,6043.1,6524.3,0.0,11704.0487222,11704.0288356,0.0,7673.065309621959
1731071788.73,40.3,0.748,0.0,3.05,6043.23,6524.49,0.0,11703.6775166,11703.7153627,0.0,7672.355664710682
1731071789.23,40.3,0.723,0.0,9.41,6043.36,6524.68,0.0,11704.2513804,11703.9718781,0.0,7672.728040224
1731071789.73,39.6,0.882,0.0,1.76,6043.49,6524.87,0.0,11704.1361856,11704.3417339,0.0,7672.6685501732
1731071790.23,40.3,1.168,0.0,1.99,6043.62,6525.06,0.0,11704.7584228,11704.2048926,0.0,7672.811092464556
1731071790.73,39.7,0.822,0.0,1.67,6043.75,6525.25,0.0,11704.465833,11704.7106154,0.0,7672.712428369555
1731071791.23,40.3,0.993,0.0,2.04,6043.88,6525.44,0.0,11704.531937,11705.0326091,0.0,7672.7543912277815
1731071791.73,39.7,0.958,0.0,2.01,6044.01,6525.63,0.0,11705.0993969,11705.2381748,0.0,7673.087644758698
1731071792.23,39.7,0.915,0.0,2.31,6044.14,6525.82,0.0,11704.8604234,11704.7329108,0.0,7672.34609813379
1731071792.73,40.3,0.755,0.0,2.38,6044.27,6526.01,0.0,11705.5993954,11704.9700218,0.0,7672.827212352875
1731071793.23,40.3,0.614,0.0,1.53,6044.4,6526.2,0.0,11705.3122389,11705.0158487,0.0,7672.422105911152
1731071793.73,39.7,0.689,0.0,9.43,6044.53,6526.39,0.0,11705.2701062,11705.8159917,0.0,7672.706963871271
1731071794.23,40.3,0.843,0.0,2.99,6044.66,6526.58,0.0,11705.36774,11705.7825369,0.0,7672.532244046114
1731071794.73,39.7,0.932,0.0,1.65,6044.79,6526.77,0.0,11705.8416583,11705.8387105,0.0,7672.695653160062
1731071795.23,40.3,0.994,0.0,2.29,6044.92,6526.96,0.0,11705.9563957,11706.1720933,0.0,7672.781176393929
1731071795.73,39.7,1.081,0.0,2.18,6045.05,6527.15,0.0,11706.4885862,11706.1331143,0.0,7672.923364892861
1731071796.23,40.3,1.032,0.0,1.88,6045.18,6527.34,0.0,11706.6217345,11706.0966202,0.0,7672.772813292708
1731071796.73,39.7,0.76,0.0,2.21,6045.31,6527.53,0.0,11706.4603274,11706.4305213,0.0,7672.654927659822
1731071797.23,40.3,0.782,0.0,1.74,6045.44,6527.72,0.0,11706.7987698,11706.5061365,0.0,7672.731519347981
