Time,C1_X,C1_Y,C1_Z
1731069774.6,5520.5,5760.5,0.0
1731069775.1,5520.63,5760.69,0.0
1731069775.6,5520.76,5760.88,0.0
1731069776.1,5520.89,5761.07,0.0
1731069776.6,5521.02,5761.26,0.0
1731069777.1,5521.15,5761.45,0.0
1731069777.6,5521.28,5761.64,0.0
1731069778.1,5521.41,5761.83,0.0
1731069778.6,5521.54,5762.02,0.0
1731069779.1,5521.67,5762.21,0.0
1731069779.6,5521.8,5762.4,0.0
1731069780.1,5521.93,5762.59,0.0
1731069780.6,5522.06,5762.78,0.0
1731069781.1,5522.19,5762.97,0.0
1731069781.6,5522.32,5763.16,0.0
1731069782.11,5522.45,5763.35,0.0
1731069782.61,5522.58,5763.54,0.0
1731069783.11,5522.71,5763.73,0.0
1731069783.61,5522.84,5763.92,0.0
1731069784.11,5522.97,5764.11,0.0
1731069784.61,5523.1,5764.3,0.0
1731069785.11,5523.23,5764.49,0.0
1731069785.61,5523.36,5764.68,0.0
1731069786.11,5523.49,5764.87,0.0
1731069786.61,5523.62,5765.06,0.0
1731069787.11,5523.75,5765.25,0.0
1731069787.61,5523.88,5765.44,0.0
1731069788.11,5524.01,5765.63,0.0
1731069788.61,5524.14,5765.82,0.0
1731069789.11,5524.27,5766.01,0.0
1731069789.61,5524.4,5766.2,0.0
1731069790.12,5524.53,5766.39,0.0
1731069790.62,5524.66,5766.58,0.0
1731069791.12,5524.79,5766.77,0.0
1731069791.62,5524.92,5766.96,0.0
1731069792.12,5525.05,5767.15,0.0
1731069792.62,5525.18,5767.34,0.0
1731069793.12,5525.31,5767.53,0.0
1731069793.62,5525.44,5767.72,0.0
1731069794.12,5525.57,5767.91,0.0
1731069794.62,5525.7,5768.1,0.0
1731069795.12,5525.83,5768.29,0.0
1731069795.62,5525.96,5768.48,0.0
1731069796.12,5526.09,5768.67,0.0
1731069796.62,5526.22,5768.86,0.0
1731069797.12,5526.35,5769.05,0.0
1731069797.62,5526.48,5769.24,0.0
1731069798.12,5526.61,5769.43,0.0
1731069798.62,5526.74,5769.62,0.0
1731069799.13,5526.87,5769.81,0.0
1731069799.63,5527.0,5770.0,0.0
1731069800.13,5527.13,5770.19,0.0
1731069800.63,5527.26,5770.38,0.0
1731069801.13,5527.39,5770.57,0.0
1731069801.63,5527.52,5770.76,0.0
1731069802.13,5527.65,5770.95,0.0
