Time,Bitrate,Jitter,Datagrams,Delay,C1_X,C1_Y,C1_Z,F1_X,F1_Y,F1_Z,Distance
1731068799.81,20.5,0.555,0.0,1.18,5267.52,5390.76,0.0,7205.9,9205.4,0.0,4278.877814801445
1731068800.31,19.9,0.559,0.0,1.09,5267.65,5390.95,0.0,7206.0,9205.5,0.0,4278.783989055769
1731068800.81,19.8,0.569,0.0,0.836,5267.78,5391.14,0.0,7206.1,9205.6,0.0,4278.690163356071
1731068801.31,19.8,0.672,0.0,0.739,5267.91,5391.33,0.0,7206.2,9205.7,0.0,4278.596337702355
1731068801.81,20.5,0.698,0.0,0.771,5268.04,5391.52,0.0,7206.3,9205.8,0.0,4278.502512094622
1731068802.31,18.6,0.699,0.065,1.1,5268.17,5391.71,0.0,7206.4,9205.9,0.0,4278.408686532879
1731068802.81,19.9,0.702,0.0,5.39,5268.3,5391.9,0.0,7206.5,9206.0,0.0,4278.314861017127
1731068803.31,19.8,0.766,0.0,1.33,5268.43,5392.09,0.0,7206.6,9206.1,0.0,4278.221035547369
1731068803.81,20.5,0.85,0.0,2.37,5268.56,5392.28,0.0,7206.7,9206.2,0.0,4278.127210123608
1731068804.31,19.8,0.869,0.0,0.805,5268.69,5392.47,0.0,7206.8,9206.3,0.0,4278.033384745845
1731068804.81,19.9,0.965,0.0,1.19,5268.82,5392.66,0.0,7206.9,9206.4,0.0,4277.939559414088
1731068805.31,19.8,0.948,0.0,1.27,5268.95,5392.85,0.0,7207.0,9206.5,0.0,4277.845734128336
1731068805.81,19.8,0.897,0.0,0.8,5269.08,5393.04,0.0,7207.1,9206.6,0.0,4277.751908888594
1731068806.31,20.5,0.93,0.0,1.03,5269.21,5393.23,0.0,7207.2,9206.7,0.0,4277.658083694863
1731068806.81,19.8,0.818,0.0,1.03,5269.34,5393.42,0.0,7207.3,9206.8,0.0,4277.564258547146
1731068807.31,19.8,0.45,0.0,1.025,5269.47,5393.61,0.0,7207.4,9206.9,0.0,4277.470433445449
