timestamp,variable1,variable2,variable3,variable4,variable5,variable6,variable7
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,1,0,0
5,1,1,0,0,1,1,1
6,1,0,0,0,1,0,1
7,0,0,0,0,1,0,1
8,0,0,0,0,1,0,1
9,0,0,0,0,0,0,1
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,1,1,0,0,0
16,0,1,1,1,0,1,0
17,0,1,1,1,0,1,0
18,0,1,0,1,0,1,0
19,0,1,0,1,0,1,0
20,0,1,0,1,0,1,0
21,1,1,0,1,0,1,0
22,0,1,0,1,0,1,0
23,0,1,0,1,0,1,0
24,0,1,0,1,0,1,0
25,1,1,0,1,0,1,0
26,1,1,0,1,1,1,1
27,1,1,0,1,1,1,1
28,1,1,0,1,1,1,1
29,1,0,0,1,1,1,1
30,1,0,0,1,1,1,1
31,1,0,0,1,1,1,1
32,1,0,0,0,1,1,1
33,1,0,0,0,1,1,1
34,1,0,0,0,1,1,1
35,1,0,0,0,1,1,1
36,1,0,0,0,1,1,1
37,1,0,0,0,1,1,1
38,1,0,0,0,1,1,1
39,1,0,0,0,1,1,1
40,1,0,0,0,1,0,1
41,1,0,1,0,1,0,1
42,1,0,1,0,1,0,1
43,0,0,1,0,1,0,1
44,0,0,1,0,0,0,1
45,0,0,1,0,0,0,0
46,0,0,1,0,0,0,0
47,0,0,1,0,0,0,0
48,0,0,1,0,0,0,0
49,0,0,1,0,0,0,0
50,0,0,1,0,0,0,0
51,0,0,1,0,0,0,0
52,0,0,1,0,0,0,0
53,0,1,1,0,0,0,0
54,0,1,1,0,0,0,0
55,0,1,1,1,0,0,0
56,0,1,1,1,1,0,0
57,0,1,0,1,1,0,0
58,1,1,1,1,1,0,0
59,1,1,1,1,1,0,1
60,1,1,1,1,1,0,1
61,1,1,1,1,1,0,1
62,1,1,1,1,1,0,1
63,0,1,0,1,0,0,0
64,0,1,0,1,0,0,0
65,0,0,0,0,0,0,0
