timestamp,variable1,variable2,variable3,variable4,variable5,variable6,variable7,variable8
0,-0.9649751946249786,0.8915558199715962,0.289350613493103,-0.2536946481080959,0.5290996082358884,-0.3340799677353793,-1.3487609227000357,-0.7407372584781012
1,-0.436641585540297,-0.0507393522943362,-0.2321694028459303,-0.0407879013603535,-0.2983419247858435,0.1531187753537013,-1.067224726729505,-0.9020508419168158
2,0.0920366638634223,0.0101694611220927,-0.4773874237735553,-0.4666013948558383,0.0904129334010908,-0.5211925284869827,-0.8824986686200437,-0.7547645266032068
3,0.6203702729481038,-0.0686537091815212,-0.5706393472249057,-0.0582392740445946,-0.3982055580815698,-0.0234025083742264,-1.08432899136927,-0.9195849270731978
4,-1.1969181293373012,0.0495810462738997,-0.2632533773297137,0.3501228467666488,0.0440476750852179,0.4743875117385299,-0.9509157271791034,-0.7617781606657595
5,-1.2620551496354129,1.1065281026178162,0.4309553861414499,0.7584849675778923,0.6895947331754483,-0.7506701973332888,-1.272475902406684,-0.4251237256632247
6,-1.1083455673446314,-0.1188139084656393,-0.4324883495192013,-0.4456597476347489,-0.5836665913450614,-0.351732096108172,-1.070645579657458,-0.9195849270731978
7,-0.9546359850538498,-0.0722365805589583,-0.7260592196438229,-0.0896517448762287,-0.1164474498543421,-0.6694704068184419,-1.0159119328102102,-1.2351984598880743
8,-0.4583539256396675,-0.0328249954071513,-0.5982695467660464,-0.508484689298017,-0.4231714664055013,-0.2281671974986225,-1.1766920204240003,-1.0633644253555303
9,-0.878815114865572,-0.0614879664266472,-0.3185137764119955,-0.1734183337605864,-0.0843484248664302,0.2131360118211967,-1.1322209323606116,-0.9476394633234092
10,-0.9098327435789584,0.5762631387571397,-0.0214891313447313,0.2593757088085948,0.2295087083487094,-0.4223406095993431,-1.0980124030810818,-0.6004645772270449
11,-0.7202805681082637,0.2394732292780611,-0.3254213262972806,-0.0756906467288358,-0.3661065330936577,-0.2422889001968567,-0.824344168844843,-1.0318030720740428
12,-0.8615830989136907,0.2860505571847421,0.1753760403858973,0.5630295935143913,0.0012489751013352,-0.2316976231731811,-0.7422436985739714,-1.1790893873876518
13,-0.7409589872505213,0.1355699593323879,-0.2943373518134972,-0.16643778468689,-0.1770789414981759,-0.1328457042855415,-0.9167071978995736,-0.954653097385962
14,-0.9959928233383648,0.1534843162195729,-0.1630939039930782,0.1616480217768441,0.1581775417089052,-0.0339937853979019,-1.1253792265047058,-1.2211711917629686
15,-0.6823701330141249,0.5511830391150806,-0.0180353564020887,0.2628659833454429,-0.0272834915545865,0.0648581334897374,-0.9303906096113856,-0.6390395645710856
16,-1.00977843609987,0.243056100655498,-0.0629344306564426,0.2314535125138088,-0.0130172582266256,0.0401451537678277,-0.7764522278535011,-1.02478943801149
17,-0.634120488348857,0.6156747239089466,0.2099137898123232,0.3012590032507736,-0.1735123831661857,-0.0834197448417218,-0.4959422877613564,-1.1194734978559528
18,-0.8133334542484228,0.3003820426944902,-0.1009259550255114,0.1686285708505404,-0.3875058830855991,-0.3023061366643522,-0.2599034357326004,-0.930105378167027
19,-0.7823158255350365,0.210810258258565,-0.1458250292798652,-0.1350253138552559,-0.2305773164780292,-0.0410546367470191,0.0274482102154503,-1.1615553022312697
20,5.217872128910043,6.280194371636851,5.501097001940795,5.840324693228924,5.529414389686181,6.059520928890164,6.595485831885183,2.3575355886546023
21,5.321264224621331,6.101050802765001,5.501097001940795,5.770519202491959,5.7077423062856925,5.6358698479431375,6.424443185487534,5.876626479540474
22,5.321264224621331,5.957735947667522,5.259332755955812,5.456394494175617,5.957401389525008,5.600565591197552,6.732319949003302,5.631149287351126
23,5.114480033198755,5.993564661441892,5.501097001940795,5.700713711754992,5.814739056245399,5.812391131671065,6.424443185487534,5.140194902972429
24,5.2868001927175685,6.495166654283072,5.535634751367222,5.875227438597404,6.2427260560842255,5.953608158653407,6.800737007562363,5.210331243597957
25,5.459120352236382,6.423509226734332,5.708323498499352,6.189352146913747,6.028732556164812,5.882999645162236,5.877106717015056,5.280467584223485
26,5.355728256525094,6.530995368057443,5.846474496205055,5.665810966386513,6.082230931144666,5.882999645162236,5.535021424219757,5.5259447764128335
27,5.56251244794767,6.244365657862482,5.708323498499352,5.840324693228924,6.135729306124519,5.812391131671065,5.979732304853646,5.385672095161778
28,5.2523361608138055,6.602652795606183,5.950087744484333,6.049741165439816,5.921735806205106,5.600565591197552,5.740272599896937,5.420740265474542
29,5.390192288428857,6.459337940508702,5.881012245631482,6.084643910808299,5.957401389525008,5.918303901907822,5.877106717015056,5.8064901389149455
30,5.2523361608138055,6.781796364478033,6.019163243337186,6.39876861912464,5.7077423062856925,6.906823090784218,6.663902890444242,6.016899160791531
31,5.734832607466483,6.495166654283072,5.846474496205055,6.224254892282228,5.886070222885204,6.906823090784218,6.527068773326124,6.718262567046812
32,5.734832607466483,6.495166654283072,5.673785749072925,6.259157637650711,6.064398139484714,7.401082685222415,6.390234656208003,6.542921715482992
33,5.8726887350815336,6.710138936929293,6.4336162364543,6.573282345967051,6.028732556164812,7.471691198713586,6.869154066121422,6.893603418610632
34,5.596976479851432,6.351851799185592,5.950087744484333,6.36386587375616,5.886070222885204,7.259865658240074,6.732319949003302,6.507853545170227
35,5.56251244794767,6.495166654283072,6.088238742190039,6.433671364493122,5.422417639726474,7.436386941968001,6.903362595400951,7.033876099861687
36,5.596976479851432,5.957735947667522,5.570172500793649,6.119546656176782,5.404584848066523,7.259865658240074,4.953476426467749,6.788398907672339
37,6.286257117926685,6.208536944088111,5.811936746778629,6.189352146913747,5.386752056406572,7.824733766169442,5.432395836381168,7.244285121738272
38,5.217872128910043,5.599448809923821,5.259332755955812,5.805421947860441,5.279755306446866,7.083344374512146,5.158727602144929,7.630034995178676
39,5.148944065102517,6.351851799185592,5.604710250220072,5.735616457123475,5.743407889605595,7.401082685222415,5.158727602144929,5.84155830922771
40,5.321264224621331,6.423509226734332,5.846474496205055,6.154449401545264,6.207060472764323,7.612908225695929,4.98768495574728,6.157171842042587
41,5.907152766985297,7.211740929770473,6.571767234160004,6.747796072809464,6.1000637228046175,6.130129442381334,5.158727602144929,5.8064901389149455
42,5.8726887350815336,7.498370639965434,6.917144728424264,6.887407054283394,7.063034472441977,6.377259239600434,5.329770248542578,6.262376352980879
43,5.321264224621331,7.534199353739803,6.8826069789978375,7.41094823481063,7.241362389041488,6.271346469363678,4.98768495574728,6.262376352980879
44,5.528048416043907,8.286602343001574,7.331597721541375,8.00429490607483,7.27702797236139,6.377259239600434,5.021893485026809,6.087035501417058
