Time,Bitrate,Jitter,Datagrams,Delay,F1_X,F1_Y,F1_Z,C1_X,C1_Y,C1_Z,Distance
1731067774.96,8.32,0.887,0.0,1.06,7001.3,9000.8,0.0,5001.54,5002.02,0.0,4470.937434811629
1731067775.46,7.68,0.438,0.0,7.46,7001.4,9000.9,0.0,5001.67,5002.21,0.0,4470.843520970064
1731067775.96,8.32,1.009,0.0,0.819,7001.5,9001.0,0.0,5001.8,5002.4,0.0,4470.749607168802
1731067776.46,7.68,0.692,0.0,3.85,7001.6,9001.1,0.0,5001.93,5002.59,0.0,4470.655693407848
1731067776.96,8.32,0.486,0.0,0.816,7001.7,9001.2,0.0,5002.06,5002.78,0.0,4470.561779687202
1731067777.46,7.68,0.872,0.0,3.84,7001.8,9001.3,0.0,5002.19,5002.97,0.0,4470.467866006867
1731067777.96,8.33,0.429,0.0,0.867,7001.9,9001.4,0.0,5002.32,5003.16,0.0,4470.373952366848
1731067778.46,7.68,0.843,0.0,4.29,7002.0,9001.5,0.0,5002.45,5003.35,0.0,4470.280038767147
1731067778.96,8.32,0.521,0.0,0.892,7002.1,9001.6,0.0,5002.58,5003.54,0.0,4470.186125207764
1731067779.46,7.68,0.446,0.0,1.16,7002.2,9001.7,0.0,5002.71,5003.73,0.0,4470.092211688704
1731067779.96,7.68,0.366,0.0,0.775,7002.3,9001.8,0.0,5002.84,5003.92,0.0,4469.9982982099655
1731067780.46,8.32,0.439,0.0,1.33,7002.4,9001.9,0.0,5002.97,5004.11,0.0,4469.9043847715575
1731067780.96,8.32,0.878,0.0,1.18,7002.5,9002.0,0.0,5003.1,5004.3,0.0,4469.810471373478
1731067781.46,7.68,0.436,0.0,1.23,7002.6,9002.1,0.0,5003.23,5004.49,0.0,4469.7165580157325
1731067781.96,8.32,0.403,0.0,1.54,7002.7,9002.2,0.0,5003.36,5004.68,0.0,4469.62264469832
1731067782.46,7.68,0.461,0.0,1.17,7002.8,9002.3,0.0,5003.49,5004.87,0.0,4469.528731421245
1731067782.96,8.32,0.641,0.0,3.22,7002.9,9002.4,0.0,5003.62,5005.06,0.0,4469.434818184509
1731067783.46,7.69,0.739,0.0,2.63,7003.0,9002.5,0.0,5003.75,5005.25,0.0,4469.340904988117
1731067783.96,8.31,0.531,0.0,0.851,7003.1,9002.6,0.0,5003.88,5005.44,0.0,4469.24699183207
1731067784.46,7.68,0.605,0.0,0.855,7003.2,9002.7,0.0,5004.01,5005.63,0.0,4469.153078716369
1731067784.96,8.32,0.492,0.0,2.38,7003.3,9002.8,0.0,5004.14,5005.82,0.0,4469.059165641019
1731067785.46,7.68,0.595,0.0,0.797,7003.4,9002.9,0.0,5004.27,5006.01,0.0,4468.96525260602
