Time,Bitrate,Jitter,Datagrams,Delay,F1_X,F1_Y,F1_Z,S1_X,S1_Y,S1_Z,Distance
1731068776.81,40.3,0.509,0.0,1.05,7201.3,9200.8,0.0,10801.8435966,10801.8709417,0.0,3940.474889067736
1731068777.31,39.7,0.439,0.0,6.66,7201.4,9200.9,0.0,10802.210411,10802.0205408,0.0,3940.738839626102
1731068777.81,40.3,0.525,0.0,0.941,7201.5,9201.0,0.0,10802.672305,10802.6413737,0.0,3941.2811445324014
1731068778.31,39.7,0.473,0.0,1.03,7201.6,9201.1,0.0,10802.2197951,10802.8438338,0.0,3940.81796306075
1731068778.81,40.3,0.516,0.0,0.79,7201.7,9201.2,0.0,10802.4996914,10802.528198,0.0,3940.813420513113
1731068779.31,39.7,0.551,0.0,1.14,7201.8,9201.3,0.0,10802.5448904,10803.1428602,0.0,3940.9725087236307
1731068779.81,39.7,0.58,0.0,1.15,7201.9,9201.4,0.0,10802.9041885,10802.7537887,0.0,3941.0106726800923
1731068780.31,40.3,0.664,0.0,0.792,7202.0,9201.5,0.0,10803.2647086,10803.3958907,0.0,3941.4690086374376
1731068780.81,39.7,0.61,0.0,0.722,7202.1,9201.6,0.0,10802.9989021,10803.4696043,0.0,3941.12409501721
1731068781.31,40.3,0.544,0.0,0.987,7202.2,9201.7,0.0,10803.1618325,10803.6292133,0.0,3941.2058210077935
1731068781.81,39.7,0.723,0.016,0.81,7202.3,9201.8,0.0,10803.4514196,10803.6077442,0.0,3941.3296736337843
1731068782.31,39.7,0.688,0.0,1.01,7202.4,9201.9,0.0,10804.0257957,10803.8819376,0.0,3941.833900692456
1731068782.81,39.7,0.787,0.0,1.54,7202.5,9202.0,0.0,10803.6941096,10803.9901616,0.0,3941.4428186745176
1731068783.31,40.3,0.739,0.0,0.734,7202.6,9202.1,0.0,10803.7651122,10803.6790339,0.0,3941.249239410583
1731068783.81,39.7,0.638,0.0,1.02,7202.7,9202.2,0.0,10804.4987106,10804.3116729,0.0,3942.044617216079
1731068784.31,40.3,0.589,0.0,1.79,7202.8,9202.3,0.0,10804.0559439,10804.3838986,0.0,3941.5374147188377
1731068784.81,40.3,0.582,0.0,1.04,7202.9,9202.4,0.0,10804.6668467,10804.6999738,0.0,3942.092036473368
1731068785.31,39.7,0.594,0.0,0.874,7203.0,9202.5,0.0,10804.9524312,10804.6486945,0.0,3942.200116168082
1731068785.81,40.3,0.664,0.0,1.23,7203.1,9202.6,0.0,10804.7387421,10804.6231703,0.0,3941.8624870451445
1731068786.31,39.7,0.749,0.0,1.11,7203.2,9202.7,0.0,10804.6741592,10804.9775752,0.0,3941.8155141221587
1731068786.81,40.3,0.766,0.0,0.781,7203.3,9202.8,0.0,10805.0782283,10805.2945163,0.0,3942.1815128970743
1731068787.31,39.7,0.773,0.0,0.756,7203.4,9202.9,0.0,10805.4012681,10805.3463253,0.0,3942.365706128934
1731068787.81,40.3,0.804,0.0,0.885,7203.5,9203.0,0.0,10805.1878401,10805.0699482,0.0,3941.926358577713
1731068788.31,39.7,0.584,0.0,1.38,7203.6,9203.1,0.0,10805.6806177,10805.7934606,0.0,3942.53866246864
1731068788.81,39.7,0.67,0.0,1.12,7203.7,9203.2,0.0,10805.3378977,10805.3891248,0.0,3941.9291644797804
1731068789.31,40.3,0.673,0.0,0.887,7203.8,9203.3,0.0,10806.1102227,10805.7358882,0.0,3942.6437470763503
1731068789.81,40.3,0.63,0.0,0.77,7203.9,9203.4,0.0,10806.3209971,10806.0128599,0.0,3942.816888857992
1731068790.31,39.7,0.702,0.0,1.69,7204.0,9203.5,0.0,10805.9084038,10806.1655402,0.0,3942.3699703490056
1731068790.81,40.3,0.799,0.0,2.31,7204.1,9203.6,0.0,10806.0910786,10806.4797843,0.0,3942.5326039528964
1731068791.31,39.7,0.862,0.0,6.81,7204.2,9203.7,0.0,10806.5619329,10806.4113337,0.0,3942.8029515533053
1731068791.81,40.3,0.807,0.0,0.98,7204.3,9203.8,0.0,10806.6387771,10806.6750573,0.0,3942.8483504077117
1731068792.31,39.1,0.49,0.0,1.07,7204.4,9203.9,0.0,10806.7837198,10806.8981454,0.0,3942.93945158126
1731068792.81,41.0,0.358,0.0,1.11,7204.5,9204.0,0.0,10806.9347766,10807.2393976,0.0,3943.0841844517977
1731068793.31,39.7,0.265,0.0,0.85,7204.6,9204.1,0.0,10806.7342796,10806.8500946,0.0,3942.6107129679585
1731068793.81,40.3,0.388,0.0,0.847,7204.7,9204.2,0.0,10807.2428075,10807.3022603,0.0,3943.1271266406006
1731068794.31,39.7,0.309,0.0,1.04,7204.8,9204.3,0.0,10807.4267475,10807.5199736,0.0,3943.2516741329623
1731068794.81,39.7,0.399,0.0,1.02,7204.9,9204.4,0.0,10807.3304349,10807.6636486,0.0,3943.0900782528397
1731068795.31,40.3,0.496,0.0,0.809,7205.0,9204.5,0.0,10807.8373404,10807.4707726,0.0,3943.342769680361
1731068795.81,40.3,0.386,0.0,1.23,7205.1,9204.6,0.0,10807.6610317,10807.5519111,0.0,3943.082654018617
1731068796.31,39.7,0.319,0.0,1.26,7205.2,9204.7,0.0,10808.1232176,10808.055655,0.0,3943.5776990369554
1731068796.81,40.3,0.385,0.0,2.13,7205.3,9204.8,0.0,10807.7628051,10808.2789769,0.0,3943.2072087945394
1731068797.31,39.7,0.473,0.0,1.06,7205.4,9204.9,0.0,10808.5131976,10808.4360965,0.0,3943.8246319401364
1731068797.81,40.3,0.453,0.0,0.762,7205.5,9205.0,0.0,10808.4669073,10808.6930383,0.0,3943.7547966615284
1731068798.31,39.7,0.511,0.0,0.859,7205.6,9205.1,0.0,10808.7968009,10808.773945,0.0,3943.957062125278
1731068798.81,40.3,0.488,0.0,0.956,7205.7,9205.2,0.0,10808.3949051,10808.9802494,0.0,3943.5417669398435
1731068799.31,39.7,0.528,0.0,1.5,7205.8,9205.3,0.0,10808.5024958,10808.5957758,0.0,3943.351698484637
1731068799.81,40.3,0.486,0.0,1.96,7205.9,9205.4,0.0,10808.8881729,10808.6246207,0.0,3943.5837709469224
1731068800.31,39.7,0.498,0.0,1.19,7206.0,9205.5,0.0,10809.0862866,10809.2114991,0.0,3943.871367201338
1731068800.81,39.7,0.457,0.0,0.869,7206.1,9205.6,0.0,10808.9810557,10809.4790437,0.0,3943.7520064453806
1731068801.31,40.3,0.492,0.0,0.86,7206.2,9205.7,0.0,10809.3848251,10809.6983524,0.0,3944.0780416128728
1731068801.81,39.7,0.474,0.0,1.15,7206.3,9205.8,0.0,10809.8498564,10809.6449437,0.0,3944.349144154523
1731068802.31,40.3,0.585,0.0,1.01,7206.4,9205.9,0.0,10809.7623595,10810.0433592,0.0,3944.299204006572
1731068802.81,39.7,0.591,0.0,0.926,7206.5,9206.0,0.0,10809.6232145,10810.1257004,0.0,3944.0735492067843
1731068803.31,40.3,0.619,0.0,0.863,7206.6,9206.1,0.0,10809.7971277,10810.3553366,0.0,3944.1937992541775
1731068803.81,40.3,0.662,0.0,1.03,7206.7,9206.2,0.0,10810.4854889,10809.8099267,0.0,3944.4688675431307
1731068804.31,39.7,0.753,0.0,1.1,7206.8,9206.3,0.0,10810.333383,10810.2427625,0.0,3944.3738701816224
1731068804.81,39.7,0.553,0.0,0.96,7206.9,9206.4,0.0,10810.8366893,10810.7961437,0.0,3944.926697215308
1731068805.31,40.3,0.592,0.0,7.1,7207.0,9206.5,0.0,10810.8547549,10810.9339185,0.0,3944.867208569713
1731068805.81,40.3,0.511,0.0,0.862,7207.1,9206.6,0.0,10810.5372304,10810.4575645,0.0,3944.2513815218076
1731068806.31,39.7,0.568,0.0,4.99,7207.2,9206.7,0.0,10810.8447288,10811.0447074,0.0,3944.639054662723
1731068806.81,40.3,0.639,0.0,1.34,7207.3,9206.8,0.0,10810.9752262,10810.8545993,0.0,3944.5489340941263
1731068807.31,39.7,0.683,0.0,0.888,7207.4,9206.9,0.0,10811.0936038,10811.0990093,0.0,3944.6244499962395
1731068807.81,40.3,0.66,0.0,1.04,7207.5,9207.0,0.0,10811.4590964,10811.2443202,0.0,3944.885423864458
