Time,F1C1Bitrate,F1C1Jitter,F1C1Datagrams,F1C1Delay,F1C1Distance,F1F4Bitrate,F1F4Jitter,F1F4Datagrams,F1F4Delay,F1F4Distance,F1F2Bitrate,F1F2Jitter,F1F2Datagrams,F1F2Delay,F1F2Distance,F1S1Bitrate,F1S1Jitter,F1S1Datagrams,F1S1Delay,F1S1Distance
1731071782.23,8.32,0.595,0.0,6.41,3721.1763658821646,19.8,0.621,0.0,1.3,4119.408065487079,19.8,0.671,0.0,0.84,1030.1555270928766,40.3,0.705,0.0,1.2,4339.616996581341
1731071782.73,7.67,0.601,0.0,0.913,3721.0828785448994,19.8,0.566,0.0,0.809,4119.58292670508,19.8,0.72,0.0,1.21,1030.1992295182529,39.7,0.727,0.0,1.36,4339.280251254649
1731071783.23,7.69,0.997,0.0,1.12,3720.989391277541,19.8,0.537,0.0,1.17,4119.757790210488,20.5,1.388,0.0,5.38,1030.2429325164042,40.4,0.902,0.0,0.843,4339.492296774865
1731071783.73,8.31,0.772,0.0,1.04,3720.895904080091,20.5,0.435,0.0,1.05,4119.932656003009,19.8,0.935,0.0,0.843,1030.2866360872583,39.7,1.109,0.0,1.27,4339.926227972759
1731071784.23,8.32,0.476,0.0,0.996,3720.8024169525593,19.8,0.726,0.0,0.839,4120.107524082352,19.8,0.672,0.0,1.2,1030.3303402307424,39.7,0.611,0.0,1.39,4340.080684721918
1731071784.73,7.68,0.752,0.0,1.02,3720.7089298949454,19.8,0.483,0.0,1.31,4120.282394448224,20.5,0.735,0.0,1.34,1030.3740449467866,40.3,0.249,0.0,0.803,4339.972358742019
1731071785.23,7.68,0.449,0.0,1.07,3720.6154429072617,20.5,0.589,0.0,4.6,4120.457267100339,19.9,0.728,0.0,0.809,1030.4177502353116,40.3,0.432,0.0,0.983,4339.6700563017785
1731071785.73,8.32,0.82,0.0,0.87,3720.521955989509,19.8,0.521,0.0,0.86,4120.632142038403,19.8,0.883,0.0,1.17,1030.4614560962482,39.7,0.356,0.0,1.64,4339.7380739405935
1731071786.23,8.32,0.698,0.0,1.17,3720.428469141693,19.8,0.599,0.0,1.06,4120.807019262125,19.8,0.825,0.0,2.13,1030.505162529523,40.3,0.338,0.0,0.938,4340.117548644557
1731071786.73,7.68,0.509,0.0,4.84,3720.334982363821,19.8,0.634,0.0,0.968,4120.981898771215,20.5,0.836,0.0,0.731,1030.5488695350634,39.7,0.524,0.0,1.49,4339.953676687819
1731071787.23,7.68,0.758,0.0,0.718,3720.241495655893,20.5,0.715,0.0,0.781,4121.1567805653785,19.9,0.874,0.0,1.25,1030.5925771128,40.3,0.442,0.0,5.76,4339.839177563227
1731071787.73,8.32,0.464,0.0,1.26,3720.14800901792,19.8,0.711,0.0,1.18,4121.331664644329,19.8,0.837,0.0,1.23,1030.6362852626532,39.7,0.358,0.0,0.918,4340.513488458563
1731071788.23,7.68,0.89,0.0,1.41,3720.054522449906,19.8,0.675,0.0,1.2,4121.506551007775,19.9,0.913,0.0,6.49,1030.679993984554,40.3,0.414,0.0,1.2,4340.483397405678
1731071788.73,8.32,0.783,0.0,0.861,3719.961035951856,19.8,0.772,0.0,0.815,4121.681439655424,20.5,0.993,0.0,1.28,1030.723703278429,39.7,0.382,0.0,1.55,4339.878659384232
1731071789.23,7.68,0.459,0.0,1.36,3719.8675495237735,20.5,0.757,0.0,1.3,4121.856330586986,19.8,1.143,0.0,1.33,1030.7674131442056,40.3,0.419,0.0,0.799,4340.373192506969
1731071789.73,8.32,0.798,0.0,1.35,3719.774063165664,19.8,0.758,0.0,1.48,4122.031223802167,19.8,0.91,0.0,0.828,1030.8111235818144,39.7,0.46,0.0,1.02,4340.298007115328
1731071790.23,8.32,0.44,0.0,0.808,3719.6805768775353,19.8,0.786,0.0,6.3,4122.206119300683,19.8,0.693,0.0,1.2,1030.8548345911763,40.3,0.527,0.0,1.06,4340.663659060974
1731071790.73,7.68,0.956,0.0,1.29,3719.587090659392,19.8,0.863,0.0,1.02,4122.38101708224,20.5,0.893,0.0,1.46,1030.8985461722216,39.7,0.562,0.0,1.1,4340.4885521571
1731071791.23,7.69,0.921,0.0,1.25,3719.493604511239,20.5,0.791,0.0,1.59,4122.555917146547,19.8,0.844,0.0,0.94,1030.9422583248777,40.3,0.487,0.0,1.02,4340.555378198808
1731071791.73,8.32,0.692,0.0,6.68,3719.400118433079,19.9,0.592,0.0,0.879,4122.730819493313,19.8,0.739,0.0,2.83,1030.9859710490718,39.7,0.628,0.0,1.45,4341.021816358436
1731071792.23,7.68,0.631,0.0,1.04,3719.30663242492,19.8,0.357,0.0,1.28,4122.905724122247,19.8,0.988,0.0,2.13,1031.0296843447345,40.3,0.596,0.0,0.997,4340.4518813857785
1731071792.73,8.32,0.593,0.0,1.49,3719.213146486767,19.8,0.659,0.0,1.4,4123.080631033062,20.5,0.854,0.0,3.25,1031.0733982117863,39.7,0.584,0.0,0.951,4341.086325943126
1731071793.23,7.68,1.207,0.0,0.94,3719.119660618626,19.9,0.579,0.0,1.05,4123.255540225466,19.8,0.966,0.0,0.745,1031.1171126501586,39.1,0.481,0.032,1.49,4340.714576695387
1731071793.73,8.32,0.758,0.0,0.78,3719.0261748205,20.5,0.498,0.0,0.876,4123.430451699168,19.8,0.805,0.0,1.19,1031.160827659778,39.7,0.484,0.0,1.39,4340.893659453734
1731071794.23,8.31,0.57,0.0,1.25,3718.9326890923967,19.8,0.439,0.0,1.28,4123.605365453877,19.8,0.946,0.0,1.17,1031.2045432405723,40.3,0.506,0.0,0.878,4340.8330379172085
1731071794.73,7.68,0.379,0.0,1.01,3718.8392034343183,19.8,0.428,0.0,1.06,4123.780281489303,20.5,0.924,0.0,0.863,1031.2482593924717,39.7,0.519,0.0,1.32,4341.149922320078
1731071795.23,8.32,0.585,0.0,0.839,3718.7457178462737,20.5,0.51,0.0,2.18,4123.9551998051575,19.9,0.976,0.0,1.24,1031.2919761153971,40.3,0.566,0.0,1.72,4341.265455401747
1731071795.73,7.68,1.199,0.0,1.15,3718.6522323282666,19.8,0.479,0.0,1.1,4124.13012040115,19.8,1.009,0.0,1.13,1031.33569340928,39.7,0.738,0.0,0.705,4341.593017897024
1731071796.23,7.68,0.791,0.0,1.51,3718.5587468803024,19.9,0.516,0.0,1.16,4124.305043276989,19.8,0.96,0.0,0.872,1031.3794112740466,40.3,0.669,0.0,1.17,4341.562999441251
1731071796.73,8.33,0.639,0.0,1.93,3718.4652615023856,19.8,0.433,0.0,0.821,4124.479968432384,20.5,1.044,0.0,1.21,1031.4231297096248,39.0,0.773,0.016,0.942,4341.430536066025
1731071797.23,7.67,0.574,0.0,1.02,3718.371776194521,20.4,0.414,0.0,1.26,4124.6548958670455,19.8,1.046,0.0,1.53,1031.4668487159452,39.7,0.449,0.0,3.0,4341.634172770118
1731071797.73,8.32,0.642,0.0,0.841,3718.278290956716,19.9,0.414,0.0,1.08,4124.829825580687,19.8,1.208,0.0,0.819,1031.5105682929288,40.3,0.56,0.0,0.68,4341.971642085041
1731071798.23,7.69,0.663,0.0,1.7,3718.184805788975,19.8,0.424,0.0,0.83,4125.004757573014,19.8,1.184,0.0,5.0,1031.5542884405068,40.3,0.497,0.0,1.61,4341.574143621901
1731071798.73,8.32,0.827,0.0,1.76,3718.091320691304,19.8,0.698,0.0,3.29,4125.179691843739,19.8,0.703,0.0,1.26,1031.5980091586057,39.7,0.678,0.0,1.51,4341.511694148028
1731071799.23,7.68,0.736,0.0,0.91,3717.9978356637066,20.5,0.489,0.0,0.943,4125.354628392572,20.5,0.517,0.0,0.948,1031.6417304471536,40.3,0.759,0.0,1.02,4341.904235696127
1731071799.73,8.31,0.416,0.0,1.43,3717.904350706187,19.8,0.475,0.0,0.889,4125.529567219219,19.9,0.627,0.0,1.13,1031.6854523060808,39.7,0.804,0.0,1.27,4341.559204055277
1731071800.23,8.32,0.612,0.0,2.03,3717.810865818755,19.9,0.524,0.0,1.2,4125.704508323396,19.8,0.721,0.0,0.808,1031.7291747353088,40.3,0.752,0.0,1.82,4341.840972227664
1731071800.73,7.68,0.554,0.0,0.949,3717.717381001412,19.8,0.694,0.0,1.21,4125.879451704812,20.5,0.744,0.0,1.2,1031.772897734768,39.7,0.977,0.0,0.9,4341.9831523546645
