Time,Delay
1731070923.023,0.78
1731070923.546,0.825
1731070924.058,0.856
1731070924.571,0.901
1731070925.083,0.945
1731070925.583,0.902
1731070926.083,1.57
1731070926.585,0.76
1731070927.099,1.29
1731070927.6,0.769
1731070928.123,0.806
1731070928.634,0.774
1731070929.147,0.78
1731070929.659,0.905
1731070930.159,0.828
1731070930.683,0.803
1731070931.195,0.809
1731070931.706,0.908
1731070932.207,0.85
1731070932.731,0.719
1731070933.242,1.01
1731070933.743,0.843
1731070934.266,0.756
1731070934.778,0.756
1731070935.291,0.815
1731070935.803,0.931
1731070936.303,0.785
1731070936.826,0.845
1731070937.339,0.824
1731070937.851,0.738
1731070938.363,0.949
1731070938.863,0.88
1731070939.387,0.766
1731070939.899,0.881
1731070940.412,1.29
1731070940.911,0.724
1731070941.435,1.29
1731070941.936,0.812
1731070942.459,1.29
1731070942.959,0.802
1731070943.483,1.0
1731070943.983,0.819
1731070944.507,0.891
1731070945.007,0.878
1731070945.531,1.06
1731070946.031,0.767
1731070946.555,0.706
1731070947.067,0.901
1731070947.567,0.825
1731070948.091,0.816
1731070948.592,0.871
1731070949.093,1.07
1731070949.593,1.16
1731070950.094,1.02
1731070950.595,1.04
1731070951.095,0.851
1731070951.611,1.03
1731070952.112,0.984
1731070952.614,2.65
1731070953.113,0.983
1731070953.614,1.22
1731070954.114,0.847
1731070954.618,0.863
1731070955.131,0.681
1731070955.643,0.849
1731070956.155,1.17
1731070956.658,3.35
1731070957.156,1.38
1731070957.657,0.783
1731070958.17,0.863
1731070958.683,0.864
1731070959.195,0.757
1731070959.706,0.704
1731070960.218,0.856
1731070960.732,2.51
1731070961.232,0.984
1731070961.733,1.22
1731070962.233,0.792
1731070962.746,0.743
1731070963.258,0.834
1731070963.77,0.708
1731070964.282,0.862
1731070964.795,0.839
1731070965.307,0.928
1731070965.808,1.34
1731070966.309,1.16
1731070966.809,1.08
1731070967.31,0.856
1731070967.835,0.756
1731070968.347,1.41
1731070968.847,0.78
1731070969.37,0.777
1731070969.883,0.994
1731070970.383,0.863
1731070970.893,8.84
1731070971.385,0.85
1731070971.898,0.695
1731070972.41,0.898
1731070972.923,1.48
1731070973.423,0.924
1731070973.926,2.18
1731070974.424,0.941
1731070974.924,0.907
1731070975.425,1.01
1731070975.925,0.854
1731070976.427,0.856
1731070976.954,0.675
1731070977.466,0.827
1731070977.978,0.792
1731070978.494,0.819
1731070979.003,0.913
1731070979.502,1.01
1731070980.005,3.14
1731070980.502,0.787
1731070981.02,1.33
1731070981.52,0.81
1731070982.042,0.914
1731070982.543,0.985
1731070983.044,1.58
1731070983.545,0.904
1731070984.045,0.853
1731070984.57,0.845
1731070985.083,0.932
1731070985.583,0.738
1731070986.106,0.788
1731070986.619,0.861
1731070987.13,0.895
1731070987.642,0.787
1731070988.154,0.797
1731070988.666,0.793
1731070989.179,1.03
1731070989.68,1.1
1731070990.181,2.33
1731070990.681,1.08
1731070991.181,0.942
1731070991.682,0.862
1731070992.189,3.73
1731070992.688,0.877
1731070993.213,3.68
1731070993.712,1.25
1731070994.213,1.2
1731070994.714,0.862
1731070995.227,0.85
1731070995.739,0.738
1731070996.25,0.804
1731070996.763,0.899
1731070997.263,0.941
1731070997.764,1.62
1731070998.266,1.13
1731070998.767,1.17
1731070999.272,5.3
1731070999.771,3.99
1731071000.269,1.1
1731071000.768,1.19
1731071001.27,1.15
1731071001.771,0.906
1731071002.272,0.856
1731071002.779,1.09
1731071003.28,1.12
1731071003.781,0.945
1731071004.281,0.778
1731071004.794,0.709
1731071005.307,0.865
1731071005.818,0.771
1731071006.331,0.803
1731071006.842,1.01
1731071007.345,3.19
1731071007.845,1.55
1731071008.345,0.814
1731071008.859,0.755
1731071009.371,0.826
1731071009.883,0.862
1731071010.394,0.799
1731071010.907,1.9
1731071011.407,0.685
1731071011.931,0.753
1731071012.443,1.07
1731071012.944,0.839
1731071013.467,0.83
1731071013.979,0.822
1731071014.491,0.87
1731071015.003,0.868
1731071015.503,0.923
1731071016.004,2.1
1731071016.504,0.695
1731071017.019,0.807
1731071017.531,0.82
1731071018.046,0.77
1731071018.554,0.743
1731071019.066,0.756
1731071019.578,0.76
1731071020.09,0.719
1731071020.602,0.77
1731071021.114,0.79
1731071021.627,0.873
1731071022.139,1.81
1731071022.641,1.08
1731071023.142,1.1
1731071023.641,0.998
1731071024.141,0.764
1731071024.666,0.671
1731071025.178,0.826
1731071025.69,0.74
1731071026.202,0.941
1731071026.703,0.779
1731071027.226,0.703
1731071027.739,0.73
1731071028.25,0.703
1731071028.763,1.69
1731071029.266,2.39
1731071029.773,8.82
1731071030.266,1.42
1731071030.767,0.918
1731071031.269,1.67
1731071031.77,1.32
1731071032.272,2.01
1731071032.772,1.96
1731071033.272,1.08
1731071033.772,0.903
1731071034.277,4.75
1731071034.775,0.841
1731071035.29,0.876
1731071035.791,0.812
1731071036.314,0.784
1731071036.826,0.903
1731071037.327,0.848
1731071037.851,1.8
1731071038.352,1.01
1731071038.852,1.5
1731071039.353,0.735
1731071039.867,0.781
1731071040.379,0.876
1731071040.891,0.817
1731071041.403,0.982
1731071041.903,0.821
1731071042.426,0.808
1731071042.939,0.888
1731071043.439,0.819
1731071043.962,1.24
1731071044.464,0.933
1731071044.965,1.51
1731071045.465,0.923
1731071045.978,0.865
1731071046.49,0.829
1731071047.002,0.86
1731071047.502,0.759
1731071048.027,0.791
1731071048.539,1.04
1731071049.04,0.82
1731071049.564,0.824
1731071050.063,0.827
1731071050.586,0.824
1731071051.098,0.77
1731071051.611,0.831
1731071052.123,0.953
1731071052.636,1.04
1731071053.137,1.16
1731071053.638,0.805
1731071054.172,2.47
1731071054.672,1.26
1731071055.175,1.26
1731071055.679,5.54
1731071056.175,0.794
1731071056.701,3.76
1731071057.2,1.07
1731071057.704,1.3
1731071058.202,0.926
1731071058.703,0.85
1731071059.226,0.746
1731071059.739,0.855
1731071060.25,0.719
1731071060.763,1.01
1731071061.263,0.796
1731071061.786,0.736
1731071062.298,0.772
1731071062.812,1.74
1731071063.312,1.19
1731071063.814,1.93
1731071064.313,0.872
1731071064.827,0.88
1731071065.327,0.849
1731071065.851,0.849
1731071066.362,0.84
1731071066.863,0.819
1731071067.387,1.59
1731071067.888,1.52
1731071068.392,4.15
1731071068.894,5.05
1731071069.391,2.75
1731071069.892,2.93
1731071070.392,2.42
1731071070.893,1.31
1731071071.393,1.16
1731071071.893,1.08
1731071072.394,0.89
1731071072.923,1.01
1731071073.423,1.12
1731071073.927,3.41
1731071074.424,0.818
1731071074.939,0.841
1731071075.451,0.717
1731071075.963,1.04
1731071076.465,3.01
1731071076.964,1.31
1731071077.465,1.05
1731071077.966,0.929
1731071078.466,0.921
1731071078.967,1.06
1731071079.469,1.32
1731071079.969,1.1
1731071080.469,0.978
1731071080.972,2.8
1731071081.471,0.745
1731071081.978,0.779
1731071082.491,1.11
1731071082.992,0.709
1731071083.493,1.16
1731071083.994,0.833
1731071084.507,1.03
1731071085.009,1.1
1731071085.51,1.4
1731071086.011,0.883
1731071086.511,0.931
1731071087.014,3.41
1731071087.512,0.864
1731071088.012,0.984
1731071088.514,1.06
1731071089.014,0.894
1731071089.53,0.848
1731071090.043,0.799
1731071090.554,0.813
1731071091.066,0.769
1731071091.58,1.96
1731071092.08,0.971
1731071092.582,2.47
1731071093.082,1.14
1731071093.581,1.11
1731071094.083,1.31
1731071094.589,7.44
1731071095.084,1.04
1731071095.585,1.0
1731071096.086,1.02
1731071096.585,1.06
1731071097.086,0.87
1731071097.587,0.727
1731071098.107,0.861
1731071098.619,0.832
1731071099.132,0.963
1731071099.632,0.929
1731071100.134,2.17
1731071100.635,2.68
1731071101.133,0.918
1731071101.66,2.17
1731071102.16,1.0
1731071102.661,1.57
1731071103.162,2.18
1731071103.661,0.767
1731071104.187,0.887
1731071104.699,0.812
1731071105.211,0.788
1731071105.723,0.964
1731071106.223,0.828
1731071106.747,0.749
1731071107.258,0.771
1731071107.77,0.96
1731071108.271,0.769
1731071108.794,0.641
1731071109.307,1.33
1731071109.808,0.773
1731071110.331,1.72
1731071110.833,2.03
1731071111.334,2.77
1731071111.834,1.7
1731071112.335,1.1
1731071112.838,2.73
1731071113.338,1.36
1731071113.842,5.05
1731071114.34,2.05
1731071114.84,1.13
1731071115.342,2.12
1731071115.842,1.67
1731071116.343,1.53
1731071116.844,2.0
1731071117.344,0.879
1731071117.851,1.27
1731071118.354,3.1
1731071118.862,9.97
1731071119.353,0.903
1731071119.866,0.801
1731071120.367,0.713
1731071120.89,0.726
1731071121.402,1.07
1731071121.904,0.838
1731071122.426,0.733
1731071122.939,1.16
1731071123.44,0.824
1731071123.963,0.759
1731071124.474,0.864
1731071124.975,0.784
1731071125.499,0.835
1731071126.011,0.771
1731071126.522,1.18
1731071127.023,0.846
1731071127.547,0.8
1731071128.059,0.854
1731071128.57,0.897
1731071129.071,0.852
1731071129.595,0.856
1731071130.107,0.894
1731071130.607,0.657
1731071131.132,0.734
1731071131.631,0.734
1731071132.154,0.865
1731071132.668,1.0
1731071133.169,1.28
1731071133.67,1.63
1731071134.17,0.765
1731071134.683,1.19
1731071135.185,1.72
1731071135.685,1.28
1731071136.186,0.967
1731071136.689,2.85
1731071137.192,5.02
1731071137.692,3.84
1731071138.191,0.877
1731071138.715,1.26
1731071139.216,1.62
1731071139.717,1.8
1731071140.217,0.814
1731071140.731,0.97
1731071141.232,0.777
1731071141.755,0.787
1731071142.267,0.851
1731071142.779,0.908
1731071143.279,0.849
1731071143.803,0.926
1731071144.303,0.755
1731071144.805,1.56
1731071145.306,0.865
1731071145.807,0.873
1731071146.306,0.736
1731071146.814,3.76
1731071147.313,1.31
