Time,F1S1Bitrate,F1S1Jitter,F1S1Datagrams,F1S1Delay,F1S1Distance,F1F2Bitrate,F1F2Jitter,F1F2Datagrams,F1F2Delay,F1F2Distance,F1C1Bitrate,F1C1Jitter,F1C1Datagrams,F1C1Delay,F1C1Distance,F1F4Bitrate,F1F4Jitter,F1F4Datagrams,F1F4Delay,F1F4Distance
1731070780.55,40.3,0.806,0.0,1.06,4205.695657721604,19.8,0.57,0.0,0.734,944.0023358021962,8.32,1.0,0.0,1.12,3908.284220217357,19.8,0.553,0.0,1.53,3774.6844649586255
1731070781.05,39.7,0.939,0.0,0.941,4205.7905151033565,19.8,0.612,0.0,0.807,944.0447301372966,7.68,0.499,0.0,0.782,3908.190602951703,19.8,0.662,0.0,0.983,3774.854101816386
1731070781.55,40.3,0.907,0.0,2.1,4205.975759910593,20.5,0.892,0.0,0.835,944.0871252167354,8.32,0.912,0.0,0.804,3908.096985746388,20.5,0.479,0.0,7.93,3775.023741647197
1731070782.05,39.7,0.94,0.0,0.929,4206.475451416939,19.8,0.64,0.0,1.2,944.1295210404126,7.68,0.455,0.0,0.889,3908.0033686014144,19.8,0.51,0.0,0.868,3775.193384450657
1731070782.55,39.7,0.565,0.0,0.939,4206.471230313819,19.8,0.645,0.0,0.775,944.1719176082275,8.32,1.054,0.0,0.668,3907.909751516788,19.9,0.451,0.0,0.714,3775.363030226366
1731070783.05,40.3,0.443,0.0,0.871,4206.272778699327,19.8,0.892,0.0,1.44,944.2143149200832,7.68,1.004,0.0,1.79,3907.816134492512,19.8,0.451,0.0,0.717,3775.532678973921
1731070783.55,40.3,0.328,0.0,1.37,4206.163619085303,19.8,0.84,0.0,0.735,944.2567129758736,7.69,0.613,0.0,1.09,3907.722517528592,19.8,0.616,0.0,1.02,3775.7023306929264
1731070784.05,39.7,0.39,0.0,0.726,4206.321233981545,20.5,0.812,0.0,0.696,944.2991117755008,8.31,0.795,0.0,8.1,3907.628900625032,20.5,0.724,0.0,0.607,3775.871985382979
1731070784.55,40.3,0.434,0.0,0.805,4206.272744674682,19.8,0.749,0.0,0.897,944.3415113188654,8.32,0.539,0.0,1.02,3907.535283781837,19.8,0.609,0.0,1.29,3776.0416430436794
1731070785.05,39.7,0.443,0.0,0.831,4206.414047985847,19.8,0.652,0.0,0.892,944.3839116058668,7.68,0.998,0.0,0.852,3907.4416669990105,19.8,0.532,0.0,0.797,3776.211303674625
1731070785.55,40.3,0.451,0.0,0.851,4206.579691462871,20.5,0.622,0.0,0.826,944.426312636408,8.32,0.614,0.0,0.751,3907.348050276554,20.5,0.583,0.0,1.02,3776.380967275414
1731070786.05,39.7,0.545,0.0,0.765,4206.851742853412,19.8,0.577,0.0,1.29,944.4687144103827,7.68,0.546,0.0,0.912,3907.2544336144783,19.9,0.683,0.0,0.821,3776.550633845652
1731070786.55,40.3,0.398,0.0,0.944,4206.840936840568,19.9,0.589,0.0,1.04,944.511116927694,8.32,0.852,0.0,1.07,3907.160817012783,19.8,0.942,0.0,0.84,3776.720303384936
1731070787.05,39.7,0.448,0.0,0.878,4207.247687465814,19.8,0.745,0.0,1.88,944.5535201882416,7.68,0.538,0.0,1.66,3907.0672004714743,19.8,0.761,0.0,0.854,3776.8899758928646
1731070787.55,40.3,0.517,0.0,0.873,4206.583221232873,20.5,0.773,0.0,1.32,944.5959241919254,8.32,1.198,0.0,1.1,3906.973583990555,19.8,0.82,0.0,1.36,3777.059651369039
1731070788.05,39.7,0.524,0.0,1.13,4207.203431110697,19.8,0.775,0.0,1.08,944.6383289386486,7.69,1.072,0.0,1.11,3906.8799675700297,20.5,0.76,0.0,0.89,3777.2293298130567
1731070788.55,40.3,0.667,0.0,2.18,4206.933177128113,19.8,0.691,0.0,3.43,944.6807344283048,8.31,0.732,0.0,3.81,3906.786351209904,19.8,0.84,0.0,1.77,3777.399011224522
1731070789.05,39.7,0.665,0.0,1.52,4206.945014298564,19.8,0.864,0.0,0.86,944.723140660797,7.68,0.541,0.0,0.899,3906.6927349101834,19.8,0.855,0.0,1.14,3777.568695603033
1731070789.55,40.3,0.599,0.0,0.881,4207.30739169918,20.5,0.798,0.0,0.787,944.7655476360252,7.69,0.52,0.0,0.992,3906.599118670869,20.5,0.884,0.0,1.16,3777.73838294819
1731070790.05,39.7,0.638,0.0,0.88,4207.00396399261,19.8,0.812,0.0,2.58,944.8079553538896,8.31,1.174,0.0,0.847,3906.5055024919657,19.8,0.731,0.0,1.09,3777.9080732595926
1731070790.55,39.7,0.822,0.0,0.879,4207.412835499477,19.8,0.882,0.0,1.15,944.8503638142932,8.32,0.712,0.0,0.901,3906.411886373478,19.9,0.597,0.0,0.813,3778.077766536839
1731070791.05,40.3,0.598,0.0,1.2,4207.492751508046,19.9,1.138,0.0,1.38,944.8927730171298,7.69,0.591,0.0,0.857,3906.318270315412,19.8,0.661,0.0,0.808,3778.247462779535
1731070791.55,40.3,0.454,0.0,0.775,4207.647673174269,20.5,1.067,0.0,0.788,944.9351829623024,8.32,0.393,0.0,0.767,3906.224654317773,19.8,0.674,0.0,0.802,3778.417161987279
1731070792.05,39.7,0.726,0.0,0.983,4207.965768885199,19.8,0.97,0.0,0.934,944.9775936497113,7.68,0.571,0.0,0.875,3906.131038380561,20.5,0.606,0.0,0.827,3778.586864159669
1731070792.55,40.3,0.678,0.0,0.806,4207.811854474411,19.8,1.224,0.0,1.08,945.0200050792564,7.67,0.907,0.0,0.819,3906.037422503785,19.8,0.781,0.0,0.974,3778.756569296309
1731070793.05,39.7,0.65,0.0,0.786,4207.860832633071,19.8,1.149,0.0,0.768,945.0624172508408,8.32,0.856,0.0,1.49,3905.9438066874422,19.8,0.74,0.0,0.919,3778.9262773967935
1731070793.55,40.3,0.602,0.0,0.793,4207.518814719414,19.8,0.451,0.0,1.25,945.1048301643586,7.69,0.866,0.0,1.12,3905.850190931546,19.9,0.797,0.0,3.04,3779.095988460732
1731070794.05,39.7,0.889,0.0,0.724,4207.480606449666,20.5,0.57,0.0,0.92,945.147243819713,8.31,0.507,0.0,1.75,3905.756575236097,20.5,0.806,0.0,0.883,3779.26570248772
1731070794.55,40.4,0.804,0.0,1.52,4207.893393849827,19.8,0.553,0.0,1.66,945.189658216804,8.32,0.593,0.0,1.32,3905.6629596010976,19.8,0.797,0.0,1.02,3779.43541947736
1731070795.05,39.7,1.051,0.0,0.846,4208.028125470634,19.8,0.521,0.0,1.15,945.232073355532,7.68,0.618,0.0,1.01,3905.5693440265536,19.8,0.818,0.0,0.857,3779.605139429251
1731070795.55,39.7,0.673,0.0,1.54,4207.782527135738,20.5,0.592,0.0,1.08,945.2744892357998,7.69,0.69,0.0,1.57,3905.475728512468,20.5,0.873,0.0,0.993,3779.774862342993
1731070796.05,40.3,0.667,0.0,0.934,4208.091958341296,19.8,0.627,0.0,1.96,945.316905857502,8.32,0.93,0.0,6.28,3905.382113058849,19.8,0.825,0.0,1.02,3779.944588218192
1731070796.55,40.3,0.749,0.0,2.34,4207.94130808019,19.8,0.747,0.0,6.68,945.3593232205412,7.68,0.486,0.0,1.31,3905.2884976656974,19.8,0.916,0.0,0.996,3780.114317054446
1731070797.05,39.7,0.713,0.0,1.1,4208.468867842094,19.8,0.662,0.0,1.0,945.4017413248184,8.31,0.699,0.0,0.881,3905.19488233302,19.8,1.027,0.0,1.16,3780.284048851356
1731070797.55,40.3,0.706,0.0,0.878,4208.45483258355,19.8,0.477,0.0,1.19,945.4441601702332,7.69,0.906,0.0,0.835,3905.1012670608175,19.9,1.051,0.0,0.834,3780.4537836085246
1731070798.05,39.7,0.787,0.0,0.808,4208.137759278544,20.5,0.517,0.0,0.899,945.4865797566893,7.67,0.819,0.0,0.812,3905.007651849097,20.5,1.14,0.0,0.96,3780.623521325549
1731070798.55,39.7,1.009,0.0,0.834,4208.254985572984,19.8,0.436,0.0,0.797,945.5290000840804,7.69,0.982,0.0,1.36,3904.914036697863,19.8,0.749,0.0,0.83,3780.793262002036
1731070799.05,40.3,0.972,0.0,0.808,4208.455854322669,19.8,0.509,0.0,0.877,945.5714211523104,8.32,0.469,0.0,0.747,3904.820421607119,19.8,0.424,0.0,1.64,3780.963005637585
1731070799.55,39.7,0.861,0.0,0.856,4208.540240771527,20.5,0.542,0.0,0.703,945.6138429612791,8.31,0.626,0.0,0.776,3904.726806576871,19.8,0.468,0.0,2.48,3781.132752231797
1731070800.05,40.3,0.618,0.0,0.905,4208.713365582679,19.8,0.537,0.0,0.811,945.6562655108872,7.68,0.657,0.0,0.804,3904.63319160712,20.5,0.685,0.0,3.69,3781.3025017842738
