timestamp,anomaly_score,is_anomaly
0,5.403227021551852,0
1,5.403227021551852,0
2,5.403227021551852,0
3,5.403227021551852,0
4,5.403227021551852,0
5,4.463246427158236,0
6,3.451062810216078,0
7,3.1188312437845447,0
8,3.1188312437845447,0
9,3.1188312437845447,0
10,3.1188312437845447,0
11,3.1188312437845447,0
12,3.053995468593397,0
13,2.977483314887571,0
14,3.0691036523969784,0
15,3.0691036523969784,0
16,3.0691036523969784,0
17,3.0691036523969784,0
18,3.0691036523969784,0
19,2.8729487278847783,0
20,3.042698141667101,0
21,3.103332576959666,0
22,3.103332576959666,0
23,3.103332576959666,0
24,3.103332576959666,0
25,3.103332576959666,0
26,3.0758543733483337,0
27,3.0758543733483337,0
28,3.1071640433766476,0
29,3.1071640433766476,0
30,3.1071640433766476,0
31,3.1071640433766476,0
32,3.1071640433766476,0
33,3.034341154810421,0
34,3.380785769744151,0
35,5.084111818544009,0
36,5.839914721204246,0
37,5.839914721204246,0
38,5.839914721204246,0
39,5.839914721204246,0
40,5.839914721204246,0
41,4.696524549512379,0
42,3.0257690985308994,0
43,0.8608708600992668,0
44,0.8608708600992668,0
45,0.8608708600992668,0
46,0.8608708600992668,0
47,0.8912955898473718,0
48,0.8912955898473718,0
49,0.8912955898473718,0
50,0.8912955898473718,0
51,0.8912955898473718,0
52,0.8725722201690367,0
53,0.839130480157715,0
54,0.839130480157715,0
55,0.839130480157715,0
56,0.8145411754228106,0
57,0.8145411754228106,0
58,0.7385925745978776,0
