timestamp,variable1,variable2,variable3,variable4,variable5,variable6,variable7
0,-0.6410132947296096,0.3612908561109192,-0.6795081416035806,0.111812283393032,-0.3199582650371451,-1.1185375206487995,-1.126487131918506
1,-0.968421597815355,0.5690973960022656,-0.9412787318671982,0.3650379249643378,-1.1072431904637028,-0.8551318451964198,-1.2422120939506271
2,-0.9718680010057312,1.4898953400035757,-0.6655470434561876,1.4920703578732484,0.2060751604720797,-1.1527460499283295,-1.1720757533250992
3,0.1895698741510705,0.6085089811540727,-0.6969595142878218,0.4363690916041424,-1.1001823391145855,0.0206065043595445,-0.1235374609734539
4,-1.137295354143792,1.6762046516303004,-0.6411151216982501,1.470671007881307,0.1672404780519355,-1.1219583735767529,-1.0318030720740428
5,0.2274803092452095,1.0026248326721432,-0.7562941814142418,0.9963187497266076,-0.9589653121322436,-1.1253792265047058,-1.2867486702478377
6,-0.9201719531500872,1.1351910736373123,-1.039006418898949,1.0034518663905878,-0.8495221162209283,-0.8585526981243728,-1.0037485358238314
7,-0.8133334542484228,2.195721001358666,-0.508484689298017,2.069852807655665,0.3931877212236833,-1.2382673731271543,-1.207143923637863
8,0.3274260017661212,1.758610693311351,-1.0459869679726452,1.4742375662132978,-1.177851703954874,0.2771704739560184,-0.081455656598137
9,-1.1855449988090596,3.0197814181691776,0.810839085630616,2.711833307413905,1.6500192613665292,-1.2109005497035306,-1.059857608324254
10,1.4164894099250214,2.181389515848918,-0.8051580249301171,1.9164907993800848,-0.4435231636466945,0.1848074449012876,0.8864258440341506
11,-0.4824787479723013,2.1742237730940435,-1.1402243804675476,1.99852164101586,-0.3023061366643522,-0.5643593463204162,-0.4777259811323709
12,-0.1998736863614475,2.554008139102366,-0.2467140990343994,2.069852807655665,0.7144564576085115,-0.6943517575826296,-0.6495600156649147
13,0.5100853708560634,2.4823507115536265,-0.8889246138144746,1.8487261910722708,-0.7153659405877033,0.2224368271087706,0.4761282513748112
14,-0.5651924245413318,1.6511245519882412,-0.787706652245876,1.7238966494526131,0.0719189848388546,-1.0159119328102102,-0.8669826716040518
15,-0.1343920257442983,1.565135638929753,-1.0459869679726452,1.7845281410964469,-1.0225129742742975,-0.4172626704184377,-0.3655078361315259
16,-0.9718680010057312,0.1606500589744471,-1.178966427826563,0.942820374746754,-0.2316976231731811,-1.08432899136927,-0.8634758545727753
17,-0.1343920257442983,-0.0758194519363952,-1.176872263104454,-0.2270107581460391,-0.9801478661795948,-0.4104209645625317,-0.4707123470698181
18,-0.8960471308174532,0.4544455119242813,-1.224689024259275,-0.1235805665183224,-0.3270191163862622,-0.8893403744759497,-0.7547645266032068
19,-0.192980879980695,-0.2334657925436234,-0.5643290818875889,-0.3233078331097751,0.6685609238392504,-0.8585526981243728,-0.7021622711340607
20,0.5548886123309549,0.0030037183672187,5.212075276596241,-0.4873695163813254,5.106305996759354,0.9305533831950388,0.5918532134069326
21,5.217872128910043,8.573232053196536,5.002658804385346,3.8941473944686633,5.494652820960796,-0.3248996413637071,3.111501250379029
22,5.769296639370245,8.895690477165866,5.002658804385346,8.275664305318653,5.812391131671065,6.048149363412705,5.631149287351126
23,5.976080830792822,8.179116201678465,5.561102730281064,8.311329888638555,6.165433699126921,6.082357892692235,6.192240012355351
24,6.113936958407872,9.468949897555786,5.107367040490794,7.776346138840022,6.836214577293045,5.877106717015056,6.227308182668114
25,6.493041309349262,5.348647813503231,5.281880767333205,8.988975971716698,6.3419549828548485,7.040196712519071,6.788398907672339
26,6.148400990311635,5.3844765272776005,5.002658804385346,8.418326638598263,6.4478677530916055,6.321817597648944,6.472785374857463
27,6.07947292650411,5.3844765272776005,5.246978021964722,7.27702797236139,5.882999645162236,6.561277302605653,6.227308182668114
28,6.045008894600347,5.31281909972886,5.35168625807017,5.565079973006084,6.48317200983719,6.082357892692235,6.192240012355351
29,6.803217596483125,5.456133954826341,5.246978021964722,5.172758556487159,6.306650726109263,6.492860244046593,6.507853545170227
30,6.35518518173421,5.31281909972886,5.072464295122311,5.458083223046377,6.694997550310704,6.663902890444242,6.683194396734047
31,6.7342895326756,5.850249806344411,4.967756059016865,5.35108647308667,6.765606063801875,5.6034384827788175,6.96373975923616
32,6.59643340506055,5.456133954826341,4.967756059016865,5.529414389686181,6.518476266582776,5.979732304853646,6.648126226421284
33,6.630897436964312,5.706934951246931,5.526199984912582,5.35108647308667,6.624389036819533,5.740272599896937,5.66621745766389
34,5.665904543658957,5.993564661441892,5.4912972395441,5.422417639726474,5.777086874925479,6.082357892692235,5.771421968602183
35,5.665904543658957,5.31281909972886,5.246978021964722,6.670713055923052,5.777086874925479,6.184983480530825,5.631149287351126
36,6.251793086022923,5.491962668600711,5.142269785859276,5.386752056406572,6.236042212618091,6.321817597648944,6.122103671729823
37,6.045008894600347,5.42030524105197,5.002658804385346,5.672076722965789,6.024216672144579,6.458651714767064,6.087035501417058
38,6.286257117926685,5.599448809923821,5.107367040490794,5.172758556487159,6.165433699126921,6.424443185487534,6.367580863919171
39,6.148400990311635,6.244365657862482,5.840324693228924,5.386752056406572,6.48317200983719,6.527068773326124,6.192240012355351
40,6.113936958407872,5.456133954826341,6.259157637650711,5.957401389525008,6.73030180705629,6.561277302605653,6.192240012355351
41,6.630897436964312,5.778592378795671,6.294060383019193,5.2440897231269625,6.659693293565118,4.748225250790571,6.613058056108519
42,6.7342895326756,5.3844765272776005,6.712893327440983,5.35108647308667,6.589084780073947,4.85085083862916,6.367580863919171
43,6.803217596483125,5.31281909972886,6.643087836704017,5.137092973167256,6.694997550310704,4.748225250790571,7.033876099861687
44,5.04555196939123,6.459337940508702,6.99211529038884,5.422417639726474,6.906823090784218,4.7824337800701,6.928671588923395
45,4.976623905583704,5.671106237472561,7.341142744073664,6.064398139484714,5.071001740013768,4.816642309349631,4.999922221721373
46,5.04555196939123,5.24116167218012,7.236434507968218,5.529414389686181,5.106305996759354,4.748225250790571,5.070058562346902
47,4.907695841776179,5.886078520118781,8.039197651443311,4.994430639887647,5.106305996759354,4.85085083862916,4.999922221721373
48,5.18340809700628,5.3844765272776005,7.690170197758488,5.779073472925496,5.212218766996111,4.748225250790571,5.034990392034137
49,5.080016001294992,6.566824081831812,7.980910066677945,5.172758556487159,5.035697483268184,4.91926789718822,4.929785881095845
