timestamp,variable1,variable2,variable3,variable4,variable5,variable6,variable7
0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0
2,1,1,1,1,1,1,0
3,0,1,1,1,1,1,1
4,0,1,1,1,1,1,1
5,0,1,1,0,1,1,1
6,0,0,1,0,1,1,1
7,0,0,0,0,0,0,1
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,1,0,0,0,0
14,0,0,1,0,0,0,0
15,0,1,1,0,0,0,0
16,0,1,1,1,0,1,1
17,0,1,1,1,0,1,1
18,0,1,1,1,0,1,0
19,0,1,0,1,0,0,0
20,0,1,0,1,0,1,0
21,0,1,0,1,0,1,0
22,0,1,0,1,0,1,0
23,0,1,0,1,0,1,0
24,0,1,0,1,1,1,1
25,0,1,0,1,1,1,1
26,0,1,0,1,1,1,1
27,0,0,0,1,1,1,1
28,0,0,0,1,1,1,1
29,1,0,0,0,1,1,1
30,1,0,0,0,1,1,1
31,1,0,0,0,1,1,1
32,1,0,0,0,1,1,1
33,0,0,0,0,1,1,1
34,0,0,0,0,0,1,1
35,0,0,0,0,0,1,1
36,0,0,0,0,0,1,1
37,0,0,0,0,0,1,0
38,0,0,0,0,1,1,1
39,0,0,0,0,1,1,1
40,1,0,1,0,1,0,1
41,1,0,1,0,1,0,1
42,0,0,1,0,1,0,1
43,0,0,1,0,1,0,1
44,0,0,1,0,0,0,1
45,0,0,1,0,0,0,0
46,0,0,1,0,0,0,0
47,0,0,1,0,0,0,0
48,0,0,1,0,0,0,0
49,0,0,1,0,0,0,0
50,0,0,1,0,0,0,0
51,0,0,1,0,0,0,0
52,0,0,1,0,0,0,0
53,0,0,0,0,0,0,0
54,0,1,0,0,0,0,0
55,0,1,0,0,0,0,0
56,0,1,1,1,1,0,0
57,0,1,1,1,1,0,1
58,1,1,1,1,1,0,1
59,1,1,1,1,1,1,1
60,1,1,1,1,1,0,1
61,1,1,1,1,1,0,1
62,1,1,1,1,1,0,1
63,1,1,1,1,1,0,1
64,0,1,0,1,0,0,0
65,0,0,0,0,0,0,0
