['time', 'x', 'y', 'z']
['1731067770.88', '9000.0', '7000.0', '0.0']
['1731067771.38', '9000.1', '6999.9', '0.0']
['1731067771.88', '9000.2', '6999.8', '0.0']
['1731067772.38', '9000.3', '6999.7', '0.0']
['1731067772.88', '9000.4', '6999.6', '0.0']
['1731067773.38', '9000.5', '6999.5', '0.0']
['1731067773.88', '9000.6', '6999.4', '0.0']
['1731067774.38', '9000.7', '6999.3', '0.0']
['1731067774.88', '9000.8', '6999.2', '0.0']
['1731067775.38', '9000.9', '6999.1', '0.0']
['1731067775.88', '9001.0', '6999.0', '0.0']
['1731067776.38', '9001.1', '6998.9', '0.0']
['1731067776.88', '9001.2', '6998.8', '0.0']
['1731067777.38', '9001.3', '6998.7', '0.0']
['1731067777.88', '9001.4', '6998.6', '0.0']
['1731067778.38', '9001.5', '6998.5', '0.0']
['1731067778.88', '9001.6', '6998.4', '0.0']
['1731067779.38', '9001.7', '6998.3', '0.0']
['1731067779.88', '9001.8', '6998.2', '0.0']
['1731067780.39', '9001.9', '6998.1', '0.0']
['1731067780.89', '9002.0', '6998.0', '0.0']
['1731067781.39', '9002.1', '6997.9', '0.0']
['1731067781.89', '9002.2', '6997.8', '0.0']
['1731067782.39', '9002.3', '6997.7', '0.0']
['1731067782.89', '9002.4', '6997.6', '0.0']
['1731067783.39', '9002.5', '6997.5', '0.0']
['1731067783.89', '9002.6', '6997.4', '0.0']
['1731067784.39', '9002.7', '6997.3', '0.0']
['1731067784.89', '9002.8', '6997.2', '0.0']
['1731067785.39', '9002.9', '6997.1', '0.0']
['1731067785.89', '9003.0', '6997.0', '0.0']
['1731067786.39', '9003.1', '6996.9', '0.0']
['1731067786.89', '9003.2', '6996.8', '0.0']
['1731067787.39', '9003.3', '6996.7', '0.0']
['1731067787.89', '9003.4', '6996.6', '0.0']
['1731067788.4', '9003.5', '6996.5', '0.0']
['1731067788.89', '9003.6', '6996.4', '0.0']
['1731067789.39', '9003.7', '6996.3', '0.0']
['1731067789.9', '9003.8', '6996.2', '0.0']
['1731067790.4', '9003.9', '6996.1', '0.0']
['1731067790.9', '9004.0', '6996.0', '0.0']
['1731067791.4', '9004.1', '6995.9', '0.0']
['1731067791.9', '9004.2', '6995.8', '0.0']
['1731067792.4', '9004.3', '6995.7', '0.0']
['1731067792.9', '9004.4', '6995.6', '0.0']
['1731067793.4', '9004.5', '6995.5', '0.0']
['1731067793.9', '9004.6', '6995.4', '0.0']
['1731067794.4', '9004.7', '6995.3', '0.0']
['1731067794.9', '9004.8', '6995.2', '0.0']
['1731067795.4', '9004.9', '6995.1', '0.0']
['1731067795.9', '9005.0', '6995.0', '0.0']
['1731067796.4', '9005.1', '6994.9', '0.0']
['1731067796.9', '9005.2', '6994.8', '0.0']
['1731067797.4', '9005.3', '6994.7', '0.0']
['1731067797.9', '9005.4', '6994.6', '0.0']
['1731067798.41', '9005.5', '6994.5', '0.0']
['1731067798.91', '9005.6', '6994.4', '0.0']
['1731067799.41', '9005.7', '6994.3', '0.0']
['1731067799.91', '9005.8', '6994.2', '0.0']
['1731067800.41', '9005.9', '6994.1', '0.0']
['1731067800.91', '9006.0', '6994.0', '0.0']
['1731067801.41', '9006.1', '6993.9', '0.0']
['1731067801.91', '9006.2', '6993.8', '0.0']
['1731067802.41', '9006.3', '6993.7', '0.0']
['1731067802.91', '9006.4', '6993.6', '0.0']
['1731067803.41', '9006.5', '6993.5', '0.0']
['1731067803.91', '9006.6', '6993.4', '0.0']
['1731067804.41', '9006.7', '6993.3', '0.0']
['1731067804.91', '9006.8', '6993.2', '0.0']
['1731067805.41', '9006.9', '6993.1', '0.0']
['1731067805.91', '9007.0', '6993.0', '0.0']
['1731067806.41', '9007.1', '6992.9', '0.0']
['1731067806.91', '9007.2', '6992.8', '0.0']
['1731067807.41', '9007.3', '6992.7', '0.0']
['1731067807.92', '9007.4', '6992.6', '0.0']
['1731067808.41', '9007.5', '6992.5', '0.0']
