1731067770.469980967: PING 192.168.6.12 (192.168.6.12) 56(84) bytes of data.
1731067802.534713984: 64 bytes from 192.168.6.12: icmp_seq=65 ttl=63 time=2.44 ms
1731067803.042110841: 64 bytes from 192.168.6.12: icmp_seq=66 ttl=63 time=8.15 ms
1731067803.536918020: 64 bytes from 192.168.6.12: icmp_seq=67 ttl=63 time=2.21 ms
1731067804.038558057: 64 bytes from 192.168.6.12: icmp_seq=68 ttl=63 time=3.36 ms
1731067804.539720618: 64 bytes from 192.168.6.12: icmp_seq=69 ttl=63 time=3.45 ms
1731067805.040370471: 64 bytes from 192.168.6.12: icmp_seq=70 ttl=63 time=2.81 ms
1731067805.542676965: 64 bytes from 192.168.6.12: icmp_seq=71 ttl=63 time=3.66 ms
1731067806.043725454: 64 bytes from 192.168.6.12: icmp_seq=72 ttl=63 time=3.45 ms
1731067806.543123793: 64 bytes from 192.168.6.12: icmp_seq=73 ttl=63 time=1.69 ms
1731067807.045039506: 64 bytes from 192.168.6.12: icmp_seq=74 ttl=63 time=2.34 ms
1731067807.551137626: 64 bytes from 192.168.6.12: icmp_seq=75 ttl=63 time=7.70 ms
1731067808.046702397: 64 bytes from 192.168.6.12: icmp_seq=76 ttl=63 time=1.85 ms
1731067808.548703581: 64 bytes from 192.168.6.12: icmp_seq=77 ttl=63 time=2.83 ms
1731067809.050555645: 64 bytes from 192.168.6.12: icmp_seq=78 ttl=63 time=1.99 ms
1731067809.550566020: 64 bytes from 192.168.6.12: icmp_seq=79 ttl=63 time=1.69 ms
1731067810.052017090: 64 bytes from 192.168.6.12: icmp_seq=80 ttl=63 time=2.92 ms
1731067810.551595448: 64 bytes from 192.168.6.12: icmp_seq=81 ttl=63 time=1.79 ms
1731067811.052713982: 64 bytes from 192.168.6.12: icmp_seq=82 ttl=63 time=1.68 ms
1731067811.554433710: 64 bytes from 192.168.6.12: icmp_seq=83 ttl=63 time=2.07 ms
1731067812.059531210: 64 bytes from 192.168.6.12: icmp_seq=84 ttl=63 time=6.29 ms
1731067812.555840163: 64 bytes from 192.168.6.12: icmp_seq=85 ttl=63 time=1.98 ms
1731067813.056657795: 64 bytes from 192.168.6.12: icmp_seq=86 ttl=63 time=1.77 ms
1731067813.558022441: 64 bytes from 192.168.6.12: icmp_seq=87 ttl=63 time=2.23 ms
1731067814.058184061: 64 bytes from 192.168.6.12: icmp_seq=88 ttl=63 time=2.17 ms
1731067814.558337206: 64 bytes from 192.168.6.12: icmp_seq=89 ttl=63 time=1.63 ms
1731067815.060634719: 64 bytes from 192.168.6.12: icmp_seq=90 ttl=63 time=2.75 ms
1731067815.561467307: 64 bytes from 192.168.6.12: icmp_seq=91 ttl=63 time=2.16 ms
1731067816.061778890: 64 bytes from 192.168.6.12: icmp_seq=92 ttl=63 time=1.51 ms
1731067816.563914268: 64 bytes from 192.168.6.12: icmp_seq=93 ttl=63 time=2.75 ms
1731067817.064679843: 64 bytes from 192.168.6.12: icmp_seq=94 ttl=63 time=1.88 ms
1731067817.565193036: 64 bytes from 192.168.6.12: icmp_seq=95 ttl=63 time=1.58 ms
1731067818.067148275: 64 bytes from 192.168.6.12: icmp_seq=96 ttl=63 time=2.67 ms
1731067818.567174329: 64 bytes from 192.168.6.12: icmp_seq=97 ttl=63 time=1.50 ms
1731067819.068450365: 64 bytes from 192.168.6.12: icmp_seq=98 ttl=63 time=1.58 ms
1731067819.569556106: 64 bytes from 192.168.6.12: icmp_seq=99 ttl=63 time=1.89 ms
1731067820.069900559: 64 bytes from 192.168.6.12: icmp_seq=100 ttl=63 time=1.87 ms
1731067820.573054091: 64 bytes from 192.168.6.12: icmp_seq=101 ttl=63 time=3.42 ms
1731067821.072148669: 64 bytes from 192.168.6.12: icmp_seq=102 ttl=63 time=1.38 ms
1731067821.580660365: 64 bytes from 192.168.6.12: icmp_seq=103 ttl=63 time=8.85 ms
1731067822.075634317: 64 bytes from 192.168.6.12: icmp_seq=104 ttl=63 time=1.99 ms
1731067822.575400698: 64 bytes from 192.168.6.12: icmp_seq=105 ttl=63 time=1.69 ms
1731067823.077605824: 64 bytes from 192.168.6.12: icmp_seq=106 ttl=63 time=2.28 ms
1731067823.577886029: 64 bytes from 192.168.6.12: icmp_seq=107 ttl=63 time=2.10 ms
1731067824.078577819: 64 bytes from 192.168.6.12: icmp_seq=108 ttl=63 time=1.71 ms
1731067824.580759707: 64 bytes from 192.168.6.12: icmp_seq=109 ttl=63 time=2.62 ms
1731067825.080836614: 64 bytes from 192.168.6.12: icmp_seq=110 ttl=63 time=1.96 ms
1731067825.581815658: 64 bytes from 192.168.6.12: icmp_seq=111 ttl=63 time=1.69 ms
1731067826.086999978: 64 bytes from 192.168.6.12: icmp_seq=112 ttl=63 time=5.67 ms
1731067826.584094907: 64 bytes from 192.168.6.12: icmp_seq=113 ttl=63 time=1.45 ms
1731067827.085647542: 64 bytes from 192.168.6.12: icmp_seq=114 ttl=63 time=1.79 ms
1731067827.587280808: 64 bytes from 192.168.6.12: icmp_seq=115 ttl=63 time=2.56 ms
1731067828.087697425: 64 bytes from 192.168.6.12: icmp_seq=116 ttl=63 time=1.65 ms
1731067828.588426671: 64 bytes from 192.168.6.12: icmp_seq=117 ttl=63 time=1.58 ms
1731067829.090907449: 64 bytes from 192.168.6.12: icmp_seq=118 ttl=63 time=2.14 ms
1731067829.591360994: 64 bytes from 192.168.6.12: icmp_seq=119 ttl=63 time=2.23 ms
1731067830.092343796: 64 bytes from 192.168.6.12: icmp_seq=120 ttl=63 time=2.29 ms
1731067830.592298335: 64 bytes from 192.168.6.12: icmp_seq=121 ttl=63 time=1.78 ms
1731067831.099225933: 64 bytes from 192.168.6.12: icmp_seq=122 ttl=63 time=6.89 ms
1731067831.595227841: 64 bytes from 192.168.6.12: icmp_seq=123 ttl=63 time=2.29 ms
1731067832.095881881: 64 bytes from 192.168.6.12: icmp_seq=124 ttl=63 time=1.38 ms
1731067832.597981995: 64 bytes from 192.168.6.12: icmp_seq=125 ttl=63 time=2.31 ms
1731067833.097848775: 64 bytes from 192.168.6.12: icmp_seq=126 ttl=63 time=1.73 ms
1731067833.600001965: 64 bytes from 192.168.6.12: icmp_seq=127 ttl=63 time=1.99 ms
1731067834.100568930: 64 bytes from 192.168.6.12: icmp_seq=128 ttl=63 time=2.58 ms
1731067834.601478934: 64 bytes from 192.168.6.12: icmp_seq=129 ttl=63 time=2.07 ms
1731067835.100914822: 64 bytes from 192.168.6.12: icmp_seq=130 ttl=63 time=1.41 ms
1731067835.610922274: 64 bytes from 192.168.6.12: icmp_seq=131 ttl=63 time=9.27 ms
1731067836.103057509: 64 bytes from 192.168.6.12: icmp_seq=132 ttl=63 time=1.60 ms
1731067836.604066357: 64 bytes from 192.168.6.12: icmp_seq=133 ttl=63 time=1.60 ms
1731067837.104825710: 64 bytes from 192.168.6.12: icmp_seq=134 ttl=63 time=2.04 ms
1731067837.606493978: 64 bytes from 192.168.6.12: icmp_seq=135 ttl=63 time=2.29 ms
1731067838.106949260: 64 bytes from 192.168.6.12: icmp_seq=136 ttl=63 time=2.50 ms
1731067838.608076723: 64 bytes from 192.168.6.12: icmp_seq=137 ttl=63 time=1.68 ms
1731067839.109420315: 64 bytes from 192.168.6.12: icmp_seq=138 ttl=63 time=2.08 ms
1731067839.610897613: 64 bytes from 192.168.6.12: icmp_seq=139 ttl=63 time=2.92 ms
1731067840.114614730: 64 bytes from 192.168.6.12: icmp_seq=140 ttl=63 time=5.05 ms
1731067840.613265048: 64 bytes from 192.168.6.12: icmp_seq=141 ttl=63 time=3.45 ms
1731067841.112426272: 64 bytes from 192.168.6.12: icmp_seq=142 ttl=63 time=1.66 ms
1731067841.613243489: 64 bytes from 192.168.6.12: icmp_seq=143 ttl=63 time=1.60 ms
1731067842.114760218: 64 bytes from 192.168.6.12: icmp_seq=144 ttl=63 time=2.27 ms
1731067842.614814695: 64 bytes from 192.168.6.12: icmp_seq=145 ttl=63 time=1.59 ms
1731067843.116780165: 64 bytes from 192.168.6.12: icmp_seq=146 ttl=63 time=1.61 ms
1731067843.618193717: 64 bytes from 192.168.6.12: icmp_seq=147 ttl=63 time=2.12 ms
1731067844.119108200: 64 bytes from 192.168.6.12: icmp_seq=148 ttl=63 time=2.55 ms
1731067844.623423933: 64 bytes from 192.168.6.12: icmp_seq=149 ttl=63 time=5.60 ms
1731067845.120651553: 64 bytes from 192.168.6.12: icmp_seq=150 ttl=63 time=1.67 ms
1731067845.622645758: 64 bytes from 192.168.6.12: icmp_seq=151 ttl=63 time=2.31 ms
1731067846.123147789: 64 bytes from 192.168.6.12: icmp_seq=152 ttl=63 time=2.29 ms
1731067846.623238848: 64 bytes from 192.168.6.12: icmp_seq=153 ttl=63 time=1.71 ms
1731067847.124478958: 64 bytes from 192.168.6.12: icmp_seq=154 ttl=63 time=2.24 ms
1731067847.625446548: 64 bytes from 192.168.6.12: icmp_seq=155 ttl=63 time=2.04 ms
1731067848.125327027: 64 bytes from 192.168.6.12: icmp_seq=156 ttl=63 time=1.55 ms
1731067848.627362304: 64 bytes from 192.168.6.12: icmp_seq=157 ttl=63 time=2.64 ms
1731067849.131616635: 64 bytes from 192.168.6.12: icmp_seq=158 ttl=63 time=6.38 ms
1731067849.633865638: 64 bytes from 192.168.6.12: icmp_seq=159 ttl=63 time=6.93 ms
1731067850.129363226: 64 bytes from 192.168.6.12: icmp_seq=160 ttl=63 time=1.84 ms
1731067850.630256986: 64 bytes from 192.168.6.12: icmp_seq=161 ttl=63 time=2.01 ms
1731067851.132237502: 64 bytes from 192.168.6.12: icmp_seq=162 ttl=63 time=2.56 ms
1731067851.632138470: 64 bytes from 192.168.6.12: icmp_seq=163 ttl=63 time=1.61 ms
1731067852.134038262: 64 bytes from 192.168.6.12: icmp_seq=164 ttl=63 time=2.30 ms
1731067852.634317820: 64 bytes from 192.168.6.12: icmp_seq=165 ttl=63 time=1.97 ms
1731067853.133981028: 64 bytes from 192.168.6.12: icmp_seq=166 ttl=63 time=1.60 ms
1731067853.636678226: 64 bytes from 192.168.6.12: icmp_seq=167 ttl=63 time=2.66 ms
1731067854.142620026: 64 bytes from 192.168.6.12: icmp_seq=168 ttl=63 time=7.40 ms
1731067854.637299080: 64 bytes from 192.168.6.12: icmp_seq=169 ttl=63 time=1.41 ms
1731067855.138725388: 64 bytes from 192.168.6.12: icmp_seq=170 ttl=63 time=2.38 ms
1731067855.638850898: 64 bytes from 192.168.6.12: icmp_seq=171 ttl=63 time=1.73 ms
1731067856.140540834: 64 bytes from 192.168.6.12: icmp_seq=172 ttl=63 time=1.59 ms
1731067856.642283245: 64 bytes from 192.168.6.12: icmp_seq=173 ttl=63 time=2.05 ms
1731067857.142950135: 64 bytes from 192.168.6.12: icmp_seq=174 ttl=63 time=1.85 ms
1731067857.643360899: 64 bytes from 192.168.6.12: icmp_seq=175 ttl=63 time=1.59 ms
