Time,Bitrate,Jitter,Datagrams,Delay,F4_X,F4_Y,F4_Z,S1_X,S1_Y,S1_Z,Distance
1731069778.8,40.3,0.581,0.0,0.787,9400.8,6599.2,0.0,11102.0886046,11102.3227474,0.0,4813.782026046998
1731069779.3,39.0,0.671,0.016,0.893,9400.9,6599.1,0.0,11102.492937,11102.0869105,0.0,4813.762524198989
1731069779.8,39.7,0.832,0.0,0.883,9401.0,6599.0,0.0,11102.4487002,11102.5236404,0.0,4814.213628315008
1731069780.3,40.3,0.788,0.0,0.803,9401.1,6598.9,0.0,11102.2575972,11102.5161543,0.0,4814.197299216475
1731069780.8,39.7,0.86,0.016,1.28,9401.2,6598.8,0.0,11102.8209717,11102.795207,0.0,4814.715646433154
1731069781.3,39.7,0.881,0.0,0.88,9401.3,6598.7,0.0,11102.8811608,11102.4993071,0.0,4814.5183191492715
1731069781.8,39.7,0.555,0.0,1.35,9401.4,6598.6,0.0,11103.0091076,11103.1386368,0.0,4815.219816944111
1731069782.3,40.3,0.345,0.0,0.873,9401.5,6598.5,0.0,11103.4761462,11103.2163188,0.0,4815.515747570225
1731069782.8,40.3,0.367,0.0,1.19,9401.6,6598.4,0.0,11103.0261594,11103.0865066,0.0,4815.29350077799
1731069783.3,39.7,0.408,0.0,1.03,9401.7,6598.3,0.0,11103.6123724,11103.2941007,0.0,4815.75306371392
1731069783.8,39.7,0.476,0.0,2.59,9401.8,6598.2,0.0,11103.5637693,11103.3488164,0.0,4815.845282441335
1731069784.3,40.3,0.502,0.0,0.974,9401.9,6598.1,0.0,11103.8032567,11103.5994553,0.0,4816.2225900465455
1731069784.8,40.3,0.436,0.0,0.983,9402.0,6598.0,0.0,11104.1684524,11103.6563055,0.0,4816.463036673044
1731069785.3,39.7,0.595,0.0,1.0,9402.1,6597.9,0.0,11104.040194,11103.7970391,0.0,4816.607577011325
1731069785.8,39.0,0.872,0.016,0.76,9402.2,6597.8,0.0,11104.5366872,11103.8945852,0.0,4816.932489391545
1731069786.3,39.1,0.39,0.032,1.02,9402.3,6597.7,0.0,11104.4971542,11104.1347957,0.0,4817.20144063566
1731069786.8,40.3,0.425,0.0,1.13,9402.4,6597.6,0.0,11104.6881299,11104.3869618,0.0,4817.5630350052415
1731069787.3,39.7,0.463,0.0,0.846,9402.5,6597.5,0.0,11104.9746938,11104.6086606,0.0,4817.929904168899
1731069787.8,39.7,0.512,0.016,0.742,9402.6,6597.4,0.0,11104.9389043,11104.54723,0.0,4817.918004490113
1731069788.3,39.7,0.487,0.0,0.765,9402.7,6597.3,0.0,11105.0794793,11105.0305442,0.0,4818.478032600686
1731069788.8,39.7,0.761,0.016,0.825,9402.8,6597.2,0.0,11105.1852844,11104.7372197,0.0,4818.2992272712245
1731069789.3,39.7,0.735,0.0,1.06,9402.9,6597.1,0.0,11105.540711,11105.3702615,0.0,4819.0752371673825
1731069789.8,39.7,0.786,0.0,1.53,9403.0,6597.0,0.0,11105.2446998,11105.4941696,0.0,4819.144809539799
1731069790.3,40.3,0.672,0.0,2.17,9403.1,6596.9,0.0,11105.2463511,11105.6372323,0.0,4819.337468002351
1731069790.8,40.3,0.794,0.0,6.35,9403.2,6596.8,0.0,11105.7555414,11105.9386924,0.0,4819.857582839001
1731069791.3,39.0,0.645,0.016,1.04,9403.3,6596.7,0.0,11105.4515341,11105.6428591,0.0,4819.53167347906
1731069791.8,40.3,0.584,0.0,0.892,9403.4,6596.6,0.0,11105.8514902,11105.7929865,0.0,4819.871623392577
1731069792.3,39.7,0.681,0.0,1.01,9403.5,6596.5,0.0,11106.3517525,11106.4191976,0.0,4820.692404610913
1731069792.8,40.3,0.763,0.0,0.894,9403.6,6596.4,0.0,11105.9755977,11106.5764362,0.0,4820.764893800379
1731069793.3,39.7,0.82,0.0,1.787,9403.7,6596.3,0.0,11106.1718313,11106.3582096,0.0,4820.68826936054
1731069793.8,40.3,0.852,0.0,2.68,9403.8,6596.2,0.0,11106.5482541,11106.5002519,0.0,4821.012339657493
1731069794.3,39.7,0.674,0.0,1.81,9403.9,6596.1,0.0,11106.6560458,11106.5879414,0.0,4821.190684988849
1731069794.8,40.3,0.525,0.0,4.11,9404.0,6596.0,0.0,11107.2373287,11106.5197361,0.0,4821.3904309467325
1731069795.3,39.7,0.553,0.0,2.75,9404.1,6595.9,0.0,11106.7876407,11107.3003409,0.0,4822.020140736159
1731069795.8,39.7,0.402,0.0,0.989,9404.2,6595.8,0.0,11107.5334553,11107.398534,0.0,4822.433637898523
1731069796.3,40.3,0.899,0.0,0.895,9404.3,6595.7,0.0,11107.1388738,11107.161215,0.0,4822.130496427251
1731069796.8,40.3,0.674,0.0,0.906,9404.4,6595.6,0.0,11107.4731935,11107.4460716,0.0,4822.5733043916125
