Time,F4S1Bitrate,F4S1Jitter,F4S1Datagrams,F4S1Delay,F4S1Distance,F4C1Bitrate,F4C1Jitter,F4C1Datagrams,F4C1Delay,F4C1Distance,F4F2Bitrate,F4F2Jitter,F4F2Datagrams,F4F2Delay,F4F2Distance,F4F1Bitrate,F4F1Jitter,F4F1Datagrams,F4F1Delay,F4F1Distance
1731070780.55,40.3,0.629,0.0,2.0,5316.953766005035,8.32,1.095,0.0,1.04,3827.909155139395,19.8,0.89,0.0,1.91,4718.686681694389,19.8,0.746,0.0,0.704,3774.6844649586255
1731070781.05,39.7,0.665,0.0,1.16,5317.396157939672,7.69,1.105,0.0,0.821,3827.8597499124753,19.8,1.16,0.0,2.25,4718.898712888421,19.8,0.984,0.0,0.754,3774.854101816386
1731070781.55,40.3,0.625,0.0,0.723,5317.531800153902,8.31,0.589,0.0,0.924,3827.810366253793,20.5,0.961,0.0,3.05,4719.110747799844,20.5,0.817,0.0,0.782,3775.023741647197
1731070782.05,39.7,0.654,0.0,0.759,5318.128196537675,7.68,0.942,0.0,0.706,3827.761004164184,19.8,0.909,0.0,1.81,4719.322786428154,19.9,0.859,0.0,0.866,3775.193384450657
1731070782.55,39.7,0.481,0.0,0.752,5318.544842202886,8.32,0.533,0.0,0.683,3827.711663644481,19.8,1.055,0.0,4.86,4719.534828772852,19.8,0.849,0.0,0.809,3775.363030226366
1731070783.05,40.3,0.567,0.0,0.748,5318.523506516598,7.68,0.948,0.0,0.695,3827.662344695519,19.8,1.396,0.0,3.01,4719.746874833438,19.8,1.069,0.0,3.44,3775.532678973921
1731070783.55,39.7,0.542,0.016,1.06,5318.599801635099,7.68,0.545,0.0,0.898,3827.613047318133,20.5,1.038,0.0,1.39,4719.958924609408,19.9,0.99,0.0,0.637,3775.7023306929264
1731070784.05,39.7,0.567,0.0,0.763,5319.261537062916,8.32,0.504,0.0,0.905,3827.563771513154,19.8,1.219,0.0,1.5,4720.170978100264,20.5,0.957,0.0,1.02,3775.871985382979
1731070784.55,39.7,0.698,0.0,0.836,5318.971879771215,8.32,0.964,0.0,0.849,3827.5145172814177,19.8,1.33,0.0,1.76,4720.383035305504,19.9,0.689,0.0,0.789,3776.0416430436794
1731070785.05,40.3,0.66,0.0,0.944,5319.52449915266,7.68,0.538,0.0,1.47,3827.465284623756,19.9,1.267,0.0,1.47,4720.595096224627,19.8,0.487,0.0,0.883,3776.211303674625
1731070785.55,40.3,0.741,0.0,1.66,5319.573124979976,8.31,0.979,0.0,0.991,3827.4160735409982,20.5,1.35,0.0,1.87,4720.807160857135,20.5,0.443,0.0,0.872,3776.380967275414
1731070786.05,39.7,0.926,0.0,1.19,5320.120394466768,7.68,0.712,0.0,2.18,3827.3668840339824,19.2,0.739,0.0,2.81,4721.019229202525,19.8,0.506,0.0,0.835,3776.550633845652
1731070786.55,40.3,0.891,0.0,4.49,5320.587506059075,8.32,0.585,0.0,0.746,3827.317716103538,20.5,0.869,0.0,1.67,4721.231301260297,19.9,0.613,0.0,0.798,3776.720303384936
1731070787.05,39.0,0.399,0.016,1.56,5320.825086924772,7.68,0.682,0.0,0.758,3827.268569750496,19.8,0.807,0.0,2.31,4721.443377029952,19.8,0.551,0.0,0.831,3776.8899758928646
1731070787.55,40.3,0.41,0.0,0.77,5320.520495836304,8.32,0.591,0.0,0.831,3827.219444975688,19.8,0.742,0.0,7.37,4721.655456510989,20.5,0.47,0.0,0.752,3777.059651369039
1731070788.05,39.7,0.761,0.0,1.05,5321.157667838406,7.68,1.096,0.0,0.808,3827.1703417799417,20.5,1.064,0.0,1.51,4721.867539702909,19.8,0.695,0.0,0.876,3777.2293298130567
1731070788.55,40.3,0.533,0.0,0.797,5321.414422181372,8.32,0.605,0.0,0.786,3827.1212601640937,19.9,0.723,0.0,2.16,4722.07962660521,19.8,0.51,0.0,1.74,3777.399011224522
1731070789.05,39.7,0.692,0.0,1.32,5321.511415204402,7.68,0.56,0.0,0.914,3827.0722001289705,19.8,1.189,0.0,2.19,4722.291717217394,19.9,0.439,0.0,8.4,3777.568695603033
1731070789.55,40.3,0.864,0.0,1.09,5321.594986603504,8.32,0.433,0.0,0.771,3827.023161675404,19.8,0.863,0.0,2.21,4722.50381153896,19.8,0.525,0.0,1.79,3777.73838294819
1731070790.05,39.7,0.647,0.0,0.936,5322.089821686736,7.68,0.578,0.0,1.76,3826.974144804221,20.5,0.749,0.0,1.89,4722.715909569408,20.5,0.47,0.0,0.829,3777.9080732595926
1731070790.55,38.4,0.758,0.048,1.38,5322.260646163519,8.33,1.146,0.0,1.05,3826.925149516253,19.8,0.722,0.0,1.56,4722.92801130824,19.9,0.724,0.0,0.919,3778.077766536839
1731070791.05,39.0,0.384,0.0,0.89,5322.388183828379,7.68,0.651,0.0,1.16,3826.8761758123287,19.8,0.814,0.0,3.14,4723.140116754954,19.8,0.469,0.0,0.851,3778.247462779535
1731070791.55,41.0,0.396,0.0,2.59,5322.691028911291,8.32,0.875,0.0,1.17,3826.827223693278,19.8,0.736,0.0,1.76,4723.352225909052,20.5,0.489,0.0,0.88,3778.417161987279
1731070792.05,38.4,0.426,0.032,1.17,5323.396435947851,7.68,0.654,0.0,0.918,3826.778293159927,20.5,0.858,0.0,9.74,4723.564338770036,19.8,0.795,0.0,0.888,3778.586864159669
1731070792.55,40.3,0.258,0.0,1.14,5323.4487263978,8.32,0.804,0.0,0.747,3826.729384213105,19.8,0.772,0.0,1.83,4723.776455337403,19.8,0.633,0.0,0.704,3778.756569296309
1731070793.05,39.7,0.355,0.0,1.1,5323.667361007582,7.68,0.841,0.0,1.27,3826.6804968536367,19.8,0.844,0.0,1.47,4723.988575610657,19.9,0.545,0.0,0.95,3778.9262773967935
1731070793.55,39.1,0.278,0.016,0.864,5323.854214048104,8.32,0.892,0.0,0.846,3826.631631082354,19.9,1.374,0.0,1.7,4724.200699589297,20.5,0.806,0.0,0.932,3779.095988460732
1731070794.05,39.7,0.824,0.016,1.11,5323.729287112226,7.68,1.391,0.0,0.859,3826.582786900082,20.5,0.999,0.0,1.77,4724.412827272824,19.8,0.708,0.0,1.68,3779.26570248772
1731070794.55,39.1,0.543,0.016,0.805,5324.385041808252,8.33,0.927,0.0,0.751,3826.533964307648,19.8,0.903,0.0,1.73,4724.62495866074,19.8,0.985,0.0,0.97,3779.43541947736
1731070795.05,39.7,0.574,0.0,1.14,5324.844298550582,7.68,0.917,0.0,0.887,3826.485163305877,19.8,1.019,0.0,2.25,4724.837093752545,19.8,0.769,0.0,0.886,3779.605139429251
1731070795.55,40.3,0.397,0.0,1.08,5324.739071467616,8.32,0.804,0.0,0.9,3826.436383895595,19.9,1.103,0.0,1.87,4725.049232547742,20.5,0.807,0.0,0.727,3779.774862342993
1731070796.05,39.0,0.359,0.016,1.61,5325.261411831914,7.68,0.775,0.0,1.33,3826.38762607763,19.8,1.024,0.031,1.52,4725.2613750458295,19.8,0.808,0.0,0.904,3779.944588218192
1731070796.55,40.3,0.435,0.0,1.3,5325.053992416754,8.32,0.774,0.0,0.807,3826.3388898528056,19.8,1.164,0.0,4.46,4725.47352124631,19.8,0.784,0.0,0.778,3780.114317054446
1731070797.05,39.7,0.407,0.0,0.871,5325.605705289736,7.68,0.418,0.0,1.17,3826.290175221948,19.8,1.431,0.0,1.83,4725.685671148685,19.8,0.666,0.0,0.787,3780.284048851356
1731070797.55,39.7,0.684,0.0,3.85,5325.717634005343,8.32,0.638,0.0,1.02,3826.241482185881,20.5,1.188,0.0,1.66,4725.8978247524565,19.9,0.538,0.0,0.826,3780.4537836085246
1731070798.05,40.3,0.519,0.0,1.05,5326.009500088655,7.68,0.655,0.0,0.91,3826.1928107454273,19.8,1.517,0.0,2.84,4726.109982057125,20.5,0.606,0.0,0.882,3780.623521325549
1731070798.55,40.3,0.574,0.0,0.906,5326.300007296939,8.32,0.963,0.0,0.827,3826.144160901416,19.8,1.072,0.0,1.89,4726.3221430621925,19.8,0.619,0.0,0.783,3780.793262002036
1731070799.05,39.7,0.556,0.0,0.936,5326.40939026361,7.68,0.88,0.0,0.718,3826.0955326546655,19.8,0.744,0.0,1.84,4726.534307767161,19.8,0.54,0.0,0.631,3780.963005637585
1731070799.55,39.7,0.478,0.0,0.962,5326.832356584242,8.33,0.453,0.0,0.863,3826.046926006006,20.5,0.853,0.0,2.02,4726.746476171533,20.5,0.621,0.0,1.02,3781.132752231797
1731070800.05,40.3,0.404,0.0,4.52,5326.93666103883,7.68,0.957,0.0,0.951,3825.998340956254,19.8,0.921,0.0,1.89,4726.958648274807,19.8,0.728,0.0,1.28,3781.3025017842738
1731070800.55,40.3,0.394,0.0,2.76,5327.455447355286,7.68,0.503,0.0,3.4,3825.949777506233,19.8,0.911,0.0,2.66,4727.17082407649,19.8,0.653,0.0,0.883,3781.4722542946142
1731070801.05,39.0,0.477,0.016,1.55,5327.255334176959,8.32,0.975,0.0,1.42,3825.90123565677,19.8,0.826,0.0,1.93,4727.38300357608,19.9,0.736,0.0,0.856,3781.6420097624255
1731070801.55,39.7,0.5,0.0,2.26,5328.202687679399,8.33,0.864,0.0,0.776,3825.852715408684,20.5,0.89,0.0,1.57,4727.595186773081,19.8,0.778,0.0,0.947,3781.8117681873055
1731070802.05,40.3,0.711,0.0,0.82,5327.844479340428,7.68,0.521,0.0,0.887,3825.8042167627978,19.9,0.9,0.0,2.96,4727.807373666994,20.5,0.902,0.0,3.72,3781.9815295688586
1731070802.55,39.7,0.683,0.016,1.49,5328.71584661575,8.32,0.836,0.0,0.844,3825.755739719932,19.8,0.985,0.0,1.4,4728.019564257322,19.9,0.818,0.0,1.14,3782.151293906684
1731070803.05,39.0,0.772,0.016,1.42,5328.384868785364,7.68,0.621,0.0,0.739,3825.707284280907,19.8,0.946,0.0,2.04,4728.2317585435685,19.8,0.798,0.0,1.12,3782.321061200383
