Time,F4_X,F4_Y,F4_Z
1731069774.6,9400.0,6600.0,0.0
1731069775.1,9400.1,6599.9,0.0
1731069775.6,9400.2,6599.8,0.0
1731069776.1,9400.3,6599.7,0.0
1731069776.6,9400.4,6599.6,0.0
1731069777.1,9400.5,6599.5,0.0
1731069777.6,9400.6,6599.4,0.0
1731069778.1,9400.7,6599.3,0.0
1731069778.6,9400.8,6599.2,0.0
1731069779.1,9400.9,6599.1,0.0
1731069779.6,9401.0,6599.0,0.0
1731069780.1,9401.1,6598.9,0.0
1731069780.6,9401.2,6598.8,0.0
1731069781.1,9401.3,6598.7,0.0
1731069781.6,9401.4,6598.6,0.0
1731069782.11,9401.5,6598.5,0.0
1731069782.6,9401.6,6598.4,0.0
1731069783.1,9401.7,6598.3,0.0
1731069783.6,9401.8,6598.2,0.0
1731069784.1,9401.9,6598.1,0.0
1731069784.61,9402.0,6598.0,0.0
1731069785.11,9402.1,6597.9,0.0
1731069785.61,9402.2,6597.8,0.0
1731069786.11,9402.3,6597.7,0.0
1731069786.61,9402.4,6597.6,0.0
1731069787.11,9402.5,6597.5,0.0
1731069787.61,9402.6,6597.4,0.0
1731069788.11,9402.7,6597.3,0.0
1731069788.61,9402.8,6597.2,0.0
1731069789.11,9402.9,6597.1,0.0
1731069789.61,9403.0,6597.0,0.0
1731069790.11,9403.1,6596.9,0.0
1731069790.61,9403.2,6596.8,0.0
1731069791.12,9403.3,6596.7,0.0
1731069791.62,9403.4,6596.6,0.0
1731069792.12,9403.5,6596.5,0.0
1731069792.62,9403.6,6596.4,0.0
1731069793.12,9403.7,6596.3,0.0
1731069793.62,9403.8,6596.2,0.0
1731069794.12,9403.9,6596.1,0.0
1731069794.62,9404.0,6596.0,0.0
1731069795.12,9404.1,6595.9,0.0
1731069795.62,9404.2,6595.8,0.0
1731069796.12,9404.3,6595.7,0.0
1731069796.62,9404.4,6595.6,0.0
1731069797.12,9404.5,6595.5,0.0
1731069797.62,9404.6,6595.4,0.0
1731069798.12,9404.7,6595.3,0.0
1731069798.62,9404.8,6595.2,0.0
1731069799.12,9404.9,6595.1,0.0
1731069799.62,9405.0,6595.0,0.0
1731069800.12,9405.1,6594.9,0.0
1731069800.62,9405.2,6594.8,0.0
1731069801.13,9405.3,6594.7,0.0
1731069801.63,9405.4,6594.6,0.0
1731069802.13,9405.5,6594.5,0.0
1731069802.63,9405.6,6594.4,0.0
1731069803.13,9405.7,6594.3,0.0
1731069803.63,9405.8,6594.2,0.0
1731069804.13,9405.9,6594.1,0.0
1731069804.63,9406.0,6594.0,0.0
1731069805.13,9406.1,6593.9,0.0
1731069805.63,9406.2,6593.8,0.0
1731069806.13,9406.3,6593.7,0.0
1731069806.63,9406.4,6593.6,0.0
1731069807.13,9406.5,6593.5,0.0
1731069807.63,9406.6,6593.4,0.0
1731069808.13,9406.7,6593.3,0.0
1731069808.63,9406.8,6593.2,0.0
1731069809.14,9406.9,6593.1,0.0
1731069809.63,9407.0,6593.0,0.0
1731069810.13,9407.1,6592.9,0.0
1731069810.63,9407.2,6592.8,0.0
1731069811.14,9407.3,6592.7,0.0
