Time,Bitrate,Jitter,Datagrams,Delay,F4_X,F4_Y,F4_Z,F1_X,F1_Y,F1_Z,Distance
1731071782.23,19.8,0.379,0.0,0.749,9800.8,6199.2,0.0,7801.3,9800.8,0.0,4119.408065487079
1731071782.73,19.8,0.515,0.0,1.22,9800.9,6199.1,0.0,7801.4,9800.9,0.0,4119.58292670508
1731071783.23,19.8,0.46,0.031,1.07,9801.0,6199.0,0.0,7801.5,9801.0,0.0,4119.757790210488
1731071783.73,19.8,0.742,0.0,0.792,9801.1,6198.9,0.0,7801.6,9801.1,0.0,4119.932656003009
1731071784.23,19.8,0.589,0.0,6.15,9801.2,6198.8,0.0,7801.7,9801.2,0.0,4120.107524082352
1731071784.73,19.8,0.481,0.0,1.36,9801.3,6198.7,0.0,7801.8,9801.3,0.0,4120.282394448224
1731071785.23,19.2,0.547,0.032,1.1,9801.4,6198.6,0.0,7801.9,9801.4,0.0,4120.457267100339
1731071785.73,20.5,0.535,0.0,0.991,9801.5,6198.5,0.0,7802.0,9801.5,0.0,4120.632142038403
1731071786.23,19.8,0.614,0.0,1.13,9801.6,6198.4,0.0,7802.1,9801.6,0.0,4120.807019262125
1731071786.73,19.9,0.561,0.0,1.78,9801.7,6198.3,0.0,7802.2,9801.7,0.0,4120.981898771215
1731071787.23,19.8,0.723,0.0,1.15,9801.8,6198.2,0.0,7802.3,9801.8,0.0,4121.1567805653785
1731071787.73,20.5,0.587,0.0,1.58,9801.9,6198.1,0.0,7802.4,9801.9,0.0,4121.331664644329
1731071788.23,19.8,0.629,0.0,0.767,9802.0,6198.0,0.0,7802.5,9802.0,0.0,4121.506551007775
1731071788.73,19.9,0.691,0.0,2.04,9802.1,6197.9,0.0,7802.6,9802.1,0.0,4121.681439655424
1731071789.23,20.5,0.725,0.0,6.66,9802.2,6197.8,0.0,7802.7,9802.2,0.0,4121.856330586986
1731071789.73,19.8,0.698,0.0,0.876,9802.3,6197.7,0.0,7802.8,9802.3,0.0,4122.031223802167
1731071790.23,19.8,0.583,0.0,1.14,9802.4,6197.6,0.0,7802.9,9802.4,0.0,4122.206119300683
1731071790.73,19.8,0.517,0.0,1.2,9802.5,6197.5,0.0,7803.0,9802.5,0.0,4122.38101708224
1731071791.23,20.4,0.605,0.0,0.817,9802.6,6197.4,0.0,7803.1,9802.6,0.0,4122.555917146547
1731071791.73,19.9,0.582,0.0,1.32,9802.7,6197.3,0.0,7803.2,9802.7,0.0,4122.730819493313
1731071792.23,19.8,0.56,0.0,1.52,9802.8,6197.2,0.0,7803.3,9802.8,0.0,4122.905724122247
1731071792.73,19.8,0.683,0.0,2.3,9802.9,6197.1,0.0,7803.4,9802.9,0.0,4123.080631033062
1731071793.23,19.9,0.674,0.0,0.917,9803.0,6197.0,0.0,7803.5,9803.0,0.0,4123.255540225466
1731071793.73,20.5,0.645,0.0,5.82,9803.1,6196.9,0.0,7803.6,9803.1,0.0,4123.430451699168
1731071794.23,19.8,0.636,0.0,0.945,9803.2,6196.8,0.0,7803.7,9803.2,0.0,4123.605365453877
1731071794.73,19.8,0.622,0.0,0.808,9803.3,6196.7,0.0,7803.8,9803.3,0.0,4123.780281489303
1731071795.23,20.5,0.684,0.0,1.48,9803.4,6196.6,0.0,7803.9,9803.4,0.0,4123.9551998051575
1731071795.73,19.9,0.677,0.0,1.47,9803.5,6196.5,0.0,7804.0,9803.5,0.0,4124.13012040115
1731071796.23,19.8,0.771,0.0,1.04,9803.6,6196.4,0.0,7804.1,9803.6,0.0,4124.305043276989
1731071796.73,19.8,0.837,0.0,0.916,9803.7,6196.3,0.0,7804.2,9803.7,0.0,4124.479968432384
