Time,F2_X,F2_Y,F2_Z
1731070776.37,7100.0,10400.0,0.0
1731070776.87,7100.1,10400.15,0.0
1731070777.37,7100.2,10400.3,0.0
1731070777.87,7100.3,10400.45,0.0
1731070778.37,7100.4,10400.6,0.0
1731070778.87,7100.5,10400.75,0.0
1731070779.37,7100.6,10400.9,0.0
1731070779.87,7100.7,10401.05,0.0
1731070780.37,7100.8,10401.2,0.0
1731070780.87,7100.9,10401.35,0.0
1731070781.37,7101.0,10401.5,0.0
1731070781.87,7101.1,10401.65,0.0
1731070782.37,7101.2,10401.8,0.0
1731070782.87,7101.3,10401.95,0.0
1731070783.37,7101.4,10402.1,0.0
1731070783.87,7101.5,10402.25,0.0
1731070784.38,7101.6,10402.4,0.0
1731070784.87,7101.7,10402.55,0.0
1731070785.37,7101.8,10402.7,0.0
1731070785.87,7101.9,10402.85,0.0
1731070786.38,7102.0,10403.0,0.0
1731070786.88,7102.1,10403.15,0.0
1731070787.38,7102.2,10403.3,0.0
1731070787.88,7102.3,10403.45,0.0
1731070788.38,7102.4,10403.6,0.0
1731070788.88,7102.5,10403.75,0.0
1731070789.38,7102.6,10403.9,0.0
1731070789.88,7102.7,10404.05,0.0
1731070790.38,7102.8,10404.2,0.0
1731070790.88,7102.9,10404.35,0.0
1731070791.38,7103.0,10404.5,0.0
1731070791.88,7103.1,10404.65,0.0
1731070792.38,7103.2,10404.8,0.0
1731070792.88,7103.3,10404.95,0.0
1731070793.38,7103.4,10405.1,0.0
1731070793.88,7103.5,10405.25,0.0
1731070794.38,7103.6,10405.4,0.0
1731070794.88,7103.7,10405.55,0.0
1731070795.39,7103.8,10405.7,0.0
1731070795.89,7103.9,10405.85,0.0
1731070796.39,7104.0,10406.0,0.0
1731070796.89,7104.1,10406.15,0.0
1731070797.39,7104.2,10406.3,0.0
1731070797.89,7104.3,10406.45,0.0
1731070798.39,7104.4,10406.6,0.0
1731070798.89,7104.5,10406.75,0.0
1731070799.39,7104.6,10406.9,0.0
1731070799.89,7104.7,10407.05,0.0
1731070800.39,7104.8,10407.2,0.0
1731070800.89,7104.9,10407.35,0.0
1731070801.39,7105.0,10407.5,0.0
1731070801.89,7105.1,10407.65,0.0
1731070802.39,7105.2,10407.8,0.0
1731070802.89,7105.3,10407.95,0.0
1731070803.39,7105.4,10408.1,0.0
1731070803.89,7105.5,10408.25,0.0
1731070804.39,7105.6,10408.4,0.0
1731070804.89,7105.7,10408.55,0.0
1731070805.39,7105.8,10408.7,0.0
1731070805.9,7105.9,10408.85,0.0
1731070806.4,7106.0,10409.0,0.0
1731070806.9,7106.1,10409.15,0.0
1731070807.4,7106.2,10409.3,0.0
1731070807.9,7106.3,10409.45,0.0
1731070808.4,7106.4,10409.6,0.0
1731070808.9,7106.5,10409.75,0.0
1731070809.4,7106.6,10409.9,0.0
1731070809.9,7106.7,10410.05,0.0
1731070810.4,7106.8,10410.2,0.0
1731070810.9,7106.9,10410.35,0.0
1731070811.4,7107.0,10410.5,0.0
1731070811.9,7107.1,10410.65,0.0
1731070812.4,7107.2,10410.8,0.0
1731070812.9,7107.3,10410.95,0.0
1731070813.4,7107.4,10411.1,0.0
1731070813.9,7107.5,10411.25,0.0
1731070814.4,7107.6,10411.4,0.0
1731070814.91,7107.7,10411.55,0.0
1731070815.41,7107.8,10411.7,0.0
1731070815.91,7107.9,10411.85,0.0
1731070816.41,7108.0,10412.0,0.0
1731070816.91,7108.1,10412.15,0.0
1731070817.41,7108.2,10412.3,0.0
