Time,F2_X,F2_Y,F2_Z
1731069850.18,6915.1,10122.65,0.0
1731069850.68,6915.2,10122.8,0.0
1731069851.18,6915.3,10122.95,0.0
1731069851.68,6915.4,10123.1,0.0
1731069852.18,6915.5,10123.25,0.0
1731069852.68,6915.6,10123.4,0.0
1731069853.18,6915.7,10123.55,0.0
1731069853.68,6915.8,10123.7,0.0
1731069854.18,6915.9,10123.85,0.0
1731069854.68,6916.0,10124.0,0.0
1731069855.18,6916.1,10124.15,0.0
1731069855.68,6916.2,10124.3,0.0
1731069856.18,6916.3,10124.45,0.0
1731069856.68,6916.4,10124.6,0.0
1731069857.18,6916.5,10124.75,0.0
1731069857.68,6916.6,10124.9,0.0
1731069858.18,6916.7,10125.05,0.0
1731069858.68,6916.8,10125.2,0.0
1731069859.18,6916.9,10125.35,0.0
1731069859.69,6917.0,10125.5,0.0
1731069860.19,6917.1,10125.65,0.0
1731069860.69,6917.2,10125.8,0.0
1731069861.19,6917.3,10125.95,0.0
1731069861.69,6917.4,10126.1,0.0
1731069862.19,6917.5,10126.25,0.0
1731069862.69,6917.6,10126.4,0.0
1731069863.19,6917.7,10126.55,0.0
1731069863.69,6917.8,10126.7,0.0
1731069864.19,6917.9,10126.85,0.0
1731069864.69,6918.0,10127.0,0.0
1731069865.19,6918.1,10127.15,0.0
1731069865.69,6918.2,10127.3,0.0
1731069866.19,6918.3,10127.45,0.0
1731069866.69,6918.4,10127.6,0.0
1731069867.19,6918.5,10127.75,0.0
1731069867.69,6918.6,10127.9,0.0
1731069868.19,6918.7,10128.05,0.0
1731069868.69,6918.8,10128.2,0.0
1731069869.2,6918.9,10128.35,0.0
1731069869.7,6919.0,10128.5,0.0
1731069870.2,6919.1,10128.65,0.0
1731069870.7,6919.2,10128.8,0.0
1731069871.2,6919.3,10128.95,0.0
1731069871.7,6919.4,10129.1,0.0
1731069872.2,6919.5,10129.25,0.0
1731069872.7,6919.6,10129.4,0.0
1731069873.2,6919.7,10129.55,0.0
1731069873.7,6919.8,10129.7,0.0
1731069874.2,6919.9,10129.85,0.0
1731069874.7,6920.0,10130.0,0.0
1731069875.2,6920.1,10130.15,0.0
1731069875.7,6920.2,10130.3,0.0
1731069876.2,6920.3,10130.45,0.0
1731069876.7,6920.4,10130.6,0.0
1731069877.21,6920.5,10130.75,0.0
1731069877.71,6920.6,10130.9,0.0
1731069878.21,6920.7,10131.05,0.0
1731069878.71,6920.8,10131.2,0.0
1731069879.21,6920.9,10131.35,0.0
1731069879.71,6921.0,10131.5,0.0
1731069880.21,6921.1,10131.65,0.0
1731069880.71,6921.2,10131.8,0.0
1731069881.21,6921.3,10131.95,0.0
1731069881.71,6921.4,10132.1,0.0
1731069882.21,6921.5,10132.25,0.0
1731069882.71,6921.6,10132.4,0.0
1731069883.21,6921.7,10132.55,0.0
1731069883.71,6921.8,10132.7,0.0
1731069884.21,6921.9,10132.85,0.0
1731069884.71,6922.0,10133.0,0.0
1731069885.21,6922.1,10133.15,0.0
1731069885.71,6922.2,10133.3,0.0
1731069886.21,6922.3,10133.45,0.0
1731069886.71,6922.4,10133.6,0.0
1731069887.21,6922.5,10133.75,0.0
1731069887.71,6922.6,10133.9,0.0
1731069888.21,6922.7,10134.05,0.0
1731069888.72,6922.8,10134.2,0.0
1731069889.22,6922.9,10134.35,0.0
1731069889.72,6923.0,10134.5,0.0
1731069890.22,6923.1,10134.65,0.0
1731069890.72,6923.2,10134.8,0.0
1731069891.22,6923.3,10134.95,0.0
1731069891.72,6923.4,10135.1,0.0
1731069892.22,6923.5,10135.25,0.0
1731069892.72,6923.6,10135.4,0.0
1731069893.22,6923.7,10135.55,0.0
1731069893.72,6923.8,10135.7,0.0
1731069894.22,6923.9,10135.85,0.0
1731069894.72,6924.0,10136.0,0.0
1731069895.22,6924.1,10136.15,0.0
1731069895.72,6924.2,10136.3,0.0
1731069896.22,6924.3,10136.45,0.0
1731069896.72,6924.4,10136.6,0.0
1731069897.22,6924.5,10136.75,0.0
1731069897.72,6924.6,10136.9,0.0
1731069898.23,6924.7,10137.05,0.0
1731069898.72,6924.8,10137.2,0.0
1731069899.23,6924.9,10137.35,0.0
1731069899.72,6925.0,10137.5,0.0
1731069900.23,6925.1,10137.65,0.0
1731069900.73,6925.2,10137.8,0.0
1731069901.23,6925.3,10137.95,0.0
1731069901.73,6925.4,10138.1,0.0
1731069902.23,6925.5,10138.25,0.0
1731069902.73,6925.6,10138.4,0.0
1731069903.23,6925.7,10138.55,0.0
1731069903.73,6925.8,10138.7,0.0
1731069904.23,6925.9,10138.85,0.0
1731069904.73,6926.0,10139.0,0.0
1731069905.23,6926.1,10139.15,0.0
1731069905.73,6926.2,10139.3,0.0
1731069906.23,6926.3,10139.45,0.0
1731069906.73,6926.4,10139.6,0.0
1731069907.23,6926.5,10139.75,0.0
1731069907.73,6926.6,10139.9,0.0
1731069908.23,6926.7,10140.05,0.0
1731069908.73,6926.8,10140.2,0.0
1731069909.23,6926.9,10140.35,0.0
1731069909.73,6927.0,10140.5,0.0
1731069910.24,6927.1,10140.65,0.0
1731069910.74,6927.2,10140.8,0.0
1731069911.24,6927.3,10140.95,0.0
1731069911.74,6927.4,10141.1,0.0
1731069912.24,6927.5,10141.25,0.0
1731069912.74,6927.6,10141.4,0.0
1731069913.24,6927.7,10141.55,0.0
1731069913.74,6927.8,10141.7,0.0
1731069914.24,6927.9,10141.85,0.0
1731069914.74,6928.0,10142.0,0.0
1731069915.24,6928.1,10142.15,0.0
1731069915.74,6928.2,10142.3,0.0
1731069916.24,6928.3,10142.45,0.0
1731069916.74,6928.4,10142.6,0.0
1731069917.24,6928.5,10142.75,0.0
1731069917.74,6928.6,10142.9,0.0
1731069918.24,6928.7,10143.05,0.0
1731069918.74,6928.8,10143.2,0.0
1731069919.25,6928.9,10143.35,0.0
1731069919.75,6929.0,10143.5,0.0
1731069920.25,6929.1,10143.65,0.0
1731069920.75,6929.2,10143.8,0.0
1731069921.25,6929.3,10143.95,0.0
1731069921.75,6929.4,10144.1,0.0
1731069922.25,6929.5,10144.25,0.0
1731069922.75,6929.6,10144.4,0.0
1731069923.25,6929.7,10144.55,0.0
1731069923.75,6929.8,10144.7,0.0
1731069924.25,6929.9,10144.85,0.0
1731069924.75,6930.0,10145.0,0.0
1731069925.25,6930.1,10145.15,0.0
1731069925.75,6930.2,10145.3,0.0
1731069926.25,6930.3,10145.45,0.0
1731069926.75,6930.4,10145.6,0.0
1731069927.26,6930.5,10145.75,0.0
1731069927.76,6930.6,10145.9,0.0
1731069928.26,6930.7,10146.05,0.0
1731069928.76,6930.8,10146.2,0.0
1731069929.26,6930.9,10146.35,0.0
1731069929.76,6931.0,10146.5,0.0
1731069930.26,6931.1,10146.65,0.0
1731069930.76,6931.2,10146.8,0.0
1731069931.26,6931.3,10146.95,0.0
1731069931.76,6931.4,10147.1,0.0
1731069932.26,6931.5,10147.25,0.0
1731069932.76,6931.6,10147.4,0.0
1731069933.26,6931.7,10147.55,0.0
1731069933.76,6931.8,10147.7,0.0
1731069934.26,6931.9,10147.85,0.0
1731069934.76,6932.0,10148.0,0.0
1731069935.26,6932.1,10148.15,0.0
1731069935.77,6932.2,10148.3,0.0
1731069936.27,6932.3,10148.45,0.0
1731069936.77,6932.4,10148.6,0.0
1731069937.27,6932.5,10148.75,0.0
1731069937.77,6932.6,10148.9,0.0
1731069938.27,6932.7,10149.05,0.0
1731069938.77,6932.8,10149.2,0.0
1731069939.27,6932.9,10149.35,0.0
1731069939.77,6933.0,10149.5,0.0
1731069940.27,6933.1,10149.65,0.0
1731069940.77,6933.2,10149.8,0.0
1731069941.27,6933.3,10149.95,0.0
1731069941.77,6933.4,10150.1,0.0
1731069942.27,6933.5,10150.25,0.0
1731069942.77,6933.6,10150.4,0.0
1731069943.27,6933.7,10150.55,0.0
1731069943.77,6933.8,10150.7,0.0
