Time,Bitrate,Jitter,Datagrams,Delay,F2_X,F2_Y,F2_Z,F4_X,F4_Y,F4_Z,Distance
1731067774.96,19.9,0.84,0.0,1.72,6500.8,9501.2,0.0,9000.8,6999.2,0.0,3536.94840222472
1731067775.46,19.8,0.73,0.0,2.27,6500.9,9501.35,0.0,9000.9,6999.1,0.0,3537.125254002182
1731067775.96,19.9,1.186,0.0,2.35,6501.0,9501.5,0.0,9001.0,6999.0,0.0,3537.3021146065544
1731067776.46,20.5,1.148,0.0,1.8,6501.1,9501.65,0.0,9001.1,6998.9,0.0,3537.478984036513
1731067776.96,19.8,0.838,0.0,3.15,6501.2,9501.8,0.0,9001.2,6998.8,0.0,3537.6558622907346
1731067777.46,19.8,0.959,0.0,1.84,6501.3,9501.95,0.0,9001.3,6998.7,0.0,3537.8327493678953
1731067777.96,20.5,0.997,0.0,3.96,6501.4,9502.1,0.0,9001.4,6998.6,0.0,3538.0096452666717
1731067778.46,19.8,0.953,0.0,2.03,6501.5,9502.25,0.0,9001.5,6998.5,0.0,3538.186549985741
1731067778.96,19.8,1.158,0.0,2.0,6501.6,9502.4,0.0,9001.6,6998.4,0.0,3538.36346352378
1731067779.46,19.8,1.341,0.0,2.26,6501.7,9502.55,0.0,9001.7,6998.3,0.0,3538.540385879466
1731067779.96,20.5,1.077,0.0,1.69,6501.8,9502.7,0.0,9001.8,6998.2,0.0,3538.7173170514766
1731067780.46,19.8,1.215,0.0,2.35,6501.9,9502.85,0.0,9001.9,6998.1,0.0,3538.8942570384893
1731067780.96,19.8,1.005,0.0,2.05,6502.0,9503.0,0.0,9002.0,6998.0,0.0,3539.071205839182
1731067781.46,19.8,0.766,0.0,1.74,6502.1,9503.15,0.0,9002.1,6997.9,0.0,3539.2481634522323
1731067781.96,19.9,0.707,0.0,2.18,6502.2,9503.3,0.0,9002.2,6997.8,0.0,3539.4251298763193
1731067782.46,20.5,0.849,0.0,5.42,6502.3,9503.45,0.0,9002.3,6997.7,0.0,3539.602105110121
1731067782.96,19.8,0.846,0.0,1.67,6502.4,9503.6,0.0,9002.4,6997.6,0.0,3539.779089152316
1731067783.46,19.8,0.755,0.0,2.27,6502.5,9503.75,0.0,9002.5,6997.5,0.0,3539.956082001583
1731067783.96,20.5,0.959,0.0,2.47,6502.6,9503.9,0.0,9002.6,6997.4,0.0,3540.1330836566017
1731067784.46,19.9,0.893,0.0,2.22,6502.7,9504.05,0.0,9002.7,6997.3,0.0,3540.3100941160505
1731067784.96,19.8,0.86,0.0,1.68,6502.8,9504.2,0.0,9002.8,6997.2,0.0,3540.4871133786096
1731067785.46,19.9,1.016,0.0,2.35,6502.9,9504.35,0.0,9002.9,6997.1,0.0,3540.664141442958
1731067785.96,20.5,1.008,0.0,3.04,6503.0,9504.5,0.0,9003.0,6997.0,0.0,3540.841178307776
1731067786.46,19.8,1.013,0.0,1.71,6503.1,9504.65,0.0,9003.1,6996.9,0.0,3541.0182239717433
1731067786.96,19.8,1.109,0.0,2.39,6503.2,9504.8,0.0,9003.2,6996.8,0.0,3541.1952784335404
1731067787.46,19.8,1.186,0.0,1.83,6503.3,9504.95,0.0,9003.3,6996.7,0.0,3541.3723416918474
1731067787.96,20.5,1.323,0.0,1.56,6503.4,9505.1,0.0,9003.4,6996.6,0.0,3541.5494137453456
1731067788.46,19.8,1.216,0.0,3.26,6503.5,9505.25,0.0,9003.5,6996.5,0.0,3541.726494592715
1731067788.96,19.8,1.258,0.0,1.42,6503.6,9505.4,0.0,9003.6,6996.4,0.0,3541.903584232637
1731067789.46,19.9,0.959,0.0,1.31,6503.7,9505.55,0.0,9003.7,6996.3,0.0,3542.0806826637927
1731067789.96,19.8,0.845,0.0,2.11,6503.8,9505.7,0.0,9003.8,6996.2,0.0,3542.257789884864
1731067790.46,20.5,0.639,0.0,1.82,6503.9,9505.85,0.0,9003.9,6996.1,0.0,3542.4349058945318
1731067790.96,19.8,0.555,0.0,1.7,6504.0,9506.0,0.0,9004.0,6996.0,0.0,3542.612030691478
1731067791.46,19.8,0.764,0.0,1.69,6504.1,9506.15,0.0,9004.1,6995.9,0.0,3542.7891642743857
1731067791.96,20.5,0.864,0.0,9.7,6504.2,9506.3,0.0,9004.2,6995.8,0.0,3542.9663066419357
1731067792.46,19.9,0.598,0.0,2.15,6504.3,9506.45,0.0,9004.3,6995.7,0.0,3543.143457792811
1731067792.96,19.8,0.665,0.0,1.95,6504.4,9506.6,0.0,9004.4,6995.6,0.0,3543.320617725695
1731067793.46,19.8,0.732,0.0,2.21,6504.5,9506.75,0.0,9004.5,6995.5,0.0,3543.497786439269
1731067793.96,20.5,0.846,0.0,1.95,6504.6,9506.9,0.0,9004.6,6995.4,0.0,3543.674963932217
1731067794.46,19.8,0.732,0.0,1.6,6504.7,9507.05,0.0,9004.7,6995.3,0.0,3543.852150203222
1731067794.96,19.8,0.677,0.0,2.14,6504.8,9507.2,0.0,9004.8,6995.2,0.0,3544.0293452509673
1731067795.46,19.8,0.71,0.0,1.63,6504.9,9507.35,0.0,9004.9,6995.1,0.0,3544.2065490741365
1731067795.96,20.5,0.727,0.0,1.57,6505.0,9507.5,0.0,9005.0,6995.0,0.0,3544.3837616714136
1731067796.46,19.8,0.796,0.0,6.42,6505.1,9507.65,0.0,9005.1,6994.9,0.0,3544.5609830414824
1731067796.96,19.8,1.007,0.0,1.96,6505.2,9507.8,0.0,9005.2,6994.8,0.0,3544.7382131830273
1731067797.46,19.8,0.916,0.0,2.08,6505.3,9507.95,0.0,9005.3,6994.7,0.0,3544.9154520947322
1731067797.96,20.5,0.754,0.0,1.58,6505.4,9508.1,0.0,9005.4,6994.6,0.0,3545.092699775282
1731067798.46,19.9,0.738,0.0,2.14,6505.5,9508.25,0.0,9005.5,6994.5,0.0,3545.269956223362
1731067798.96,19.8,0.977,0.0,2.4,6505.6,9508.4,0.0,9005.6,6994.4,0.0,3545.4472214376565
1731067799.46,19.8,0.934,0.0,1.71,6505.7,9508.55,0.0,9005.7,6994.3,0.0,3545.624495416851
1731067799.96,20.5,1.029,0.0,2.55,6505.8,9508.7,0.0,9005.8,6994.2,0.0,3545.801778159631
1731067800.46,19.8,0.956,0.0,2.36,6505.9,9508.85,0.0,9005.9,6994.1,0.0,3545.9790696646814
1731067800.96,19.8,0.964,0.0,2.1,6506.0,9509.0,0.0,9006.0,6994.0,0.0,3546.156369930689
1731067801.46,19.9,1.174,0.0,2.14,6506.1,9509.15,0.0,9006.1,6993.9,0.0,3546.3336789563386
1731067801.96,20.5,1.293,0.0,1.47,6506.2,9509.3,0.0,9006.2,6993.8,0.0,3546.5109967403173
1731067802.46,19.9,1.069,0.0,1.39,6506.3,9509.45,0.0,9006.3,6993.7,0.0,3546.6883232813116
1731067802.96,19.8,0.772,0.0,2.29,6506.4,9509.6,0.0,9006.4,6993.6,0.0,3546.8656585780072
1731067803.46,19.8,0.954,0.0,1.85,6506.5,9509.75,0.0,9006.5,6993.5,0.0,3547.0430026290915
1731067803.96,20.5,0.907,0.0,1.64,6506.6,9509.9,0.0,9006.6,6993.4,0.0,3547.220355433251
1731067804.46,19.9,0.764,0.0,1.94,6506.7,9510.05,0.0,9006.7,6993.3,0.0,3547.3977169891737
1731067804.96,19.8,0.843,0.0,1.55,6506.8,9510.2,0.0,9006.8,6993.2,0.0,3547.575087295546
1731067805.46,19.8,0.946,0.0,1.68,6506.9,9510.35,0.0,9006.9,6993.1,0.0,3547.752466351056
1731067805.96,20.5,1.025,0.0,10.0,6507.0,9510.5,0.0,9007.0,6993.0,0.0,3547.9298541543913
1731067806.46,19.8,0.958,0.0,1.97,6507.1,9510.65,0.0,9007.1,6992.9,0.0,3548.10725070424
1731067806.96,19.8,1.074,0.0,2.31,6507.2,9510.8,0.0,9007.2,6992.8,0.0,3548.28465599929
1731067807.46,19.8,1.155,0.0,1.66,6507.3,9510.95,0.0,9007.3,6992.7,0.0,3548.4620700382297
1731067807.96,20.5,0.944,0.0,2.06,6507.4,9511.1,0.0,9007.4,6992.6,0.0,3548.6394928197483
