Time,F2C1Bitrate,F2C1Jitter,F2C1Datagrams,F2C1Delay,F2C1Distance,F2F1Bitrate,F2F1Jitter,F2F1Datagrams,F2F1Delay,F2F1Distance,F2S1Bitrate,F2S1Jitter,F2S1Datagrams,F2S1Delay,F2S1Distance,F2F4Bitrate,F2F4Jitter,F2F4Datagrams,F2F4Delay,F2F4Distance
1731071782.23,0.9615405870746049,0.3176294954200472,-0.07518754852562552,-0.11278542097136271,-1.041226665517623,-0.23948048582963297,0.07482164614198775,-0.0431494895617464,-0.0962290795047846,1.046239915237385,0.5911127968024926,-0.3698517585231557,-0.13004916117839413,0.061701287122074434,1.0420825823740543,-0.4558373623490976,0.23407809362338095,-0.0690561847543834,-0.2178151129480416,1.046235352216009
1731071782.73,-0.9214443623352827,-0.1665922766177142,-0.07518754852562552,-0.32980062350207995,-1.0415717547216041,-0.5361107402806123,0.025991136270508447,-0.0431494895617464,-0.18693895283179307,1.046606501384806,-0.4549339772403137,-0.3299678437993131,-0.13004916117839413,-0.3891655580198721,1.0395756750112735,-0.4558373623490976,0.4868619625921415,-0.0690561847543834,-0.4124243898403614,1.0466019104614406
1731071783.23,0.9615405870746049,0.8326212128381348,-0.07518754852562552,-0.11571805884339949,-1.0419168434283461,1.5403010408762854,0.10466251328566954,-0.0431494895617464,-0.10114560380435145,1.0469730923367973,0.5911127968024926,0.09280165227341843,-0.13004916117839413,-0.22486662292577295,1.0411467466284574,-0.4558373623490976,0.37655627431486416,-0.0690561847543834,-0.3345806790834334,1.0469684735037486
1731071783.73,-0.9214443623352827,0.7208777269832668,-0.07518754852562552,0.04264438624658334,-1.0422619316378354,-0.5361107402806123,1.0894111290271675,-0.0431494895617464,0.007017930786119436,1.0473396880927544,-0.4549339772403137,0.6644710966484961,-0.13004916117839413,-0.13316489171046186,1.0442082563805997,1.3606789603202112,0.700579233629366,-0.0690561847543834,-0.39296346215112943,1.0473350413423244
1731071784.23,-0.9214443623352827,0.19940812632721588,7.1389565094465715,-0.2535520388291253,-1.0426070193500523,-0.5361107402806123,0.3569534809549789,-0.0431494895617464,-0.20168852573049365,1.0477062886520647,-0.4549339772403137,0.49961758245661314,2.0283981344429933,-0.27453839400073327,1.0454296616828107,-0.4558373623490976,0.5902735453520888,-0.0690561847543834,-0.22170729848588788,1.0477016139765536
1731071784.73,-0.9214443623352827,0.04069998699711348,-0.07518754852562552,-0.28874369329356586,-1.042952106564983,-0.5361107402806123,-0.104223556720103,-0.0431494895617464,-0.07656298230651715,1.048072894014143,-0.4549339772403137,-1.183483618889545,-0.13004916117839413,-0.4044491798890907,1.0448084145388234,-0.4558373623490976,0.698281198456923,-0.0690561847543834,2.3471351564927336,1.0480681914058292
1731071785.23,0.9615405870746049,-0.43380496018370285,-0.07518754852562552,-0.35032908860633694,-1.0432971932826078,-0.23948048582963297,0.245728430692165,-0.0431494895617464,-0.12818648745196914,1.0484395041783237,0.5911127968024926,-0.8218694587267051,-0.13004916117839413,-0.3929864634871768,1.0422895902008371,1.3606789603202112,0.7511360074231181,-0.0690561847543834,-0.49416028613513574,1.0484347736295376
1731071785.73,-0.9214443623352827,0.8666300998374427,-0.07518754852562552,-0.3210027098859698,-1.0436422795029199,1.5403010408762854,0.7286079171990155,-0.0431494895617464,-0.1881680839066848,1.0488061191440268,-0.4549339772403137,-0.6968998592586652,-0.13004916117839413,1.590063474043927,1.0427748793719998,-0.4558373623490976,0.6247440729387381,-0.0690561847543834,-0.2995510092428159,1.0488013606470705
1731071786.23,0.9615405870746049,0.20750548037467026,-0.07518754852562552,0.2186026585687865,-1.043987365225899,-0.5361107402806123,0.5875419997925198,-0.0431494895617464,-0.05443862295846627,1.0491727389106362,0.5911127968024926,-0.6596748721830787,-0.13004916117839413,-0.19429937918733586,1.0452948398381898,-0.4558373623490976,0.9809395246674459,-0.0690561847543834,-0.3540416067726654,1.049167952457818
1731071786.73,-0.9214443623352827,0.15406294366147227,-0.07518754852562552,-0.2300909358528315,-1.044332450451519,-0.5361107402806123,0.2674308795239336,-0.0431494895617464,-0.029856001460632022,1.0495393634775436,-0.4549339772403137,-0.08002864486323277,-0.13004916117839413,-0.33567288147760727,1.0431323032467554,-0.1963350305392016,1.6060050915720165,-0.0690561847543834,-0.2450604117129663,1.0495345490611692
