1731067770.372035904: PING 192.168.6.21 (192.168.6.21) 56(84) bytes of data.
1731067802.433944740: 64 bytes from 192.168.6.21: icmp_seq=65 ttl=63 time=3.51 ms
1731067802.933415076: 64 bytes from 192.168.6.21: icmp_seq=66 ttl=63 time=2.67 ms
1731067803.434310658: 64 bytes from 192.168.6.21: icmp_seq=67 ttl=63 time=2.23 ms
1731067803.934772692: 64 bytes from 192.168.6.21: icmp_seq=68 ttl=63 time=1.75 ms
1731067804.436641939: 64 bytes from 192.168.6.21: icmp_seq=69 ttl=63 time=2.46 ms
1731067804.937659923: 64 bytes from 192.168.6.21: icmp_seq=70 ttl=63 time=2.24 ms
1731067805.437311429: 64 bytes from 192.168.6.21: icmp_seq=71 ttl=63 time=1.57 ms
1731067805.939237276: 64 bytes from 192.168.6.21: icmp_seq=72 ttl=63 time=2.48 ms
1731067806.439803805: 64 bytes from 192.168.6.21: icmp_seq=73 ttl=63 time=1.77 ms
1731067806.942844734: 64 bytes from 192.168.6.21: icmp_seq=74 ttl=63 time=3.76 ms
1731067807.450783239: 64 bytes from 192.168.6.21: icmp_seq=75 ttl=63 time=9.89 ms
1731067807.943390815: 64 bytes from 192.168.6.21: icmp_seq=76 ttl=63 time=1.57 ms
1731067808.444676492: 64 bytes from 192.168.6.21: icmp_seq=77 ttl=63 time=1.76 ms
1731067808.946425559: 64 bytes from 192.168.6.21: icmp_seq=78 ttl=63 time=2.52 ms
1731067809.446804352: 64 bytes from 192.168.6.21: icmp_seq=79 ttl=63 time=1.88 ms
1731067809.947487835: 64 bytes from 192.168.6.21: icmp_seq=80 ttl=63 time=2.29 ms
1731067810.447109460: 64 bytes from 192.168.6.21: icmp_seq=81 ttl=63 time=1.54 ms
1731067810.949126034: 64 bytes from 192.168.6.21: icmp_seq=82 ttl=63 time=1.91 ms
1731067811.451583961: 64 bytes from 192.168.6.21: icmp_seq=83 ttl=63 time=2.78 ms
1731067811.954522402: 64 bytes from 192.168.6.21: icmp_seq=84 ttl=63 time=4.04 ms
1731067812.454682931: 64 bytes from 192.168.6.21: icmp_seq=85 ttl=63 time=3.33 ms
1731067812.954354827: 64 bytes from 192.168.6.21: icmp_seq=86 ttl=63 time=2.33 ms
1731067813.454266065: 64 bytes from 192.168.6.21: icmp_seq=87 ttl=63 time=1.77 ms
