timestamp,variable1,variable2,variable3,variable4,variable5
0,0.619345,0.592396,0.531865,0.556115,0.580029
1,0.619345,0.592396,0.531865,0.556115,0.580029
2,0.619345,0.592396,0.531865,0.556115,0.580029
3,0.619345,0.592396,0.531865,0.556115,0.580029
4,0.619345,0.592396,0.531865,0.556115,0.580029
5,0.619345,0.592396,0.531865,0.556115,0.580029
6,0.619345,0.592396,0.531865,0.556115,0.580029
7,0.619345,0.592396,0.531865,0.556115,0.580029
8,0.619345,0.592396,0.531865,0.556115,0.580029
9,0.619345,0.592396,0.531865,0.556115,0.580029
10,0.558046,0.561133,0.486550,0.499808,0.490158
11,0.488677,0.575982,0.503527,0.500294,0.449773
12,0.442617,0.580593,0.503527,0.510947,0.449773
13,0.442617,0.604531,0.510740,0.530796,0.449773
14,0.461609,0.604531,0.514700,0.530796,0.449773
15,0.461609,0.615672,0.527355,0.531338,0.449773
16,0.461609,0.615672,0.537150,0.531338,0.461465
17,0.470583,0.615672,0.537150,0.532207,0.463817
18,0.471543,0.615672,0.537150,0.532207,0.463817
19,0.484725,0.615672,0.537150,0.532207,0.469295
20,0.485901,0.615672,0.537150,0.532207,0.488058
21,0.485901,0.615672,0.537150,0.532207,0.488058
22,0.495496,0.615672,0.537150,0.532207,0.488058
23,0.498535,0.615672,0.537150,0.532207,0.488058
24,0.499584,0.615672,0.537150,0.532207,0.488058
25,0.502607,0.597452,0.537150,0.532207,0.488058
26,0.511821,0.582514,0.514249,0.532207,0.488058
27,0.511821,0.535434,0.504555,0.523030,0.488058
28,0.511821,0.490921,0.518434,0.512652,0.488058
29,0.512139,0.472917,0.537738,0.512652,0.488058
30,0.527404,0.472917,0.555315,0.494216,0.554850
31,0.577103,0.472917,0.555315,0.524865,0.571066
32,0.596013,0.472917,0.562063,0.527230,0.575581
33,0.603879,0.472917,0.562063,0.535365,0.588546
34,0.618753,0.472917,0.562063,0.547682,0.588546
35,0.618753,0.472917,0.562063,0.547682,0.588546
36,0.618753,0.472917,0.562063,0.576192,0.588546
37,0.618753,0.467245,0.562063,0.576192,0.588546
38,0.618753,0.467245,0.562063,0.576192,0.588546
39,0.618753,0.466621,0.562063,0.576192,0.588546
40,0.618753,0.447624,0.562063,0.576192,0.588546
41,0.618753,0.431394,0.562063,0.576192,0.588546
42,0.618753,0.433283,0.554654,0.576192,0.588546
43,0.618753,0.433283,0.554654,0.576192,0.580542
44,0.617735,0.433283,0.554654,0.576192,0.576153
45,0.614804,0.433283,0.554654,0.576192,0.576153
46,0.597911,0.433283,0.535505,0.543566,0.566796
47,0.558364,0.433283,0.535505,0.536276,0.566796
48,0.524926,0.463457,0.535505,0.513042,0.533705
49,0.524926,0.521216,0.535505,0.513042,0.533705
50,0.524926,0.521216,0.535505,0.513042,0.533705
51,0.517596,0.521216,0.535505,0.512134,0.533705
52,0.517596,0.521216,0.535505,0.511758,0.533705
53,0.517596,0.521216,0.535505,0.508763,0.533705
54,0.517596,0.521216,0.535505,0.508763,0.533705
55,0.517596,0.521216,0.535505,0.498109,0.533705
56,0.517596,0.521216,0.516950,0.498109,0.533705
57,0.517596,0.521216,0.516950,0.498109,0.533705
58,0.517596,0.521216,0.505421,0.484900,0.517937
