timestamp,variable1,variable2,variable3,variable4,variable5
0,-1.2113930227368817,4.638170082237535,4.3395066423841815,4.098263194479503,-1.0282962550427663
1,-1.248958817511983,5.193861430537834,10.726709044816454,9.50321082064522,-1.1194734978559528
2,4.321807299412214,5.541168523225521,9.854140410604394,9.571627879204282,4.263490645153328
3,4.356271331315977,6.096859871525818,9.923945901341355,9.77687905488146,4.614172348280968
4,4.252879235604689,5.575899232494288,9.923945901341355,9.67425346704287,4.3336269857788565
5,4.28734326750845,5.332784267612908,9.923945901341355,10.221589935515349,4.649240518593732
6,4.425199395123502,5.575899232494288,10.587098063342523,9.64004493776334,4.3336269857788565
7,5.011087937487467,5.784283488106901,9.993751392078323,9.605836408483809,4.438831496717149
8,4.494127458931027,6.305244127138431,10.028654137446804,9.605836408483809,4.403763326404384
9,4.390735363219739,6.06212916225705,9.854140410604394,9.605836408483809,4.228422474840563
10,4.425199395123502,6.06212916225705,9.854140410604394,10.016338759838169,4.36869515609162
11,4.321807299412214,5.193861430537834,10.37768159113163,9.571627879204282,4.263490645153328
12,4.907695841776179,5.298053558344138,9.889043155972878,10.153172876956289,4.403763326404384
13,4.356271331315977,5.402245686150445,10.028654137446804,9.77687905488146,4.263490645153328
14,4.218415203700926,5.610629941763057,9.993751392078323,9.53741934992475,4.684308688906497
15,4.597519554642315,5.888475615913207,9.993751392078323,9.91371317199958,5.105126732659665
16,4.321807299412214,5.7148220695693634,10.51729257260556,9.605836408483809,5.105126732659665
17,5.011087937487467,6.131590580794588,9.993751392078323,10.392632581912997,5.350603924849013
18,4.52859149083479,6.201051999332124,10.69180629944797,9.7084619963224,5.245399413910722
19,4.459663427027263,4.395055117356154,7.690170197758488,9.811087584160989,5.701285627976653
20,4.700911650353604,-0.9465279681804676,4.688534096069006,9.91371317199958,5.49087660610007
21,4.6664476184498405,-1.245212067891878,5.142269785859276,4.714016721511041,5.5259447764128335
22,5.2523361608138055,-0.7902397764710086,5.805421947860441,5.056102014306339,5.385672095161778
23,6.07947292650411,-1.0785046634017883,6.084643910808299,5.945523775574117,5.981830990478766
24,5.631440511755195,-1.1340737982318183,4.828145077542934,6.287609068369415,6.332512693606407
25,5.734832607466483,-1.120181514524311,4.793242332174453,5.706064070617407,6.542921715482992
26,5.355728256525094,-1.1167084435974342,5.910130183965888,5.569229953499288,5.385672095161778
27,6.21732905411916,-1.04377395413302,5.805421947860441,6.356026126928474,5.034990392034137
28,6.389649213637973,-1.2848050764582746,5.979935674702853,6.219192009810354,5.561012946725597
29,6.87214566029065,-1.04377395413302,4.932853313648382,6.800737007562363,5.736353798289418
30,6.35518518173421,-1.0333547413523894,4.863047822911417,6.356026126928474,5.736353798289418
31,6.389649213637973,-1.3431526680298058,6.922309799651875,6.219192009810354,5.66621745766389
32,6.35518518173421,-1.1931160039887252,5.526199984912582,6.287609068369415,6.262376352980879
33,5.493584384140144,-0.8041320601785161,7.061920781125807,5.329770248542578,6.227308182668114
34,5.70036857556272,-1.0819777343286654,5.94503292933437,5.774481129176467,6.227308182668114
35,5.459120352236382,-0.9048511170579452,6.154449401545264,5.4666043656606975,4.298558815466092
36,5.8382247031777705,-1.0020971030104977,7.149177644547012,5.432395836381168,4.228422474840563
37,6.458577277445499,-1.172277578427464,8.143905887548756,6.253400539089885,4.579104177968204
38,6.21732905411916,-1.2347928551112477,-0.5713096309612853,6.458651714767064,4.438831496717149
39,-0.6720309234429961,-1.1896429330618483,-1.0355161443621006,-0.4480503467700145,-1.0703780594180834
40,-0.8994935340078296,-1.1167084435974342,-0.5364068855928029,-0.9611782859629624,-1.3347920635763242
41,-0.4859251511626777,-1.123654585451188,-0.6969595142878218,-0.6567223753751468,-1.1194734978559528
42,-0.7478517936312739,-0.8979049752041915,-0.9412787318671982,-0.6225138460956169,-0.7477508925406541
43,-0.7581910032024027,-1.1826967912080946,-0.9587301045514394,-1.0022285210983983,-1.2176643747316922
44,-0.9132791467693346,-1.1132353726705573,-1.171636851299182,-0.5951470226719929,-0.8284076842600114
45,-1.00977843609987,-1.1062892308168035,-0.1454961374658005,-1.1253792265047058,-1.1580484851999937
46,-0.7271733744890162,-1.3292603843222983,-0.7946872013195725,-0.7627688161416892,-0.6706009178525731
47,-0.9374039691019684,-1.0403008832061431,-0.5294263365191064,-0.9201280508275268,-0.9616667314485148
48,-0.7788694223446602,-0.963893322814852,-0.7388428087300006,-0.9338114625393384,-0.9862144506674496
49,-1.0166712424806228,-1.2070082876962327,-0.5922512781823748,-0.7832939337094071,-0.8073667820723529
50,-0.7995478414869178,-1.0472470250598969,1.1947692846839215,-0.9680199918188686,-1.1124598637934002
51,-0.8133334542484228,-1.2625774225262627,-0.81911912307751,-0.3796332882109549,-0.6881350030089551
52,-0.8098870510580467,-1.2486851388187552,-0.4561305712452935,-0.6977726105105825,-0.8354213183225642
53,-0.7650838095831551,-1.1132353726705573,-0.6515859453087948,-0.7525062573578303,-1.0528439742617013
54,-0.6616917138718672,-0.915270329838576,-0.5503679837401959,-0.3591081706432369,-0.5163009684764114
55,-0.7409589872505213,-0.8631742659354228,1.2052401082944666,-0.6875100517267236,-1.1580484851999937
56,-0.9959928233383648,-0.9291626135460834,-0.7353525341931525,1.1973799115753716,-0.6706009178525731
57,-0.9925464201479888,-0.5054479604671056,-0.6027221017929194,-0.810660757133031,-1.2387052769193505
58,-1.1579737732860496,-0.4290404000758144,-0.8400607702985995,-0.7217185810062535,-1.0844053275431889
