1731067770.230885577: PING 192.168.6.12 (192.168.6.12) 56(84) bytes of data.
1731067770.235615691: 64 bytes from 192.168.6.12: icmp_seq=1 ttl=64 time=58.8 ms
1731067770.671924423: 64 bytes from 192.168.6.12: icmp_seq=2 ttl=64 time=1.00 ms
1731067771.172361399: 64 bytes from 192.168.6.12: icmp_seq=3 ttl=64 time=1.06 ms
1731067771.673239928: 64 bytes from 192.168.6.12: icmp_seq=4 ttl=64 time=0.738 ms
1731067772.186116611: 64 bytes from 192.168.6.12: icmp_seq=5 ttl=64 time=1.00 ms
1731067772.687371412: 64 bytes from 192.168.6.12: icmp_seq=6 ttl=64 time=0.856 ms
1731067773.211145132: 64 bytes from 192.168.6.12: icmp_seq=7 ttl=64 time=1.36 ms
1731067773.711109179: 64 bytes from 192.168.6.12: icmp_seq=8 ttl=64 time=0.835 ms
1731067774.212490469: 64 bytes from 192.168.6.12: icmp_seq=9 ttl=64 time=1.26 ms
1731067774.713305366: 64 bytes from 192.168.6.12: icmp_seq=10 ttl=64 time=1.23 ms
1731067775.214284489: 64 bytes from 192.168.6.12: icmp_seq=11 ttl=64 time=0.886 ms
1731067775.715259751: 64 bytes from 192.168.6.12: icmp_seq=12 ttl=64 time=1.13 ms
1731067776.218633486: 64 bytes from 192.168.6.12: icmp_seq=13 ttl=64 time=3.64 ms
1731067776.716873220: 64 bytes from 192.168.6.12: icmp_seq=14 ttl=64 time=0.858 ms
1731067777.217689137: 64 bytes from 192.168.6.12: icmp_seq=15 ttl=64 time=0.877 ms
1731067777.717595583: 64 bytes from 192.168.6.12: icmp_seq=16 ttl=64 time=1.07 ms
1731067778.219282869: 64 bytes from 192.168.6.12: icmp_seq=17 ttl=64 time=1.34 ms
1731067778.720176916: 64 bytes from 192.168.6.12: icmp_seq=18 ttl=64 time=0.679 ms
1731067779.221131979: 64 bytes from 192.168.6.12: icmp_seq=19 ttl=64 time=1.06 ms
1731067779.721890369: 64 bytes from 192.168.6.12: icmp_seq=20 ttl=64 time=0.993 ms
1731067780.222699272: 64 bytes from 192.168.6.12: icmp_seq=21 ttl=64 time=0.949 ms
1731067780.724278990: 64 bytes from 192.168.6.12: icmp_seq=22 ttl=64 time=1.41 ms
1731067781.230891706: 64 bytes from 192.168.6.12: icmp_seq=23 ttl=64 time=6.52 ms
1731067781.725714755: 64 bytes from 192.168.6.12: icmp_seq=24 ttl=64 time=0.787 ms
1731067782.234765877: 64 bytes from 192.168.6.12: icmp_seq=25 ttl=64 time=1.33 ms
1731067782.735847714: 64 bytes from 192.168.6.12: icmp_seq=26 ttl=64 time=0.803 ms
1731067783.236921627: 64 bytes from 192.168.6.12: icmp_seq=27 ttl=64 time=0.954 ms
1731067783.737778799: 64 bytes from 192.168.6.12: icmp_seq=28 ttl=64 time=1.06 ms
1731067784.239214907: 64 bytes from 192.168.6.12: icmp_seq=29 ttl=64 time=1.13 ms
1731067784.740549704: 64 bytes from 192.168.6.12: icmp_seq=30 ttl=64 time=1.29 ms
1731067785.241860107: 64 bytes from 192.168.6.12: icmp_seq=31 ttl=64 time=1.09 ms
1731067785.742736158: 64 bytes from 192.168.6.12: icmp_seq=32 ttl=64 time=0.859 ms
1731067786.251054953: 64 bytes from 192.168.6.12: icmp_seq=33 ttl=64 time=7.92 ms
1731067786.744016847: 64 bytes from 192.168.6.12: icmp_seq=34 ttl=64 time=0.769 ms
1731067787.245485519: 64 bytes from 192.168.6.12: icmp_seq=35 ttl=64 time=0.975 ms
1731067787.746353045: 64 bytes from 192.168.6.12: icmp_seq=36 ttl=64 time=1.19 ms
1731067788.245643086: 64 bytes from 192.168.6.12: icmp_seq=37 ttl=64 time=0.797 ms
1731067788.762522579: 64 bytes from 192.168.6.12: icmp_seq=38 ttl=64 time=1.03 ms
1731067789.261859762: 64 bytes from 192.168.6.12: icmp_seq=39 ttl=64 time=0.837 ms
1731067789.787033581: 64 bytes from 192.168.6.12: icmp_seq=40 ttl=64 time=1.32 ms
1731067790.288382227: 64 bytes from 192.168.6.12: icmp_seq=41 ttl=64 time=1.27 ms
1731067790.789549710: 64 bytes from 192.168.6.12: icmp_seq=42 ttl=64 time=0.872 ms
1731067791.290469767: 64 bytes from 192.168.6.12: icmp_seq=43 ttl=64 time=0.879 ms
1731067791.791346694: 64 bytes from 192.168.6.12: icmp_seq=44 ttl=64 time=0.870 ms
1731067792.294422102: 64 bytes from 192.168.6.12: icmp_seq=45 ttl=64 time=3.30 ms
1731067792.793713002: 64 bytes from 192.168.6.12: icmp_seq=46 ttl=64 time=1.31 ms
1731067793.295485798: 64 bytes from 192.168.6.12: icmp_seq=47 ttl=64 time=1.00 ms
1731067793.796533407: 64 bytes from 192.168.6.12: icmp_seq=48 ttl=64 time=0.966 ms
1731067794.297519406: 64 bytes from 192.168.6.12: icmp_seq=49 ttl=64 time=1.02 ms
1731067794.797839371: 64 bytes from 192.168.6.12: icmp_seq=50 ttl=64 time=1.01 ms
1731067795.299438704: 64 bytes from 192.168.6.12: icmp_seq=51 ttl=64 time=1.28 ms
